FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CHO,CUA,CUT,FAC,HGM,INN,IZT,MER,MGH,MPA,PED,SAG,SFE,TAH,TLA,TLI,UIZ,VIF,XAL,,,,
09/10/2016,4,-99,5,8,7,-99,9,5,10,-99,-99,4,6,-99,8,8,-99,12,-99,6,9,6,-99,7,5,,,,
09/10/2016,5,-99,2,20,8,-99,10,1,11,-99,-99,3,13,-99,4,8,-99,3,-99,10,6,23,-99,17,6,,,,
09/10/2016,6,-99,2,9,7,-99,11,5,12,-99,-99,3,14,-99,9,5,-99,11,-99,24,14,16,-99,12,7,,,,
09/10/2016,7,-99,4,11,6,-99,14,6,13,-99,-99,3,8,-99,7,8,-99,7,-99,13,15,18,-99,17,11,,,,
09/10/2016,8,-99,4,15,9,-99,22,2,16,-99,-99,3,8,-99,7,8,-99,8,-99,16,13,21,-99,18,17,,,,
09/10/2016,9,-99,6,13,14,-99,26,13,14,-99,-99,3,12,-99,10,10,-99,14,-99,31,22,13,-99,8,13,,,,
09/10/2016,10,-99,10,7,10,-99,14,1,9,-99,-99,3,7,-99,12,9,-99,8,-99,5,28,6,-99,5,11,,,,
09/10/2016,11,-99,8,6,8,-99,12,14,13,-99,-99,5,4,-99,12,10,-99,7,-99,1,11,14,-99,14,9,,,,
09/10/2016,12,-99,9,13,11,-99,18,1,11,-99,-99,6,7,-99,8,11,-99,15,-99,1,22,17,-99,5,14,,,,
09/10/2016,13,-99,8,20,11,-99,16,11,8,-99,-99,6,6,-99,12,8,-99,22,-99,18,11,14,-99,1,12,,,,
09/10/2016,14,-99,11,1,8,-99,10,18,10,-99,-99,6,3,-99,8,9,-99,14,-99,1,11,1,-99,1,24,,,,
09/10/2016,15,-99,12,1,10,-99,3,1,2,-99,-99,5,4,-99,8,11,-99,15,-99,19,13,1,-99,1,18,,,,
09/10/2016,16,-99,8,11,8,-99,19,11,14,-99,-99,6,7,-99,7,9,-99,9,-99,5,14,1,-99,1,19,,,,
09/10/2016,17,-99,7,1,7,-99,19,5,7,-99,-99,7,8,-99,5,8,-99,3,-99,7,14,1,-99,6,16,,,,
09/10/2016,18,-99,6,7,8,-99,17,1,22,-99,-99,6,6,-99,11,9,-99,2,-99,3,17,1,-99,15,20,,,,
09/10/2016,19,-99,13,8,9,-99,24,11,34,-99,-99,8,9,-99,11,11,-99,19,-99,11,20,22,-99,14,14,,,,
09/10/2016,20,-99,16,28,9,-99,21,15,19,-99,-99,8,13,-99,11,9,-99,8,-99,21,27,27,-99,22,16,,,,
09/10/2016,21,-99,16,17,11,-99,20,1,14,-99,-99,9,8,-99,11,9,-99,16,-99,17,15,25,-99,21,8,,,,
09/10/2016,22,-99,12,13,12,-99,18,1,13,-99,-99,6,10,-99,12,6,-99,4,-99,16,10,25,-99,13,10,,,,
09/10/2016,23,-99,10,16,12,-99,10,20,10,-99,-99,2,11,-99,4,5,-99,3,-99,14,6,21,-99,11,7,,,,
09/10/2016,24,-99,6,7,8,-99,4,3,7,-99,-99,4,6,-99,6,8,-99,1,-99,7,7,3,-99,1,4,,,,
10/10/2016,1,-99,8,2,7,-99,4,15,5,-99,-99,3,7,-99,11,5,-99,3,-99,2,10,1,-99,1,6,,,,
10/10/2016,2,-99,5,1,9,-99,1,-99,6,-99,-99,3,4,-99,11,8,-99,3,-99,1,22,2,-99,1,7,,,,
10/10/2016,3,-99,4,1,8,-99,2,15,10,-99,-99,2,4,-99,12,2,-99,2,-99,8,12,10,-99,2,9,,,,
