FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
02/07/2015,21,33,44,29,-99,50,46,-99,47,48,35,-99,53,-99,54,36,-99,50,43,14,40,-99,47,-99,50,-99,38,51,48,-99,37,46,37,47
02/07/2015,22,22,38,34,-99,50,45,-99,46,48,35,-99,51,-99,51,34,-99,49,38,21,54,-99,40,-99,48,-99,39,46,46,-99,48,51,31,47
02/07/2015,23,23,38,30,-99,47,42,-99,44,43,29,-99,51,-99,49,27,-99,48,35,30,54,-99,34,-99,48,-99,38,38,44,-99,46,49,35,47
02/07/2015,24,19,40,15,-99,40,36,-99,42,36,24,-99,33,-99,45,25,-99,42,31,29,51,-99,28,-99,44,-99,41,37,44,-99,43,47,27,44
03/07/2015,1,15,28,15,-99,37,30,-99,36,35,22,-99,25,-99,38,25,-99,40,34,26,47,-99,25,-99,41,-99,40,37,40,-99,39,42,23,45
03/07/2015,2,22,25,22,-99,36,32,-99,38,34,17,-99,30,-99,38,33,-99,38,36,25,45,-99,24,-99,37,-99,30,40,33,-99,35,39,24,41
03/07/2015,3,18,27,22,-99,37,25,-99,33,32,24,-99,42,-99,39,21,-99,35,33,21,41,-99,20,-99,29,-99,28,41,32,-99,33,38,29,33
03/07/2015,4,17,28,17,-99,36,19,-99,27,29,24,-99,36,-99,35,26,-99,31,35,17,37,-99,22,-99,26,-99,28,37,32,-99,31,37,31,34
03/07/2015,5,18,27,17,-99,32,16,-99,22,32,16,-99,35,-99,31,27,-99,31,35,15,29,-99,26,-99,27,-99,29,34,30,-99,29,36,31,33
03/07/2015,6,16,19,23,-99,35,18,-99,21,31,19,-99,41,-99,33,27,-99,33,32,16,29,-99,29,-99,29,-99,33,34,31,-99,28,34,29,40
03/07/2015,7,17,19,23,-99,37,19,-99,22,31,20,-99,38,-99,36,29,-99,36,32,16,28,-99,29,-99,36,-99,31,37,33,-99,28,31,28,43
03/07/2015,8,16,23,24,-99,47,20,-99,36,26,22,-99,44,-99,43,28,-99,42,39,21,35,-99,31,-99,40,-99,27,46,34,-99,28,35,28,41
03/07/2015,9,14,27,26,-99,45,37,-99,49,33,21,-99,49,-99,53,25,-99,44,46,26,33,-99,31,-99,39,-99,37,46,31,-99,41,41,27,45
03/07/2015,10,17,28,28,-99,44,39,-99,48,37,22,-99,54,-99,59,29,-99,52,44,28,39,-99,32,-99,49,-99,32,42,24,-99,42,42,27,50
03/07/2015,11,19,31,27,-99,56,45,-99,55,42,-99,-99,71,-99,69,30,-99,65,61,24,44,-99,34,-99,67,-99,23,49,39,-99,42,41,31,63
03/07/2015,12,13,40,30,-99,63,41,-99,48,40,-99,-99,50,-99,50,33,-99,75,47,20,45,-99,44,-99,65,-99,-99,46,43,-99,34,25,37,64
03/07/2015,13,9,21,40,-99,64,35,-99,45,19,-99,-99,39,-99,-99,-99,-99,52,36,21,42,-99,26,-99,55,-99,-99,54,40,-99,14,21,30,51
03/07/2015,14,10,10,44,-99,60,31,-99,29,15,19,-99,42,-99,33,11,-99,40,40,18,20,-99,19,-99,35,-99,-99,68,35,-99,15,18,30,35
03/07/2015,15,13,7,42,-99,43,26,-99,17,25,18,-99,27,-99,20,11,-99,26,30,14,12,-99,21,-99,32,-99,4,55,28,-99,11,12,22,33
03/07/2015,16,15,8,-99,-99,39,11,-99,11,22,16,-99,24,-99,17,10,-99,28,26,13,12,-99,17,-99,25,-99,3,51,44,-99,7,-99,21,31
03/07/2015,17,13,8,60,-99,55,16,-99,16,20,34,-99,44,-99,24,27,-99,38,-99,13,16,-99,29,-99,31,-99,4,84,45,-99,11,14,29,52
03/07/2015,18,-99,32,42,-99,77,40,-99,48,28,36,-99,65,-99,53,32,-99,67,59,13,23,-99,26,-99,52,-99,5,64,73,-99,13,29,35,42
03/07/2015,19,-99,39,32,-99,75,43,-99,62,33,35,-99,78,-99,59,40,-99,56,44,14,37,-99,37,-99,34,-99,14,64,37,-99,60,54,29,46
03/07/2015,20,-99,22,38,-99,59,38,-99,52,29,31,-99,55,-99,59,43,-99,61,33,15,48,-99,47,-99,54,-99,28,51,33,-99,57,58,35,59
03/07/2015,21,-99,22,42,-99,62,29,-99,39,31,26,-99,61,-99,57,38,-99,59,39,17,63,-99,39,-99,61,-99,43,55,48,-99,42,60,44,54
03/07/2015,22,-99,35,40,-99,63,36,-99,42,38,19,-99,60,-99,60,40,-99,57,39,20,52,-99,42,-99,56,-99,46,52,42,-99,45,60,32,60
03/07/2015,23,-99,27,22,-99,44,32,-99,43,28,23,-99,54,-99,56,38,-99,54,29,27,38,-99,44,-99,59,-99,40,43,35,-99,50,57,26,44
03/07/2015,24,-99,24,23,-99,40,32,-99,36,18,26,-99,46,-99,36,31,-99,46,22,27,51,-99,41,-99,57,-99,41,33,43,-99,47,50,22,48
04/07/2015,1,-99,23,26,-99,41,22,-99,28,26,26,-99,33,-99,28,28,-99,34,32,19,64,30,33,-99,53,-99,46,38,31,-99,38,36,24,54
04/07/2015,2,-99,18,24,-99,48,20,-99,22,30,22,-99,44,-99,39,27,-99,33,32,18,54,30,34,-99,49,-99,34,43,28,-99,40,33,21,50
04/07/2015,3,-99,21,25,-99,44,30,-99,24,28,21,-99,46,-99,43,25,-99,46,34,25,49,27,35,-99,50,-99,32,33,32,-99,35,33,24,46
04/07/2015,4,-99,25,26,-99,41,27,-99,28,30,24,-99,47,-99,47,28,-99,46,37,22,36,25,27,-99,46,-99,33,29,29,-99,31,35,29,44
04/07/2015,5,-99,21,21,-99,40,29,-99,35,26,25,-99,48,-99,46,26,-99,46,39,22,33,18,26,-99,39,-99,18,37,32,-99,24,37,30,36
04/07/2015,6,-99,24,27,-99,39,19,-99,34,28,25,-99,47,-99,45,25,-99,41,36,19,36,16,25,-99,32,-99,20,35,30,-99,21,31,28,39
04/07/2015,7,-99,25,20,-99,41,16,-99,31,34,19,-99,39,-99,37,27,-99,38,34,18,38,18,27,-99,31,-99,15,37,30,-99,27,32,28,40
04/07/2015,8,-99,30,22,-99,38,24,-99,33,33,23,-99,41,-99,44,31,-99,40,33,15,39,25,30,-99,35,-99,24,38,34,-99,23,35,26,42
04/07/2015,9,-99,33,23,-99,45,41,-99,46,37,29,-99,49,-99,51,35,-99,43,39,10,38,42,31,-99,40,-99,17,43,41,-99,23,36,26,42
04/07/2015,10,-99,30,25,-99,50,48,-99,50,31,21,-99,54,-99,44,19,-99,51,41,8,25,43,21,-99,48,-99,7,49,45,-99,16,37,28,33
04/07/2015,11,-99,44,11,-99,34,33,-99,32,30,17,-99,54,-99,40,11,-99,58,31,7,13,45,13,-99,42,-99,3,19,31,-99,6,15,30,34
04/07/2015,12,-99,36,15,-99,38,24,-99,26,27,16,-99,40,-99,31,7,-99,36,29,8,10,32,8,-99,18,-99,2,31,24,-99,6,12,22,24
04/07/2015,13,-99,36,21,-99,30,26,-99,23,24,13,-99,37,-99,24,10,-99,30,24,9,11,33,12,-99,15,-99,3,27,25,-99,5,10,16,26
04/07/2015,14,-99,15,21,-99,29,21,-99,29,24,11,-99,33,-99,31,11,-99,44,27,9,11,18,16,-99,23,-99,3,27,32,-99,24,21,15,32
04/07/2015,15,-99,17,14,-99,19,21,-99,23,12,8,-99,31,-99,37,19,-99,40,18,9,32,13,19,-99,42,-99,9,21,29,-99,24,37,18,53
04/07/2015,16,-99,13,16,-99,42,28,-99,41,23,22,-99,37,-99,53,38,-99,39,33,8,36,24,36,-99,43,-99,6,49,30,-99,25,47,27,46
04/07/2015,17,-99,24,27,-99,51,28,-99,43,26,24,-99,51,-99,50,43,-99,52,28,15,39,25,48,-99,38,-99,15,38,34,-99,32,47,40,38
04/07/2015,18,-99,20,16,-99,37,26,-99,35,16,15,-99,31,-99,47,42,-99,51,19,16,36,24,42,-99,37,-99,32,26,45,-99,46,48,22,42
04/07/2015,19,-99,25,26,-99,37,25,-99,28,22,21,-99,32,-99,41,29,-99,48,23,10,29,24,39,-99,33,-99,-99,34,30,-99,27,34,29,37
04/07/2015,20,-99,22,23,-99,40,18,-99,28,24,19,-99,45,-99,46,34,-99,41,23,21,46,24,45,-99,28,-99,-99,34,29,-99,39,49,40,45
04/07/2015,21,-99,14,22,-99,31,21,-99,26,32,35,-99,33,-99,37,20,-99,34,17,21,48,18,34,-99,43,-99,28,35,32,-99,32,37,48,50
04/07/2015,22,-99,14,17,-99,32,21,-99,31,32,30,-99,35,-99,30,24,-99,29,25,42,45,19,43,-99,44,-99,23,34,30,-99,33,34,44,54
04/07/2015,23,-99,29,19,-99,38,23,-99,36,33,26,-99,32,-99,35,33,-99,33,31,42,46,26,48,-99,49,-99,18,38,31,-99,35,31,41,53
04/07/2015,24,-99,12,26,-99,38,34,-99,40,34,24,-99,39,-99,42,41,-99,39,39,39,45,35,47,-99,51,-99,19,41,33,-99,30,33,43,53
05/07/2015,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
05/07/2015,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
