"mes","mean.TLA","mean.MER","mean.UIZ","mean.PED","mean.SAG","mean.XAL","cont"
"03/2020",28.7347517730496,32.5864779874214,25.3347517730496,18.6443514644351,22.6437587657784,33.5055555555556,744
"04/2005",39.5422031473534,46.1272984441301,36.6591591591592,29.4757834757835,28.7749287749288,42.1007092198582,720
"04/2006",35.6377840909091,36.2404692082111,34.6237037037037,27.1829787234043,21.9440559440559,37.8433734939759,720
"04/2007",35.2791023842917,40.3941176470588,27.0142857142857,26.3281786941581,26.9226277372263,37.2173913043478,720
"04/2008",34.1146589259797,35.5115606936416,30.5189620758483,27.5848787446505,22.0609951845907,35.4163934426229,720
"04/2009",33.9252615844544,34.0905233380481,25.5656565656566,19.4620991253644,22.2867867867868,32.4557142857143,720
"04/2010",36.1718518518519,39.6127659574468,26.3036496350365,22.4652173913043,27.658064516129,38.2947976878613,720
"04/2011",32.3405797101449,36.4649122807018,25.2942097026604,24.2641509433962,23.5398230088496,35.7077922077922,720
"04/2012",35.5821138211382,39.9213973799127,30.7489481065919,24.7898658718331,28.5219236209335,34.3991291727141,720
"04/2013",37.4108187134503,39.8604992657856,28.8773448773449,24.5022692889561,28.8459343794579,41.0121212121212,720
"04/2014",32.7763636363636,37.4530791788856,30.4787535410765,23.4826498422713,27.0892351274788,31.0689655172414,720
"04/2015",34.485549132948,36.6998556998557,28.3594864479315,22.5264750378215,24.1861777150917,33.9660056657224,720
"04/2016",36.2462006079027,38.0496031746032,29.3114186851211,21.6221889055472,29.3735632183908,38.7163323782235,720
"04/2017",31.885860306644,32.9693430656934,24.1419939577039,19.4035346097202,24.900651465798,32.39111747851,720
"04/2018",33.28173374613,34.8946608946609,27.3080568720379,21.3121301775148,25.0100574712644,34.641541038526,720
"04/2019",30.4673439767779,31.5641791044776,24.0089686098655,18.008658008658,21.1548387096774,30.4431818181818,720
"04/2020",22.9980276134122,23.1927710843373,18.4992657856094,11.4040697674419,17.8287373004354,NA,720
"05/2005",39.1605723370429,44.2311901504788,36.53125,29.7806539509537,28.2080344332855,39.7113543091655,744
"05/2006",36.2465564738292,43.6278755074425,33.6689280868385,24.955223880597,22.6147540983607,38.9657534246575,744
"05/2007",34.2255747126437,41.201646090535,29.7944785276074,26.2609329446064,26.1208791208791,40.849931787176,744
"05/2008",30.1693121693122,33.508843537415,28.4739803094233,24.3632538569425,26.9404186795491,31.0614934114202,744
"05/2009",34.1022408963585,33.0618131868132,27.5555555555556,20.2560975609756,18.6376210235131,31.1255742725881,744
"05/2010",35.8659574468085,40.7013513513513,28.2978417266187,24.1330868761553,NA,41.8984615384615,744
"05/2011",34.0380673499268,36.507614213198,24.576341127923,25.378612716763,24.3400309119011,33.5090655509066,744
"05/2012",35.9296407185629,41.2960339943343,29.6671428571429,26.3934911242604,29.2039660056657,31.9147058823529,744
"05/2013",35.9747545582048,39.5502121640735,29.4097222222222,25.1846590909091,26.8667820069204,37.3813953488372,744
"05/2014",34.3286318758815,37.9117647058824,30.3891336270191,25.3465346534653,25.9259259259259,30.5749440715884,744
"05/2015",34.2964601769912,37.2153846153846,29.6621067031464,22.6837606837607,24.5453296703297,35.3722222222222,744
"05/2016",35.2899575671853,39.5512465373961,32.6577464788732,22.8418862690707,27.7293064876957,36.1230283911672,744
"05/2017",33.9026717557252,34.0072358900145,27.8370883882149,22.9847222222222,26.6297968397291,33.4453665283541,744
"05/2018",29.2663755458515,32.0084507042254,26.232980332829,21.7615708274895,22.2596291012839,28.7839416058394,744
"05/2019",29.0219941348974,31.1798866855524,20.3582554517134,18.0374149659864,22.0842911877395,25.9750778816199,744
"05/2020",22.6480446927374,22.7156726768377,17.0893854748603,10.5041899441341,16.8164739884393,NA,744
"06/2005",28.0929577464789,32.6676258992806,27.4428571428571,23.6600284495021,16.5881523272214,31.3577464788732,720
"06/2006",27.1581259150805,32.2672672672673,29.0714285714286,21.3183098591549,19.6526019690577,23.9901547116737,720
"06/2007",32.8330995792426,39.1631504922644,32.8913963328632,24.4498525073746,24.4775449101796,37.2795031055901,720
"06/2008",26.0193452380952,28.356204379562,26.5768688293371,23.5107296137339,20.0387931034483,22.529284164859,720
"06/2009",30.5322580645161,32.4570135746606,23.1301587301587,22.0114942528736,17.998556998557,23.8872785829308,720
"06/2010",28.1051051051051,27.7146892655367,23.9508928571429,19.0478199718706,16.782196969697,29.3679525222552,720
