FECHA,HORA,LVI,TLA,XAL,MER,PED,CES,TLI,VIF,TAH,SUR,FAC,PLA,SAG,TAX,IZT
15/11/2008,3,-99,45,112,57,20,77,-99,97,60,-99,30,35,123,-99,60
15/11/2008,4,-99,50,169,56,20,78,-99,80,62,-99,33,28,103,-99,47
15/11/2008,5,-99,66,108,67,22,69,-99,55,-99,-99,27,25,68,-99,36
15/11/2008,6,-99,81,94,83,25,56,-99,60,61,-99,34,32,44,-99,51
15/11/2008,7,-99,104,96,62,39,46,-99,73,60,-99,40,47,61,-99,54
15/11/2008,8,-99,81,97,93,39,83,-99,72,69,-99,52,47,66,-99,59
15/11/2008,9,-99,77,111,91,35,59,-99,69,77,-99,45,40,70,-99,61
15/11/2008,10,-99,90,93,74,33,82,-99,70,77,-99,43,40,73,-99,40
15/11/2008,11,-99,90,147,82,-99,76,-99,107,97,-99,60,48,86,-99,58
15/11/2008,12,-99,120,133,87,47,56,-99,73,86,-99,63,51,80,-99,70
15/11/2008,13,-99,134,166,120,57,51,-99,97,82,-99,64,55,108,-99,56
15/11/2008,14,-99,82,115,86,50,83,-99,88,73,-99,74,50,74,-99,68
15/11/2008,15,-99,110,118,91,49,52,-99,99,72,-99,85,51,88,-99,57
15/11/2008,16,-99,85,106,95,55,74,-99,66,75,-99,81,57,96,-99,63
15/11/2008,17,-99,81,109,70,41,66,-99,76,143,-99,65,47,85,-99,56
15/11/2008,18,-99,120,117,66,47,56,-99,101,100,-99,89,55,82,-99,54
15/11/2008,19,-99,79,73,51,69,43,-99,45,75,-99,61,68,49,-99,48
15/11/2008,20,-99,56,42,59,38,31,-99,41,48,-99,27,38,44,-99,37
15/11/2008,21,-99,46,29,46,22,31,-99,27,46,-99,22,23,32,-99,37
15/11/2008,22,-99,22,37,33,16,21,-99,24,29,-99,10,17,18,-99,28
15/11/2008,23,-99,18,21,26,13,6,-99,11,25,-99,6,11,20,-99,24
15/11/2008,24,-99,24,33,21,6,9,-99,11,17,-99,10,9,18,-99,20
16/11/2008,1,-99,16,43,17,7,-99,-99,16,14,-99,6,8,12,-99,18
16/11/2008,2,-99,31,34,15,13,8,-99,23,10,-99,14,11,11,-99,18
16/11/2008,3,-99,16,27,15,13,7,-99,3,17,-99,21,14,10,-99,5
16/11/2008,4,-99,14,26,16,16,10,-99,9,19,-99,16,20,10,-99,19
16/11/2008,5,-99,13,31,18,18,12,-99,11,17,-99,15,20,14,-99,18
16/11/2008,6,-99,21,37,21,20,11,-99,13,17,-99,23,23,13,-99,18
16/11/2008,7,-99,28,24,31,21,17,-99,18,22,-99,26,26,21,-99,15
16/11/2008,8,-99,36,45,32,31,31,-99,32,32,-99,28,31,21,-99,17
16/11/2008,9,-99,44,52,33,29,41,-99,42,35,-99,32,37,32,-99,32
16/11/2008,10,-99,41,56,70,29,43,-99,42,44,-99,35,43,48,-99,34
16/11/2008,11,-99,47,65,64,36,52,-99,54,52,-99,46,46,52,-99,45
16/11/2008,12,-99,57,80,75,45,60,-99,65,61,-99,54,53,64,-99,56
16/11/2008,13,-99,85,91,82,54,69,-99,86,66,-99,51,54,79,-99,66
16/11/2008,14,-99,71,109,73,39,60,-99,78,63,-99,54,40,100,-99,72
16/11/2008,15,-99,39,85,49,26,40,-99,37,49,-99,31,31,56,-99,64
16/11/2008,16,-99,53,65,70,30,47,-99,38,59,-99,39,34,58,-99,60
16/11/2008,17,-99,62,61,84,45,53,-99,69,58,-99,37,43,57,-99,66
16/11/2008,18,-99,81,88,105,55,44,-99,78,69,-99,68,46,70,-99,67
16/11/2008,19,-99,77,82,72,59,60,-99,73,71,-99,56,66,71,-99,69
16/11/2008,20,-99,70,68,65,52,65,-99,69,-99,-99,45,50,64,-99,64
16/11/2008,21,-99,58,51,46,40,38,-99,48,50,-99,40,43,60,-99,59
16/11/2008,22,-99,51,37,-99,34,35,-99,46,42,-99,34,37,44,-99,35
16/11/2008,23,-99,54,32,-99,35,30,-99,51,55,-99,30,41,41,-99,31
16/11/2008,24,-99,41,38,-99,32,27,-99,39,45,-99,24,32,40,-99,30
17/11/2008,1,-99,31,38,45,34,25,-99,43,42,-99,37,25,35,-99,40
17/11/2008,2,-99,38,37,43,36,32,-99,43,39,-99,39,33,43,-99,47
17/11/2008,3,-99,50,39,38,32,33,-99,37,37,-99,43,34,47,-99,46
17/11/2008,4,-99,42,47,33,31,25,-99,44,33,-99,33,33,50,-99,42
17/11/2008,5,-99,36,58,36,31,26,-99,41,32,-99,34,31,45,-99,39
17/11/2008,6,-99,51,86,36,32,26,-99,35,32,-99,42,32,53,-99,40
17/11/2008,7,-99,85,100,42,35,29,-99,29,42,-99,43,34,48,-99,44
17/11/2008,8,-99,86,127,62,42,51,-99,43,55,-99,71,52,55,-99,42
17/11/2008,9,-99,81,139,82,46,50,-99,73,53,-99,49,54,81,-99,50
17/11/2008,10,-99,104,142,119,48,69,-99,93,61,-99,54,57,99,-99,61
17/11/2008,11,-99,105,147,120,53,73,-99,122,69,-99,67,66,80,-99,96
17/11/2008,12,-99,55,116,86,55,85,-99,82,82,-99,54,66,53,-99,119
17/11/2008,13,-99,36,31,48,27,46,-99,68,65,-99,9,21,38,-99,68
17/11/2008,14,-99,42,28,57,23,43,-99,54,49,-99,21,24,55,-99,39
17/11/2008,15,-99,57,44,61,25,39,-99,66,59,-99,38,29,61,-99,51
17/11/2008,16,-99,72,67,60,36,38,-99,102,68,-99,49,41,75,-99,45
17/11/2008,17,-99,82,95,81,47,50,-99,75,65,-99,61,49,94,-99,53
17/11/2008,18,-99,87,74,88,61,67,-99,93,90,-99,75,69,80,-99,60
17/11/2008,19,-99,80,97,87,82,55,-99,89,82,-99,58,62,94,-99,61
17/11/2008,20,-99,64,79,76,46,52,-99,63,80,-99,45,44,76,-99,53
17/11/2008,21,-99,61,45,61,35,37,-99,59,52,-99,34,36,47,-99,55
17/11/2008,22,-99,37,23,51,23,51,-99,47,41,-99,20,23,27,-99,43
17/11/2008,23,-99,24,17,37,22,23,-99,50,52,-99,13,23,36,-99,35
17/11/2008,24,-99,15,39,22,18,16,-99,30,28,-99,12,17,29,-99,25
18/11/2008,1,-99,10,43,19,13,7,-99,23,24,-99,5,15,19,-99,26
18/11/2008,2,-99,11,42,27,14,25,-99,22,33,-99,8,14,24,-99,21
18/11/2008,3,-99,18,26,32,10,20,-99,29,25,-99,9,12,27,-99,27
18/11/2008,4,-99,9,38,30,15,17,-99,28,23,-99,19,9,34,-99,36
18/11/2008,5,-99,20,42,34,22,18,-99,27,25,-99,22,25,61,-99,35
18/11/2008,6,-99,67,65,40,27,24,-99,44,28,-99,14,25,62,-99,49
18/11/2008,7,-99,70,98,44,32,32,-99,21,41,-99,31,31,77,-99,44
18/11/2008,8,-99,89,170,73,40,88,-99,45,84,-99,83,56,82,-99,75
18/11/2008,9,-99,115,182,62,31,48,-99,90,87,-99,54,61,144,-99,66
18/11/2008,10,-99,66,151,89,47,39,-99,102,-99,-99,35,41,104,-99,80
18/11/2008,11,-99,69,137,87,37,-99,-99,43,-99,-99,13,36,31,-99,69
18/11/2008,12,-99,71,56,96,30,-99,-99,38,66,-99,25,34,45,-99,76
18/11/2008,13,-99,86,116,91,-99,110,-99,59,80,-99,42,40,55,-99,89
18/11/2008,14,-99,65,85,38,55,68,-99,86,73,-99,58,58,75,-99,70
18/11/2008,15,-99,121,120,71,68,63,-99,99,79,-99,73,68,88,-99,-99
18/11/2008,16,-99,134,158,126,68,67,-99,82,67,-99,84,61,99,-99,70
18/11/2008,17,-99,127,142,142,73,87,-99,105,103,-99,96,80,86,-99,97
18/11/2008,18,-99,115,168,141,80,92,-99,132,115,-99,86,75,145,-99,108
18/11/2008,19,-99,125,143,164,70,109,-99,121,147,-99,100,76,151,-99,101
18/11/2008,20,-99,104,158,151,59,94,-99,77,213,-99,76,62,147,-99,100
18/11/2008,21,-99,73,84,110,50,74,-99,61,110,-99,45,59,77,-99,75
18/11/2008,22,-99,50,55,81,36,50,-99,61,64,-99,33,38,52,-99,62
18/11/2008,23,-99,43,48,53,28,37,-99,39,52,-99,27,29,39,-99,51
18/11/2008,24,-99,31,40,62,22,32,-99,36,28,-99,23,24,29,-99,42
19/11/2008,1,-99,28,37,40,22,29,-99,28,35,-99,22,-99,23,-99,37
19/11/2008,2,-99,26,39,44,23,19,-99,28,27,-99,20,-99,26,-99,40
19/11/2008,3,-99,35,35,33,22,19,-99,10,23,-99,27,-99,21,-99,30
19/11/2008,4,-99,24,32,36,25,23,-99,12,25,-99,20,27,17,-99,26
19/11/2008,5,-99,26,53,41,31,31,-99,10,25,-99,25,32,51,-99,34
19/11/2008,6,-99,37,55,50,31,37,-99,38,26,-99,34,34,92,-99,37
19/11/2008,7,-99,66,78,56,32,38,-99,45,36,-99,38,47,110,-99,43
19/11/2008,8,-99,90,142,72,38,50,-99,136,58,-99,46,46,141,-99,48
19/11/2008,9,-99,68,170,68,47,63,-99,121,70,-99,57,56,90,-99,51
19/11/2008,10,-99,64,142,67,56,81,-99,126,90,-99,55,64,110,-99,64
19/11/2008,11,-99,75,91,-99,63,78,-99,67,83,-99,43,56,62,-99,64
19/11/2008,12,-99,97,99,77,57,82,-99,52,110,-99,54,57,72,-99,73
19/11/2008,13,-99,89,92,83,56,73,-99,46,123,-99,52,58,93,-99,67
19/11/2008,14,-99,90,70,92,63,82,-99,52,98,-99,-99,79,73,-99,87
19/11/2008,15,-99,95,49,80,59,79,-99,61,101,-99,-99,53,44,-99,88
19/11/2008,16,-99,102,63,93,47,60,-99,72,85,-99,-99,30,50,-99,87
19/11/2008,17,-99,80,102,96,41,58,-99,116,104,-99,-99,33,78,-99,82
19/11/2008,18,-99,166,166,117,53,53,-99,108,105,-99,-99,46,122,-99,82
19/11/2008,19,-99,146,123,164,79,69,-99,106,94,-99,-99,78,98,-99,77
19/11/2008,20,-99,117,97,123,79,77,-99,78,143,-99,-99,67,76,-99,83
19/11/2008,21,-99,75,75,84,67,63,-99,86,90,-99,-99,52,61,-99,61
19/11/2008,22,-99,53,75,65,44,42,-99,71,79,-99,-99,38,46,-99,40
19/11/2008,23,-99,45,60,51,38,33,-99,56,48,-99,-99,29,33,-99,29
19/11/2008,24,-99,38,45,36,40,28,-99,46,34,-99,-99,24,30,-99,29
20/11/2008,1,-99,22,67,35,34,30,-99,33,29,-99,-99,23,35,-99,38
20/11/2008,2,-99,20,59,45,27,24,-99,47,33,-99,-99,31,32,-99,42
20/11/2008,3,-99,21,47,33,18,19,-99,50,32,-99,-99,23,31,-99,39
20/11/2008,4,-99,43,68,27,17,24,-99,50,39,-99,-99,21,56,-99,44
20/11/2008,5,-99,66,79,46,18,29,-99,59,35,-99,-99,14,65,-99,34
20/11/2008,6,-99,67,97,65,18,54,-99,62,34,-99,-99,26,66,-99,70
20/11/2008,7,-99,69,104,90,25,69,-99,56,56,-99,-99,32,93,-99,124
20/11/2008,8,-99,98,135,101,49,88,-99,71,80,-99,-99,61,76,-99,106
20/11/2008,9,-99,124,180,118,70,113,-99,92,101,-99,-99,99,89,-99,112
20/11/2008,10,-99,163,-99,129,80,129,-99,90,-99,-99,-99,125,124,-99,121
20/11/2008,11,-99,165,-99,146,127,146,-99,100,-99,-99,-99,138,130,-99,136
20/11/2008,12,-99,148,-99,149,136,129,-99,111,151,-99,-99,139,81,-99,123
20/11/2008,13,-99,92,-99,127,112,73,-99,107,100,-99,-99,107,45,-99,139
20/11/2008,14,-99,65,-99,119,92,97,-99,89,73,-99,33,55,55,-99,124
20/11/2008,15,-99,82,125,126,39,72,-99,54,102,-99,33,42,16,-99,89
20/11/2008,16,-99,70,90,106,38,58,-99,79,111,-99,64,48,80,-99,93
20/11/2008,17,-99,103,152,70,57,100,-99,112,109,-99,75,52,70,-99,97
20/11/2008,18,-99,171,158,122,65,51,-99,109,117,-99,63,64,121,-99,-99
20/11/2008,19,-99,137,109,163,68,93,-99,157,112,-99,83,44,106,-99,115
20/11/2008,20,-99,121,132,141,62,74,-99,85,93,-99,80,59,96,-99,90
20/11/2008,21,-99,94,75,102,64,58,-99,68,79,-99,65,54,42,-99,85
20/11/2008,22,-99,76,61,83,42,39,-99,56,64,-99,51,44,43,-99,65
20/11/2008,23,-99,40,48,51,40,35,-99,42,51,-99,38,40,33,-99,49
20/11/2008,24,-99,24,33,39,23,21,-99,40,36,-99,24,26,18,-99,37
21/11/2008,1,-99,27,28,23,20,18,-99,36,31,-99,17,17,14,-99,28
21/11/2008,2,-99,34,44,22,20,19,-99,41,28,-99,16,21,12,-99,30
21/11/2008,3,-99,31,35,10,-99,23,-99,25,28,-99,15,17,30,-99,38
21/11/2008,4,-99,72,34,21,-99,14,-99,31,20,-99,22,20,28,-99,19
21/11/2008,5,-99,65,61,20,-99,18,-99,36,18,-99,12,16,31,-99,24
21/11/2008,6,-99,71,65,41,11,28,-99,49,24,-99,15,13,36,-99,26
21/11/2008,7,-99,92,84,65,22,38,-99,57,34,-99,29,21,59,-99,34
21/11/2008,8,-99,111,71,115,23,56,-99,103,47,-99,31,27,88,-99,42
21/11/2008,9,-99,57,80,49,20,92,-99,120,56,-99,15,28,45,-99,41
21/11/2008,10,-99,62,66,55,14,32,-99,45,58,-99,-99,16,41,-99,33
21/11/2008,11,-99,49,82,49,12,26,-99,37,41,-99,-99,16,33,-99,31
21/11/2008,12,-99,60,93,47,14,30,-99,53,48,-99,58,15,42,-99,30
21/11/2008,13,-99,-99,96,54,19,40,-99,-99,40,-99,58,29,56,-99,31
21/11/2008,14,-99,-99,114,77,34,59,-99,-99,65,-99,50,58,86,-99,35
21/11/2008,15,-99,86,152,98,40,97,-99,-99,70,-99,61,37,125,-99,60
21/11/2008,16,-99,127,158,103,46,79,-99,-99,94,-99,91,50,80,-99,67
21/11/2008,17,-99,112,116,85,-99,63,-99,-99,116,-99,85,51,70,-99,71
21/11/2008,18,-99,87,85,64,-99,43,-99,-99,83,-99,64,55,66,-99,57
21/11/2008,19,-99,85,71,84,-99,38,-99,-99,61,-99,55,46,59,-99,40
21/11/2008,20,-99,79,53,79,40,37,-99,-99,59,-99,44,36,44,-99,47
21/11/2008,21,-99,58,61,73,30,32,-99,-99,58,-99,32,28,41,-99,44
21/11/2008,22,-99,34,39,46,14,26,-99,-99,39,-99,22,16,31,-99,35
21/11/2008,23,-99,34,38,43,9,17,-99,-99,27,-99,12,10,27,-99,26
21/11/2008,24,-99,24,23,31,4,11,-99,-99,28,-99,13,5,18,-99,20
22/11/2008,1,-99,17,20,25,5,8,-99,-99,9,-99,7,5,9,-99,22
22/11/2008,2,-99,20,36,22,4,9,-99,-99,5,-99,8,2,12,-99,22
22/11/2008,3,-99,21,31,24,3,6,-99,-99,6,-99,10,2,5,-99,15
22/11/2008,4,-99,22,35,19,3,12,-99,-99,6,-99,11,5,12,-99,27
22/11/2008,5,-99,15,31,26,4,17,-99,-99,9,-99,8,1,34,-99,22
22/11/2008,6,-99,48,62,29,9,32,-99,-99,17,-99,5,4,48,-99,30
22/11/2008,7,-99,43,81,57,12,33,-99,-99,17,-99,15,10,37,-99,28
22/11/2008,8,-99,53,100,88,16,68,-99,-99,55,-99,45,28,122,-99,60
22/11/2008,9,-99,67,115,78,13,70,-99,-99,59,-99,35,25,67,-99,63
22/11/2008,10,-99,45,107,58,14,63,-99,-99,39,-99,17,19,63,-99,63
22/11/2008,11,-99,66,95,49,12,53,-99,-99,34,-99,24,21,75,-99,42
22/11/2008,12,-99,72,81,58,23,44,-99,-99,38,-99,42,30,46,-99,47
22/11/2008,13,-99,-99,63,39,28,28,-99,-99,33,-99,40,29,26,-99,25
22/11/2008,14,-99,-99,64,44,33,29,-99,-99,36,-99,56,32,26,-99,30
22/11/2008,15,-99,-99,58,51,37,27,-99,-99,46,-99,50,40,32,-99,41
22/11/2008,16,-99,58,-99,64,44,32,-99,-99,42,-99,45,42,50,-99,47
22/11/2008,17,-99,63,127,78,46,42,-99,-99,46,-99,57,42,94,-99,49
22/11/2008,18,-99,-99,95,68,41,51,-99,-99,69,-99,58,44,49,-99,53
22/11/2008,19,-99,-99,72,59,51,38,-99,-99,58,-99,58,55,-99,-99,55
22/11/2008,20,-99,66,72,73,39,38,-99,-99,47,-99,42,40,-99,-99,42
22/11/2008,21,-99,51,50,59,25,34,-99,-99,58,-99,32,28,31,-99,46
22/11/2008,22,-99,49,54,39,26,22,-99,-99,37,-99,32,28,21,-99,29
22/11/2008,23,-99,46,36,29,26,23,-99,-99,36,-99,29,26,19,-99,32
22/11/2008,24,-99,40,22,40,23,18,-99,-99,31,-99,21,22,30,-99,33
23/11/2008,1,-99,34,31,42,23,13,-99,-99,30,-99,21,20,60,-99,40
23/11/2008,2,-99,24,33,35,20,17,-99,-99,23,-99,17,18,47,-99,31
23/11/2008,3,-99,22,43,32,17,23,-99,-99,18,-99,-99,25,38,-99,22
23/11/2008,4,-99,24,48,24,18,31,-99,-99,28,-99,-99,25,37,-99,20
23/11/2008,5,-99,26,59,34,21,31,-99,-99,28,-99,-99,21,42,-99,32
23/11/2008,6,-99,30,53,33,28,34,-99,-99,32,-99,-99,24,35,-99,38
23/11/2008,7,-99,32,44,42,24,38,-99,-99,41,-99,-99,29,41,-99,34
23/11/2008,8,-99,37,65,47,22,45,-99,-99,49,-99,-99,28,80,-99,42
23/11/2008,9,-99,42,76,54,39,68,-99,-99,51,-99,30,43,54,-99,61
23/11/2008,10,-99,47,101,77,51,74,-99,-99,68,-99,48,57,66,-99,72
23/11/2008,11,-99,68,102,84,55,80,-99,-99,65,-99,55,70,67,-99,79
23/11/2008,12,-99,83,112,84,61,87,-99,-99,71,-99,52,71,82,-99,95
23/11/2008,13,-99,75,91,78,59,75,-99,-99,60,-99,56,61,59,-99,85
23/11/2008,14,-99,69,95,78,67,61,-99,-99,85,-99,65,68,71,-99,57
23/11/2008,15,-99,71,70,72,68,58,-99,-99,85,-99,71,71,44,-99,68
23/11/2008,16,-99,78,71,84,68,58,-99,-99,72,-99,71,74,54,-99,55
23/11/2008,17,-99,81,83,94,72,66,-99,-99,63,-99,77,69,57,-99,73
23/11/2008,18,-99,65,71,105,87,70,-99,-99,76,-99,73,58,52,-99,97
23/11/2008,19,-99,94,104,73,97,70,-99,-99,111,-99,67,78,90,-99,104
23/11/2008,20,-99,99,111,86,85,131,-99,-99,135,-99,89,93,105,-99,99
23/11/2008,21,-99,88,89,91,78,95,-99,-99,130,-99,68,82,87,-99,87
23/11/2008,22,-99,66,46,74,76,60,-99,-99,81,-99,44,53,46,-99,77
23/11/2008,23,-99,52,49,54,56,88,-99,-99,64,-99,31,36,32,-99,51
23/11/2008,24,-99,41,45,35,37,54,-99,-99,66,-99,24,26,58,-99,33
24/11/2008,1,-99,28,59,43,43,16,-99,-99,69,-99,32,28,37,-99,47
24/11/2008,2,-99,45,62,40,37,20,-99,-99,76,-99,40,31,34,-99,48
24/11/2008,3,-99,68,56,32,28,20,-99,-99,59,-99,48,26,60,-99,45
24/11/2008,4,-99,51,63,26,28,13,-99,-99,39,-99,42,29,65,-99,38
24/11/2008,5,-99,46,58,54,26,34,-99,-99,57,-99,44,30,53,-99,54
24/11/2008,6,-99,57,96,88,25,58,-99,-99,38,-99,46,31,57,-99,101
24/11/2008,7,-99,75,111,100,45,82,-99,-99,49,-99,49,41,76,-99,120
24/11/2008,8,-99,93,150,108,64,107,-99,-99,104,-99,86,82,82,-99,112
24/11/2008,9,-99,123,193,138,66,120,-99,-99,98,-99,101,92,115,-99,132
24/11/2008,10,-99,136,218,165,69,141,-99,-99,106,-99,122,110,130,-99,160
