FECHA,HORA,LVI,TLA,XAL,MER,PED,CES,TLI,VIF,TAH,SUR,FAC,SAG,TAX,IZT
02/01/2010,5,24,29,48,26,27,27,39,20,33,30,30,31,27,33
02/01/2010,6,23,35,33,29,29,33,51,24,33,34,29,29,32,36
02/01/2010,7,27,44,52,32,29,36,46,29,40,33,34,31,29,35
02/01/2010,8,38,43,78,31,32,48,57,40,48,41,46,42,40,45
02/01/2010,9,47,57,81,40,41,73,68,77,75,52,51,44,48,55
02/01/2010,10,51,54,100,63,48,76,77,-99,70,54,54,56,59,52
02/01/2010,11,67,64,131,65,49,74,91,-99,57,59,59,62,74,64
02/01/2010,12,72,75,103,73,56,85,105,139,63,63,70,58,76,81
02/01/2010,13,59,70,85,74,29,69,54,91,18,45,54,67,58,77
02/01/2010,14,45,31,53,35,5,-99,25,137,26,6,15,32,5,50
02/01/2010,15,20,4,42,12,3,28,45,33,8,23,19,-99,14,18
02/01/2010,16,30,27,37,26,41,47,38,59,57,38,26,41,57,38
02/01/2010,17,39,32,79,37,33,40,45,61,13,30,27,82,6,35
02/01/2010,18,77,75,99,33,10,37,89,123,24,23,42,74,39,23
02/01/2010,19,97,78,140,58,19,27,-99,164,17,25,56,-99,20,29
02/01/2010,20,71,24,82,74,-99,126,-99,33,70,92,59,-99,167,56
02/01/2010,21,33,9,25,43,-99,49,-99,15,94,33,4,8,85,51
02/01/2010,22,13,19,14,11,-99,25,-99,27,21,23,16,17,28,34
02/01/2010,23,18,21,18,8,-99,22,-99,-99,23,17,10,17,-99,20
02/01/2010,24,2,7,22,6,10,6,-99,-99,16,11,5,-99,24,11
03/01/2010,1,9,11,19,14,19,7,-99,3,8,21,-99,-99,-99,10
03/01/2010,2,31,11,19,13,13,15,-99,13,20,25,16,-99,26,26
03/01/2010,3,13,6,19,8,9,16,-99,11,20,21,13,11,6,21
03/01/2010,4,4,13,5,10,39,12,26,4,26,20,13,18,26,21
03/01/2010,5,29,23,26,20,14,6,36,16,-99,-99,24,10,-99,27
03/01/2010,6,15,21,38,26,23,15,25,24,-99,34,22,23,22,33
03/01/2010,7,17,27,45,26,23,37,18,26,-99,28,21,20,22,36
03/01/2010,8,25,33,63,38,21,40,31,19,65,26,21,19,31,36
03/01/2010,9,28,38,64,34,22,31,32,26,40,31,25,22,31,35
03/01/2010,10,43,35,44,38,23,27,30,30,44,35,26,23,51,32
03/01/2010,11,46,42,61,42,24,41,36,41,37,40,31,25,38,37
03/01/2010,12,52,42,45,44,29,44,32,15,35,44,27,39,45,41
03/01/2010,13,35,43,36,26,26,20,41,54,39,-99,34,33,32,42
03/01/2010,14,52,46,70,43,26,18,50,54,38,47,47,54,31,39
03/01/2010,15,44,26,48,49,62,48,41,21,20,56,18,35,72,52
03/01/2010,16,12,21,32,25,54,76,6,27,112,44,28,32,81,43
03/01/2010,17,20,17,38,13,23,49,10,31,45,19,8,33,42,27
03/01/2010,18,32,19,54,28,24,12,21,14,10,29,27,25,18,35
03/01/2010,19,38,15,30,23,16,26,-99,21,8,21,16,17,16,26
03/01/2010,20,6,16,20,8,26,32,-99,-99,12,24,6,18,56,26
03/01/2010,21,26,22,11,-99,-99,13,-99,20,4,14,24,6,11,18
03/01/2010,22,31,13,26,14,-99,-99,-99,13,13,-99,7,21,-99,6
03/01/2010,23,6,13,16,14,-99,-99,-99,-99,9,2,7,11,16,3
03/01/2010,24,-99,-99,1,7,-99,-99,-99,13,-99,2,6,-99,-99,8
04/01/2010,1,3,14,-99,-99,3,-99,-99,5,-99,8,-99,4,11,3
04/01/2010,2,2,2,9,11,3,-99,-99,5,1,7,-99,7,2,-99
04/01/2010,3,9,-99,15,17,11,-99,-99,9,1,9,-99,10,-99,35
04/01/2010,4,-99,2,20,7,-99,6,-99,10,6,4,-99,7,-99,27
04/01/2010,5,6,9,36,13,-99,20,16,19,7,8,5,13,5,28
04/01/2010,6,9,15,39,20,1,12,23,17,8,4,4,21,2,17
04/01/2010,7,29,30,104,28,1,20,16,20,9,15,18,18,20,17
04/01/2010,8,32,31,67,43,19,31,48,37,13,24,21,25,31,31
04/01/2010,9,29,59,76,45,23,51,35,31,40,37,28,32,42,33
04/01/2010,10,30,47,42,19,21,41,29,18,31,32,27,11,41,41
04/01/2010,11,28,32,-99,43,31,30,29,12,40,44,10,18,50,34
04/01/2010,12,22,21,-99,25,16,39,7,25,17,34,4,9,40,41
04/01/2010,13,15,18,81,21,14,22,-99,-99,19,31,4,9,21,35
04/01/2010,14,24,18,77,26,22,20,9,10,27,32,13,6,21,28
04/01/2010,15,19,26,77,31,18,29,2,18,30,28,15,10,23,35
04/01/2010,16,22,28,83,27,21,41,5,15,40,35,25,20,36,39
04/01/2010,17,47,22,89,30,28,35,7,21,42,31,20,24,36,31
04/01/2010,18,21,51,135,33,36,39,75,60,54,44,19,35,42,41
04/01/2010,19,45,49,115,38,64,48,16,38,55,56,52,43,88,36
04/01/2010,20,18,33,76,21,25,16,9,24,59,36,14,21,31,23
04/01/2010,21,23,17,63,28,9,15,12,22,10,16,9,21,12,20
04/01/2010,22,15,14,47,19,-99,12,-99,15,15,12,7,18,7,19
04/01/2010,23,-99,7,46,12,-99,3,-99,10,7,3,1,10,-99,17
04/01/2010,24,-99,7,26,2,-99,-99,-99,11,-99,-99,5,1,-99,13
05/01/2010,1,7,4,25,13,2,3,-99,12,-99,4,8,6,2,7
