FECHA,HORA,LAG,TAC,FAC,TLA,XAL,MER,PED,PLA,UIZ,IMP,TAX,MIN,TLI,VIF,SAG,VAL,SUR,IZT,CHO
04/01/2007,18,1.4,0.5,0.3,0.7,1.0,0.6,0.4,0.7,0.3,0.3,2.1,2.3,0.5,-99,1.2,1.1,0.9,-99,-99
04/01/2007,19,1.6,0.7,0.8,1.3,1.2,0.8,0.5,0.7,0.6,0.7,1.1,2.5,0.6,-99,1.5,1.6,1.2,-99,-99
04/01/2007,20,1.6,1.1,1.8,2.5,1.3,1.3,0.8,0.7,1.2,1.0,3.8,3.0,1.0,-99,2.1,2.0,1.2,-99,-99
04/01/2007,21,1.9,1.3,2.2,3.4,2.4,1.9,1.2,1.0,2.1,1.2,2.0,3.2,1.8,-99,2.0,2.2,1.5,-99,-99
04/01/2007,22,2.0,2.2,1.6,2.8,2.7,1.5,1.6,1.6,1.8,1.0,1.6,3.3,2.4,-99,1.7,2.7,1.5,-99,-99
04/01/2007,23,2.0,2.4,2.1,1.9,1.5,1.6,1.0,1.8,2.2,0.8,1.1,3.4,2.3,-99,1.6,3.6,1.6,-99,-99
04/01/2007,24,2.3,1.5,1.8,2.0,2.9,2.1,0.6,1.3,1.9,1.5,1.3,4.3,3.1,-99,2.3,3.4,2.2,-99,-99
05/01/2007,1,1.8,1.2,1.6,2.2,2.0,2.2,0.5,1.0,1.8,1.4,2.1,4.1,2.6,-99,2.1,3.5,2.1,-99,-99
05/01/2007,2,1.4,1.3,1.0,1.8,1.6,2.1,0.4,0.9,2.0,1.0,1.2,3.7,1.7,-99,2.9,3.3,1.7,-99,-99
05/01/2007,3,1.4,1.1,0.8,1.5,1.9,2.1,0.4,0.9,1.7,1.0,1.3,3.2,1.2,-99,2.4,2.8,1.4,-99,-99
05/01/2007,4,1.2,0.8,0.7,1.0,2.8,2.3,0.4,0.8,1.0,0.7,0.9,3.2,1.1,-99,1.8,2.1,2.0,-99,-99
05/01/2007,5,1.4,0.8,0.7,1.1,2.3,1.6,0.4,0.8,1.1,1.2,1.2,3.2,1.0,-99,1.6,2.1,1.2,-99,-99
05/01/2007,6,1.1,1.1,1.1,1.7,4.9,1.7,0.5,1.0,1.3,1.3,0.8,2.9,1.6,-99,1.9,3.2,1.4,-99,-99
05/01/2007,7,2.4,2.8,1.7,2.3,4.3,2.7,0.9,1.8,2.0,1.9,1.5,3.7,1.8,-99,2.5,4.2,1.2,-99,-99
05/01/2007,8,2.9,3.1,2.8,4.1,4.8,4.4,1.8,2.3,4.2,2.4,1.5,4.2,2.4,-99,3.9,5.9,1.9,-99,-99
05/01/2007,9,2.8,4.3,3.1,5.1,4.6,3.0,3.0,3.1,4.2,2.3,2.2,5.1,3.1,-99,3.5,6.3,2.7,-99,-99
05/01/2007,10,3.4,4.1,2.0,4.0,3.2,-99,2.2,2.5,2.9,2.2,3.7,6.4,3.5,-99,2.5,5.2,2.5,-99,-99
05/01/2007,11,3.7,2.6,1.4,2.9,2.1,-99,1.9,3.1,2.1,1.0,-99,5.1,2.3,-99,1.8,2.7,2.3,-99,-99
05/01/2007,12,1.9,2.1,1.2,2.1,1.4,1.3,1.8,2.8,1.7,1.0,2.5,4.7,1.1,-99,-99,3.0,2.4,-99,-99
05/01/2007,13,1.2,2.5,1.4,2.3,1.1,1.2,1.9,1.8,1.5,0.6,2.1,3.5,1.2,-99,-99,1.6,2.0,-99,-99
05/01/2007,14,1.1,1.9,1.7,1.8,1.2,1.3,1.7,1.4,0.7,0.5,2.0,3.0,1.1,-99,-99,1.4,1.6,-99,-99
05/01/2007,15,0.9,1.4,1.3,1.7,-99,0.9,1.2,1.0,0.2,0.6,1.3,2.9,0.9,0.5,0.9,1.6,1.1,-99,-99
05/01/2007,16,0.8,1.1,1.3,1.8,0.8,0.4,0.4,0.8,0.3,0.4,0.7,2.6,1.1,0.5,0.9,1.6,0.6,-99,-99
05/01/2007,17,0.9,0.9,1.2,1.2,0.8,0.5,0.4,0.6,0.4,0.3,0.6,2.5,1.1,0.5,1.0,1.1,0.7,-99,-99
05/01/2007,18,1.3,1.2,1.4,1.5,0.8,0.7,0.7,0.7,0.6,0.5,0.8,2.7,0.7,0.7,1.1,1.2,0.8,-99,-99
05/01/2007,19,1.7,0.6,1.0,1.9,1.0,0.8,0.8,0.7,0.6,0.9,1.0,3.0,0.7,0.6,1.3,1.8,1.0,-99,-99
05/01/2007,20,2.1,0.9,1.5,1.8,1.3,0.9,1.2,1.1,0.8,0.8,1.0,3.4,1.1,0.7,1.5,2.1,1.0,-99,-99
05/01/2007,21,2.2,1.1,1.7,1.8,1.7,1.0,1.4,1.4,1.0,1.0,1.3,3.9,1.6,1.2,1.7,2.4,1.3,-99,-99
05/01/2007,22,1.4,1.0,2.4,4.3,1.9,1.5,1.2,1.5,1.1,1.3,1.4,3.0,2.1,2.0,1.8,2.7,2.3,-99,-99
05/01/2007,23,2.3,1.7,1.7,3.8,1.6,1.7,1.3,1.2,1.2,1.5,1.4,2.9,2.8,2.3,2.1,3.0,2.7,-99,-99
05/01/2007,24,2.6,3.4,2.5,3.6,2.5,2.1,1.2,1.8,2.0,1.5,1.4,3.1,2.5,1.8,1.9,3.7,1.4,-99,-99
06/01/2007,1,2.4,1.9,2.2,2.0,3.7,1.8,1.2,2.0,1.3,1.5,1.4,3.6,3.2,1.4,2.2,3.5,1.4,-99,-99
06/01/2007,2,2.6,0.9,1.8,1.8,2.8,2.0,0.8,1.7,1.6,1.8,1.3,3.5,3.6,1.8,2.5,3.4,1.3,-99,-99
06/01/2007,3,1.7,0.6,1.6,2.0,2.7,1.5,0.9,1.6,1.3,1.4,1.3,3.2,2.7,1.9,2.9,3.0,1.0,-99,-99
06/01/2007,4,1.2,1.4,1.1,1.6,2.8,1.5,0.7,1.1,0.9,1.3,0.9,2.8,1.6,1.8,2.5,2.9,1.2,-99,-99
06/01/2007,5,0.8,1.7,0.8,1.4,4.0,1.1,0.3,0.9,0.9,1.4,1.0,2.5,2.3,1.6,2.0,2.4,1.3,-99,-99
06/01/2007,6,1.5,0.7,0.7,1.1,4.4,1.7,0.3,0.9,1.3,1.4,0.8,3.0,2.2,1.6,2.0,2.7,1.6,-99,-99
06/01/2007,7,2.4,1.4,1.3,1.9,7.0,2.8,0.5,1.4,1.8,1.5,0.9,4.2,2.5,1.6,2.2,3.7,2.4,-99,-99
06/01/2007,8,2.1,2.4,1.7,2.9,5.2,3.0,0.7,1.4,2.8,1.9,1.2,4.8,2.6,1.4,2.7,4.5,3.4,-99,-99
06/01/2007,9,2.7,4.8,2.2,3.5,3.4,2.0,1.0,1.9,2.1,1.4,1.7,4.1,2.9,1.5,3.8,4.0,3.2,-99,-99
06/01/2007,10,1.8,2.7,3.7,3.8,2.6,1.8,1.5,2.0,1.8,1.1,2.6,3.7,2.9,1.0,3.2,2.2,1.9,-99,-99
06/01/2007,11,1.2,2.2,2.7,2.8,1.3,0.9,0.9,1.4,1.1,0.8,2.1,3.3,2.3,1.1,1.8,2.1,1.4,-99,-99
