FECHA,HORA,ACO,ATI,CAM,CHO,CCA,CUA,CUT,FAC,HGM,IZT,LLA,LPR,MER,MON,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
19/08/2014,16,-99,1,1,6,1,1,2,2,2,-99,8,-99,3,-99,3,2,-99,1,-99,1,1,2,1,1,1,2,4,11
19/08/2014,17,-99,1,1,3,1,1,1,2,1,-99,8,-99,3,-99,7,2,-99,1,-99,1,1,2,2,1,1,2,7,12
19/08/2014,18,-99,1,2,1,1,1,1,2,2,-99,4,-99,3,-99,5,2,-99,1,-99,1,1,7,2,1,1,3,3,4
19/08/2014,19,-99,0,3,1,1,1,2,2,3,-99,3,-99,4,-99,4,2,-99,1,-99,1,1,7,2,2,2,5,3,4
19/08/2014,20,-99,1,2,7,2,1,2,3,2,-99,4,-99,3,-99,3,2,-99,1,-99,1,2,7,3,1,2,3,4,6
19/08/2014,21,-99,2,2,7,2,1,2,3,3,-99,3,-99,3,-99,5,2,-99,2,-99,2,-99,5,3,1,3,3,4,5
19/08/2014,22,-99,1,2,4,2,1,2,3,3,-99,3,-99,3,-99,8,3,-99,2,-99,2,3,4,3,1,3,4,3,5
19/08/2014,23,-99,1,2,3,1,1,2,2,3,-99,3,-99,4,-99,3,2,-99,1,-99,2,3,4,3,1,3,4,3,5
19/08/2014,24,-99,1,2,3,1,1,2,2,2,-99,4,-99,3,-99,2,2,-99,1,-99,2,2,3,4,0,2,4,4,4
20/08/2014,1,-99,1,2,2,1,1,2,2,2,-99,3,-99,3,-99,3,2,-99,1,2,1,2,3,3,0,2,3,3,4
20/08/2014,2,-99,1,2,2,1,0,2,2,2,-99,1,-99,3,-99,3,2,-99,1,2,1,1,3,2,0,2,3,3,4
20/08/2014,3,-99,1,2,1,1,0,1,2,2,-99,2,-99,3,-99,2,2,-99,1,2,1,1,3,2,0,2,3,3,3
20/08/2014,4,-99,1,3,1,1,1,2,2,2,-99,3,-99,3,-99,1,2,-99,1,2,1,1,2,2,0,2,2,3,3
20/08/2014,5,-99,1,3,1,1,1,2,2,2,-99,3,-99,3,-99,1,2,-99,2,1,1,1,3,2,1,2,3,2,3
20/08/2014,6,-99,1,3,2,1,1,2,4,2,-99,2,-99,4,-99,1,2,-99,2,2,1,1,4,2,1,1,3,2,3
20/08/2014,7,-99,2,4,3,3,3,2,5,3,-99,2,-99,5,-99,3,3,-99,2,3,2,2,7,2,1,2,4,2,4
20/08/2014,8,-99,3,6,2,3,3,2,4,4,-99,3,-99,6,-99,3,3,-99,2,3,2,2,7,3,2,2,4,3,4
20/08/2014,9,-99,3,4,1,3,2,3,3,5,-99,2,-99,5,-99,3,3,-99,2,3,3,2,5,5,2,2,4,4,5
20/08/2014,10,-99,2,3,2,2,1,3,3,4,-99,3,-99,4,-99,3,3,-99,2,3,3,2,4,6,2,2,5,3,4
20/08/2014,11,-99,2,2,1,2,1,3,2,3,-99,2,-99,3,-99,2,3,-99,2,2,3,1,-99,4,2,2,4,3,4
20/08/2014,12,-99,1,2,1,1,1,2,2,2,-99,1,-99,2,-99,2,3,-99,2,2,2,1,4,3,2,2,3,2,4
20/08/2014,13,-99,1,2,1,1,1,-99,2,2,-99,1,-99,3,-99,1,2,-99,1,1,2,1,3,2,1,2,3,2,3
20/08/2014,14,-99,1,2,2,1,1,2,3,2,-99,0,-99,2,-99,1,2,-99,1,1,2,2,3,2,1,2,2,2,-99
20/08/2014,15,-99,1,2,2,1,1,1,3,2,-99,0,-99,2,-99,1,2,-99,2,1,2,2,2,1,1,1,2,2,1
20/08/2014,16,-99,1,1,1,1,1,1,3,1,-99,0,-99,1,-99,1,2,-99,1,0,2,1,3,1,4,2,2,1,2
20/08/2014,17,-99,1,2,1,7,2,1,3,4,-99,0,-99,3,-99,1,8,-99,3,1,11,2,2,1,8,7,4,1,2
20/08/2014,18,-99,1,1,1,5,3,1,3,7,-99,0,-99,5,-99,1,5,-99,3,1,6,1,3,1,3,4,5,1,2
20/08/2014,19,-99,0,2,2,2,1,1,3,2,-99,0,-99,2,-99,1,2,-99,2,1,2,1,3,1,1,2,2,1,2
20/08/2014,20,-99,1,1,13,1,1,1,2,2,-99,0,-99,2,-99,1,2,-99,1,1,2,8,4,1,2,1,2,1,1
20/08/2014,21,-99,0,2,15,9,1,1,2,2,-99,0,-99,2,-99,9,7,-99,1,0,9,5,3,1,7,8,2,1,2
20/08/2014,22,-99,0,2,5,5,4,1,2,1,-99,0,-99,2,-99,2,6,-99,4,1,6,8,2,1,2,7,5,1,2
20/08/2014,23,-99,0,2,6,3,3,1,-99,2,-99,0,-99,2,-99,1,4,-99,4,1,4,8,2,1,1,5,3,2,2
20/08/2014,24,-99,0,3,4,1,2,1,-99,3,-99,1,-99,3,-99,3,3,-99,2,3,3,5,2,1,0,4,4,2,2
21/08/2014,1,1,1,1,2,1,1,2,0,2,-99,1,-99,2,-99,2,3,-99,2,2,3,3,2,1,1,4,3,2,2
21/08/2014,2,1,4,3,1,1,1,2,6,6,-99,0,-99,2,-99,2,2,-99,2,1,2,2,3,1,0,2,3,1,2
21/08/2014,3,1,8,9,2,0,1,3,25,11,-99,0,-99,3,-99,1,2,-99,2,1,1,2,11,2,0,2,3,1,2
21/08/2014,4,1,20,11,1,0,1,36,21,13,-99,1,-99,6,-99,1,2,-99,2,1,1,2,16,10,0,1,4,14,2
21/08/2014,5,1,16,31,2,1,1,27,32,23,-99,9,-99,20,-99,1,2,-99,2,2,1,2,41,53,1,2,6,20,3
21/08/2014,6,1,18,85,3,1,3,12,35,62,-99,14,-99,43,-99,3,3,-99,3,3,2,3,80,38,2,2,3,11,6
21/08/2014,7,1,24,73,3,8,11,33,44,68,-99,33,-99,38,-99,8,16,-99,8,8,6,3,68,39,2,2,8,12,10
21/08/2014,8,1,30,91,3,51,27,116,50,101,-99,2,-99,37,-99,6,44,-99,23,8,58,3,46,20,17,44,10,10,24
21/08/2014,9,2,40,28,3,58,31,86,41,44,-99,2,-99,39,-99,6,42,-99,39,50,78,6,52,105,42,22,14,78,20
21/08/2014,10,2,23,37,5,32,27,93,27,27,-99,47,-99,27,-99,14,27,-99,31,22,54,25,49,97,43,46,31,40,21
21/08/2014,11,2,31,16,5,23,-99,61,16,20,-99,14,-99,19,-99,10,22,-99,24,13,26,23,39,63,36,20,22,34,23
21/08/2014,12,2,40,14,5,20,12,6,25,14,-99,1,-99,15,-99,8,19,-99,-99,12,21,12,36,27,19,15,15,4,8
21/08/2014,13,1,14,9,4,14,15,3,24,9,-99,0,-99,6,-99,4,15,-99,4,2,15,6,22,4,13,11,9,2,2
21/08/2014,14,1,2,-99,2,5,11,3,11,2,-99,0,-99,2,-99,1,7,-99,8,1,6,3,5,2,8,6,4,1,1
21/08/2014,15,1,1,1,2,1,9,2,3,2,-99,0,-99,2,-99,1,3,-99,6,0,3,2,3,1,4,4,2,1,1
21/08/2014,16,1,1,1,2,1,2,2,2,2,-99,0,-99,2,-99,1,3,-99,3,0,2,2,2,1,2,4,4,1,1
21/08/2014,17,1,1,2,1,2,1,2,2,2,-99,0,-99,3,-99,2,3,-99,2,1,3,1,3,1,2,3,4,1,1
21/08/2014,18,1,1,2,1,2,2,3,2,3,-99,0,-99,3,-99,1,3,-99,2,1,3,1,-99,1,1,2,2,1,2
21/08/2014,19,2,1,2,1,1,1,2,2,2,-99,2,-99,2,-99,1,2,-99,2,1,3,1,-99,1,1,1,2,1,3
21/08/2014,20,1,1,3,1,1,1,2,2,2,-99,0,-99,2,-99,1,2,-99,2,1,2,1,-99,1,1,1,2,1,1
21/08/2014,21,1,1,3,1,1,1,2,2,3,-99,0,-99,2,-99,1,2,-99,1,1,2,1,-99,1,2,1,2,1,1
21/08/2014,22,1,1,3,1,1,1,2,1,2,-99,0,-99,2,-99,0,2,-99,1,0,2,1,-99,1,1,1,2,1,1
21/08/2014,23,1,1,3,1,1,0,2,1,3,-99,0,-99,3,-99,1,2,-99,1,1,1,1,-99,2,1,1,3,2,1
21/08/2014,24,1,1,3,1,1,0,2,2,3,-99,0,-99,4,-99,2,2,-99,1,1,1,1,-99,1,1,1,3,1,1
22/08/2014,1,1,1,2,5,0,0,2,2,2,-99,0,-99,3,-99,2,2,-99,1,2,1,1,-99,2,0,1,3,1,1
22/08/2014,2,1,7,2,2,1,0,2,6,2,-99,0,-99,4,-99,5,2,-99,1,1,1,1,-99,1,0,1,2,2,1
22/08/2014,3,1,9,3,1,3,1,2,7,3,-99,1,-99,6,-99,2,3,-99,2,1,3,1,-99,1,0,2,5,2,1
22/08/2014,4,1,25,3,1,4,1,2,13,3,-99,0,-99,7,-99,2,3,-99,2,1,4,1,-99,1,0,4,4,1,2
22/08/2014,5,1,17,2,2,10,1,2,15,5,-99,1,-99,3,-99,2,6,-99,2,2,8,2,-99,1,1,5,5,2,3
22/08/2014,6,2,10,4,2,12,8,3,13,5,-99,2,-99,4,-99,1,11,-99,12,2,10,3,-99,1,4,6,4,2,4
22/08/2014,7,2,13,6,3,12,13,3,15,7,-99,1,-99,6,-99,2,15,-99,17,5,10,6,-99,2,2,7,6,2,5
22/08/2014,8,2,29,15,3,-99,6,34,25,21,-99,6,-99,13,-99,2,14,-99,10,6,10,7,-99,7,5,8,12,3,4
22/08/2014,9,2,33,8,3,16,5,85,28,14,-99,14,-99,6,-99,3,12,-99,12,5,17,6,-99,13,10,-99,17,21,4
22/08/2014,10,2,-99,-99,-99,-99,4,58,19,9,-99,-99,-99,-99,-99,4,9,-99,9,4,15,9,-99,17,8,16,6,53,4
22/08/2014,11,2,-99,-99,-99,-99,5,42,16,10,-99,-99,-99,5,-99,4,10,-99,10,3,11,11,-99,17,7,9,6,31,5
22/08/2014,12,2,24,7,-99,-99,7,6,13,7,-99,14,-99,4,-99,5,9,-99,8,5,6,7,-99,25,8,5,6,9,11
