FECHA,HORA,LAG,TAC,FAC,TLA,XAL,MER,PED,PLA,UIZ,IMP,TAX,TLI,VIF,SAG,VAL,SUR,IZT,CHO
04/01/2008,23,2.1,2.3,-99,2.5,1.9,1.5,0.6,1.3,3.1,1.6,2.8,1.9,1.4,2.5,2.8,1.4,1.5,2.3
04/01/2008,24,2.9,1.8,-99,1.9,1.9,2.1,0.5,1.4,3.6,2.0,3.0,1.9,1.8,2.6,2.5,2.6,2.5,2.3
05/01/2008,1,3.3,1.6,-99,1.7,1.9,2.4,0.4,1.5,5.3,2.1,3.0,1.5,1.8,2.0,2.8,1.9,3.7,2.0
05/01/2008,2,3.2,1.3,-99,1.2,1.5,3.0,0.2,1.4,4.7,1.9,2.2,1.8,1.6,2.1,3.1,1.2,3.3,1.8
05/01/2008,3,3.5,1.1,-99,0.9,1.9,3.6,0.1,1.2,3.1,2.2,1.4,1.8,1.4,2.1,2.8,0.8,2.4,1.3
05/01/2008,4,3.2,1.0,-99,1.0,1.5,2.9,0.2,0.9,4.8,2.3,1.2,1.8,1.1,1.8,2.9,1.2,2.4,1.5
05/01/2008,5,2.5,1.2,-99,0.9,2.4,1.9,0.6,0.8,4.1,1.7,1.3,1.4,1.2,1.7,3.0,1.0,1.5,1.8
05/01/2008,6,1.8,1.2,-99,1.0,2.2,2.0,0.3,0.9,2.0,1.6,1.7,1.6,1.2,2.1,2.7,1.9,2.6,2.4
05/01/2008,7,2.0,1.5,-99,1.4,2.5,4.4,0.4,1.5,2.8,2.0,3.1,1.7,1.7,2.2,3.2,1.6,4.1,2.4
05/01/2008,8,3.9,2.5,-99,1.5,3.2,6.1,1.0,2.5,3.8,2.8,3.1,2.0,2.5,3.6,5.0,2.6,4.8,3.5
05/01/2008,9,6.6,2.9,-99,2.1,4.1,4.5,1.0,3.3,5.1,2.7,2.8,2.6,2.8,3.5,4.1,2.5,4.7,3.5
05/01/2008,10,6.1,4.1,-99,1.9,4.0,2.9,1.5,2.2,5.5,2.7,1.8,2.4,2.4,3.0,2.8,1.8,4.0,2.8
05/01/2008,11,4.4,3.7,-99,1.8,2.7,2.9,1.4,2.1,3.6,3.4,1.7,2.3,-99,2.7,3.1,0.5,3.1,2.1
05/01/2008,12,3.4,2.7,-99,2.0,1.6,2.2,0.7,1.7,2.0,2.1,1.2,2.2,1.2,2.0,2.4,0.3,2.1,1.5
05/01/2008,13,2.3,2.1,-99,1.4,1.7,1.7,0.6,1.5,2.2,1.7,1.8,1.2,0.5,1.5,1.3,0.5,1.4,1.6
05/01/2008,14,2.2,1.0,-99,0.8,0.4,1.0,0.6,1.0,1.4,1.1,1.3,0.7,0.5,0.7,0.8,0.4,0.6,1.7
05/01/2008,15,1.9,0.9,-99,0.9,0.3,1.4,0.6,1.0,1.3,0.6,2.5,0.6,0.5,0.7,1.1,0.4,0.9,1.2
05/01/2008,16,1.5,0.9,-99,0.6,0.6,1.3,0.6,1.0,1.7,0.6,1.4,0.7,0.5,0.9,1.5,0.4,0.7,1.0
05/01/2008,17,1.7,1.0,-99,0.8,0.8,1.5,0.6,0.9,1.8,0.7,2.4,0.8,0.5,1.0,1.5,0.7,0.5,1.1
05/01/2008,18,1.7,1.2,-99,0.9,1.2,2.1,0.9,1.0,1.9,0.6,-99,1.0,0.6,1.2,1.6,0.8,0.6,1.2
05/01/2008,19,2.9,2.1,-99,2.4,2.6,1.6,1.4,2.3,2.2,1.6,1.9,2.2,1.4,3.2,2.6,1.9,2.3,1.1
05/01/2008,20,4.4,2.1,-99,2.3,2.2,1.3,1.4,2.8,2.4,2.9,1.4,2.8,2.1,2.4,5.5,1.0,2.7,1.4
05/01/2008,21,4.6,4.2,-99,2.9,2.1,1.5,1.2,3.1,3.2,2.1,-99,3.2,2.4,2.1,5.7,1.3,2.9,1.4
05/01/2008,22,5.1,2.8,-99,2.6,3.7,3.9,1.0,2.7,3.1,3.1,2.3,3.1,3.1,3.1,6.3,1.2,2.9,1.5
05/01/2008,23,4.5,2.3,-99,2.7,4.3,6.0,0.9,1.8,3.4,3.5,2.5,2.5,3.0,4.6,5.3,3.7,2.6,1.6
05/01/2008,24,4.0,2.5,-99,2.8,4.5,4.0,0.9,1.9,4.4,3.2,3.8,2.2,3.1,4.2,2.6,3.3,4.4,1.3
06/01/2008,1,4.5,1.8,-99,2.1,5.9,4.1,1.5,1.9,3.3,3.5,3.4,2.8,3.4,4.7,2.8,4.8,4.0,1.5
06/01/2008,2,4.2,1.7,-99,1.5,5.9,5.6,0.6,2.2,2.5,3.0,3.7,1.5,2.9,4.6,3.7,5.8,4.7,1.2
06/01/2008,3,3.6,1.6,-99,1.0,3.4,4.6,0.3,1.4,3.4,2.9,3.2,2.4,2.6,3.4,4.0,4.9,6.4,1.9
06/01/2008,4,3.2,1.8,-99,1.1,3.1,3.6,0.4,1.2,4.1,2.8,2.1,2.6,2.4,2.3,3.6,2.3,6.0,1.6
