FECHA,HORA,CAM,COY,MER,NEZ,PED,PER,SAG,SJA,TLA,UIZ,XAL,,,,,,,,,,,,,
07/01/2011,6,24,20,39,-99,-99,49,34,36,12,24,-99,,,,,,,,,,,,,
07/01/2011,7,33,23,43,-99,-99,68,29,40,13,35,-99,,,,,,,,,,,,,
07/01/2011,8,51,28,39,-99,-99,78,36,-99,18,70,-99,,,,,,,,,,,,,
07/01/2011,9,50,43,52,-99,-99,81,39,31,28,43,-99,,,,,,,,,,,,,
07/01/2011,10,50,37,49,-99,-99,84,33,36,43,19,-99,,,,,,,,,,,,,
07/01/2011,11,42,39,45,-99,-99,73,37,48,49,39,-99,,,,,,,,,,,,,
07/01/2011,12,34,44,32,-99,-99,45,34,15,29,55,-99,,,,,,,,,,,,,
07/01/2011,13,3,23,22,-99,-99,12,17,-99,21,11,-99,,,,,,,,,,,,,
07/01/2011,14,-99,10,20,-99,-99,6,26,-99,23,-99,-99,,,,,,,,,,,,,
07/01/2011,15,11,11,24,-99,-99,7,40,12,23,9,-99,,,,,,,,,,,,,
07/01/2011,16,10,24,30,-99,-99,19,36,19,12,17,-99,,,,,,,,,,,,,
07/01/2011,17,18,28,51,-99,-99,30,15,33,18,27,-99,,,,,,,,,,,,,
07/01/2011,18,25,36,59,-99,-99,27,13,19,17,36,-99,,,,,,,,,,,,,
07/01/2011,19,16,44,44,-99,-99,74,23,18,25,26,-99,,,,,,,,,,,,,
07/01/2011,20,30,39,38,-99,-99,47,45,30,27,17,-99,,,,,,,,,,,,,
07/01/2011,21,34,38,41,-99,-99,43,44,36,46,22,-99,,,,,,,,,,,,,
07/01/2011,22,33,39,35,-99,-99,40,39,49,41,42,-99,,,,,,,,,,,,,
07/01/2011,23,32,38,47,-99,-99,39,40,49,53,37,-99,,,,,,,,,,,,,
07/01/2011,24,37,41,48,-99,-99,37,44,39,51,29,-99,,,,,,,,,,,,,
08/01/2011,1,31,43,36,-99,-99,31,38,42,25,18,-99,,,,,,,,,,,,,
08/01/2011,2,41,43,41,-99,-99,37,50,43,22,37,-99,,,,,,,,,,,,,
08/01/2011,3,53,45,38,-99,-99,51,54,41,27,30,-99,,,,,,,,,,,,,
08/01/2011,4,47,40,36,-99,-99,43,59,42,25,31,-99,,,,,,,,,,,,,
08/01/2011,5,45,37,40,-99,-99,87,53,62,31,33,-99,,,,,,,,,,,,,
08/01/2011,6,46,35,42,-99,-99,34,52,69,21,34,-99,,,,,,,,,,,,,
08/01/2011,7,48,36,43,-99,-99,46,45,57,29,37,-99,,,,,,,,,,,,,
08/01/2011,8,47,37,58,-99,-99,59,69,63,51,64,-99,,,,,,,,,,,,,
08/01/2011,9,60,37,86,-99,-99,57,73,61,44,53,-99,,,,,,,,,,,,,
08/01/2011,10,59,44,82,-99,-99,76,64,75,59,58,-99,,,,,,,,,,,,,
08/01/2011,11,52,51,74,-99,-99,71,63,-99,68,49,-99,,,,,,,,,,,,,
08/01/2011,12,31,60,72,-99,-99,54,38,-99,63,46,-99,,,,,,,,,,,,,
08/01/2011,13,33,63,41,-99,-99,36,33,-99,40,31,-99,,,,,,,,,,,,,
08/01/2011,14,20,50,42,-99,-99,26,32,17,38,25,-99,,,,,,,,,,,,,
08/01/2011,15,27,41,32,-99,-99,26,-99,18,44,32,-99,,,,,,,,,,,,,
08/01/2011,16,23,31,31,-99,-99,31,-99,39,26,31,-99,,,,,,,,,,,,,
08/01/2011,17,16,28,24,-99,-99,33,-99,32,30,33,-99,,,,,,,,,,,,,
08/01/2011,18,22,31,28,-99,-99,50,36,40,13,22,-99,,,,,,,,,,,,,
08/01/2011,19,17,28,24,-99,-99,44,31,38,16,17,-99,,,,,,,,,,,,,
08/01/2011,20,18,23,20,-99,-99,42,33,26,18,23,-99,,,,,,,,,,,,,
08/01/2011,21,13,21,25,-99,-99,42,40,30,19,21,-99,,,,,,,,,,,,,
08/01/2011,22,22,22,30,-99,-99,26,46,29,22,20,-99,,,,,,,,,,,,,
08/01/2011,23,25,27,26,-99,-99,37,34,24,20,13,-99,,,,,,,,,,,,,
08/01/2011,24,20,32,25,-99,-99,22,28,22,27,11,-99,,,,,,,,,,,,,
09/01/2011,1,30,35,22,-99,-99,20,25,16,25,14,-99,,,,,,,,,,,,,
09/01/2011,2,53,34,28,-99,-99,16,24,19,24,14,-99,,,,,,,,,,,,,
09/01/2011,3,27,29,24,-99,-99,30,23,23,26,14,-99,,,,,,,,,,,,,
09/01/2011,4,30,27,18,-99,-99,50,18,18,9,7,-99,,,,,,,,,,,,,
09/01/2011,5,23,29,25,-99,-99,9,18,20,10,10,-99,,,,,,,,,,,,,
09/01/2011,6,17,22,17,-99,-99,13,14,4,13,8,-99,,,,,,,,,,,,,
09/01/2011,7,13,19,17,-99,-99,17,12,1,15,10,-99,,,,,,,,,,,,,
09/01/2011,8,8,18,14,-99,-99,14,12,10,13,8,-99,,,,,,,,,,,,,
09/01/2011,9,9,21,12,-99,-99,11,20,6,11,13,-99,,,,,,,,,,,,,
09/01/2011,10,5,22,13,-99,-99,10,10,11,8,6,-99,,,,,,,,,,,,,
09/01/2011,11,7,19,12,-99,-99,10,18,-99,11,2,-99,,,,,,,,,,,,,
09/01/2011,12,2,13,7,-99,-99,13,-99,-99,12,3,-99,,,,,,,,,,,,,
09/01/2011,13,3,14,12,-99,-99,8,7,-99,11,2,-99,,,,,,,,,,,,,
09/01/2011,14,7,10,11,-99,-99,16,14,5,22,8,-99,,,,,,,,,,,,,
09/01/2011,15,14,13,11,-99,-99,16,-99,9,5,-99,-99,,,,,,,,,,,,,
09/01/2011,16,17,17,14,-99,-99,26,-99,12,4,21,-99,,,,,,,,,,,,,
09/01/2011,17,11,17,16,-99,-99,32,16,21,5,31,-99,,,,,,,,,,,,,
09/01/2011,18,14,15,9,-99,-99,35,21,18,7,19,-99,,,,,,,,,,,,,
09/01/2011,19,13,20,10,-99,-99,79,30,20,4,8,-99,,,,,,,,,,,,,
09/01/2011,20,12,23,12,-99,-99,42,17,16,7,18,-99,,,,,,,,,,,,,
09/01/2011,21,19,22,25,-99,-99,40,32,27,21,28,-99,,,,,,,,,,,,,
09/01/2011,22,20,29,31,-99,-99,41,-99,32,17,-99,-99,,,,,,,,,,,,,
09/01/2011,23,32,26,34,-99,-99,32,-99,-99,17,-99,-99,,,,,,,,,,,,,
09/01/2011,24,32,16,25,-99,-99,64,21,29,18,-99,-99,,,,,,,,,,,,,
10/01/2011,1,30,29,28,-99,-99,18,20,24,15,-99,-99,,,,,,,,,,,,,
10/01/2011,2,29,31,24,-99,-99,10,18,31,6,-99,-99,,,,,,,,,,,,,
10/01/2011,3,26,22,18,-99,-99,9,32,29,12,-99,-99,,,,,,,,,,,,,
10/01/2011,4,16,14,16,-99,-99,14,36,23,9,-99,-99,,,,,,,,,,,,,
10/01/2011,5,15,15,17,-99,-99,21,31,32,6,-99,-99,,,,,,,,,,,,,
10/01/2011,6,19,18,24,-99,-99,18,41,38,62,16,-99,,,,,,,,,,,,,
10/01/2011,7,33,17,27,-99,-99,42,44,51,32,20,-99,,,,,,,,,,,,,
10/01/2011,8,47,20,31,-99,-99,35,51,55,18,29,-99,,,,,,,,,,,,,
10/01/2011,9,41,24,24,-99,-99,60,54,49,27,20,-99,,,,,,,,,,,,,
10/01/2011,10,44,21,22,-99,-99,36,37,39,41,32,-99,,,,,,,,,,,,,
10/01/2011,11,41,20,26,-99,-99,78,41,38,50,26,-99,,,,,,,,,,,,,
10/01/2011,12,-99,18,38,-99,-99,49,35,6,33,-99,-99,,,,,,,,,,,,,
10/01/2011,13,10,23,28,-99,-99,11,17,-99,19,12,-99,,,,,,,,,,,,,
10/01/2011,14,5,26,11,-99,-99,41,9,-99,17,-99,-99,,,,,,,,,,,,,
10/01/2011,15,7,-99,14,-99,-99,48,7,3,-99,22,-99,,,,,,,,,,,,,
10/01/2011,16,14,9,32,-99,-99,26,15,13,31,21,-99,,,,,,,,,,,,,
10/01/2011,17,-99,17,39,-99,-99,35,6,20,17,15,-99,,,,,,,,,,,,,
10/01/2011,18,22,33,26,-99,-99,30,19,24,17,15,-99,,,,,,,,,,,,,
10/01/2011,19,20,70,23,-99,-99,30,22,39,27,-99,-99,,,,,,,,,,,,,
10/01/2011,20,36,60,20,-99,-99,31,21,31,29,22,-99,,,,,,,,,,,,,
10/01/2011,21,40,27,31,-99,-99,29,21,33,36,44,-99,,,,,,,,,,,,,
10/01/2011,22,47,23,36,-99,-99,36,23,43,24,43,-99,,,,,,,,,,,,,
10/01/2011,23,32,31,44,-99,-99,40,34,39,20,40,-99,,,,,,,,,,,,,
10/01/2011,24,23,33,36,-99,-99,43,48,-99,19,44,-99,,,,,,,,,,,,,
11/01/2011,1,36,37,26,-99,-99,64,51,-99,27,48,-99,,,,,,,,,,,,,
11/01/2011,2,36,34,40,-99,-99,58,44,-99,21,51,-99,,,,,,,,,,,,,
11/01/2011,3,32,36,60,-99,-99,45,36,-99,24,46,-99,,,,,,,,,,,,,
11/01/2011,4,23,43,60,-99,-99,57,36,-99,14,50,-99,,,,,,,,,,,,,
11/01/2011,5,23,42,45,-99,-99,52,38,39,17,50,-99,,,,,,,,,,,,,
11/01/2011,6,28,38,41,-99,-99,35,-99,41,20,49,-99,,,,,,,,,,,,,
