FECHA,HORA,CAM,COY,HGM,MER,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL,,,,,,,,,,,,,,
06/01/2013,1,50,50,34,25,21,33,16,24,20,34,35,30,39,,,,,,,,,,,,,,
06/01/2013,2,49,54,36,30,26,21,27,19,20,43,35,38,44,,,,,,,,,,,,,,
06/01/2013,3,32,49,32,26,17,18,25,14,19,27,32,23,34,,,,,,,,,,,,,,
06/01/2013,4,35,48,3,24,18,27,23,12,18,44,27,19,30,,,,,,,,,,,,,,
06/01/2013,5,28,41,37,23,25,24,21,18,26,41,26,24,33,,,,,,,,,,,,,,
06/01/2013,6,27,33,97,26,18,34,21,12,30,32,27,33,32,,,,,,,,,,,,,,
06/01/2013,7,34,33,17,31,31,20,-99,12,31,30,36,42,41,,,,,,,,,,,,,,
06/01/2013,8,28,36,35,33,36,12,-99,20,34,29,47,44,37,,,,,,,,,,,,,,
06/01/2013,9,32,31,15,38,30,18,38,19,25,37,43,40,48,,,,,,,,,,,,,,
06/01/2013,10,43,37,42,48,31,24,46,21,29,44,33,52,60,,,,,,,,,,,,,,
06/01/2013,11,51,38,58,64,43,27,63,28,43,58,43,59,75,,,,,,,,,,,,,,
06/01/2013,12,71,44,51,60,51,41,69,56,43,55,36,56,95,,,,,,,,,,,,,,
06/01/2013,13,70,48,84,48,44,46,37,19,31,53,28,53,69,,,,,,,,,,,,,,
06/01/2013,14,43,43,27,30,32,49,25,25,14,49,34,32,51,,,,,,,,,,,,,,
06/01/2013,15,39,33,26,30,23,19,26,31,14,65,27,30,43,,,,,,,,,,,,,,
06/01/2013,16,37,25,-99,23,26,4,22,24,25,36,13,21,32,,,,,,,,,,,,,,
06/01/2013,17,30,28,12,16,7,26,27,26,17,22,24,17,28,,,,,,,,,,,,,,
06/01/2013,18,30,23,15,21,10,31,25,20,29,58,12,17,34,,,,,,,,,,,,,,
06/01/2013,19,28,19,28,19,20,73,27,10,14,-99,3,16,12,,,,,,,,,,,,,,
06/01/2013,20,10,12,24,14,25,19,34,8,16,-99,21,18,29,,,,,,,,,,,,,,
06/01/2013,21,23,15,32,20,21,62,24,11,24,64,20,13,34,,,,,,,,,,,,,,
06/01/2013,22,54,34,49,41,26,53,25,22,26,30,32,31,29,,,,,,,,,,,,,,
06/01/2013,23,49,34,104,27,30,24,21,29,30,21,26,39,48,,,,,,,,,,,,,,
06/01/2013,24,27,36,50,25,38,-99,16,26,27,34,21,33,28,,,,,,,,,,,,,,
07/01/2013,1,36,33,-99,27,27,-99,31,27,33,46,25,31,25,,,,,,,,,,,,,,
07/01/2013,2,40,29,46,41,28,-99,54,22,34,45,17,29,47,,,,,,,,,,,,,,
07/01/2013,3,54,28,10,33,48,-99,55,23,36,51,27,47,67,,,,,,,,,,,,,,
07/01/2013,4,62,54,46,53,64,-99,50,18,54,49,35,58,68,,,,,,,,,,,,,,
07/01/2013,5,60,85,67,61,47,37,55,16,54,58,61,61,75,,,,,,,,,,,,,,
07/01/2013,6,64,100,90,75,45,42,60,11,64,60,54,53,89,,,,,,,,,,,,,,
07/01/2013,7,64,110,73,68,58,44,85,12,91,63,65,75,93,,,,,,,,,,,,,,
07/01/2013,8,74,117,101,85,72,73,73,15,97,75,83,78,90,,,,,,,,,,,,,,
07/01/2013,9,82,126,109,98,66,95,55,42,103,82,77,71,99,,,,,,,,,,,,,,
07/01/2013,10,116,123,128,102,82,156,91,66,101,113,83,87,118,,,,,,,,,,,,,,
07/01/2013,11,134,131,133,108,99,112,113,79,106,133,89,110,151,,,,,,,,,,,,,,
07/01/2013,12,150,132,144,113,105,106,112,94,103,123,99,128,126,,,,,,,,,,,,,,
07/01/2013,13,130,127,118,105,81,92,80,93,84,129,110,122,93,,,,,,,,,,,,,,
07/01/2013,14,89,108,87,83,76,51,54,74,50,69,88,111,57,,,,,,,,,,,,,,
07/01/2013,15,-99,89,40,42,23,62,24,43,10,38,72,76,56,,,,,,,,,,,,,,
07/01/2013,16,43,93,65,33,-99,45,28,34,3,21,52,69,30,,,,,,,,,,,,,,
07/01/2013,17,36,56,39,30,-99,25,12,35,8,19,5,27,26,,,,,,,,,,,,,,
07/01/2013,18,15,14,17,11,-99,23,16,11,6,7,3,12,33,,,,,,,,,,,,,,
07/01/2013,19,23,16,7,18,16,-99,13,15,11,-99,9,16,16,,,,,,,,,,,,,,
07/01/2013,20,17,14,18,12,15,9,22,11,13,-99,22,18,20,,,,,,,,,,,,,,
07/01/2013,21,16,18,28,14,14,24,8,21,14,17,16,17,24,,,,,,,,,,,,,,
07/01/2013,22,25,20,25,12,15,36,20,14,17,28,12,19,41,,,,,,,,,,,,,,
07/01/2013,23,37,27,35,28,16,12,18,5,19,37,8,15,41,,,,,,,,,,,,,,
07/01/2013,24,43,25,37,33,20,16,19,7,38,21,9,18,45,,,,,,,,,,,,,,
08/01/2013,1,22,30,36,31,11,15,34,3,39,40,14,17,27,,,,,,,,,,,,,,
08/01/2013,2,29,28,9,19,9,7,33,3,20,27,9,15,19,,,,,,,,,,,,,,
08/01/2013,3,31,23,37,17,8,-99,17,6,7,29,12,12,18,,,,,,,,,,,,,,
08/01/2013,4,32,15,25,11,10,7,27,2,10,10,12,16,33,,,,,,,,,,,,,,
08/01/2013,5,31,17,19,17,11,2,22,7,13,17,10,23,30,,,,,,,,,,,,,,
08/01/2013,6,30,14,41,13,13,12,25,7,17,32,14,20,44,,,,,,,,,,,,,,
08/01/2013,7,28,14,17,21,20,6,21,10,28,29,20,17,48,,,,,,,,,,,,,,
08/01/2013,8,30,24,10,22,18,-99,23,11,25,45,18,26,46,,,,,,,,,,,,,,
08/01/2013,9,26,27,23,22,15,8,21,9,21,31,14,30,50,,,,,,,,,,,,,,
08/01/2013,10,29,29,31,24,14,17,24,9,20,35,12,16,36,,,,,,,,,,,,,,
08/01/2013,11,21,22,25,4,11,16,20,4,13,23,6,13,35,,,,,,,,,,,,,,
08/01/2013,12,17,10,26,-99,3,9,16,-99,-99,16,5,9,18,,,,,,,,,,,,,,
08/01/2013,13,15,11,10,-99,5,12,11,4,-99,15,3,7,9,,,,,,,,,,,,,,
08/01/2013,14,6,13,-99,10,8,15,11,6,-99,6,10,8,15,,,,,,,,,,,,,,
08/01/2013,15,10,2,-99,7,10,-99,13,-99,9,-99,9,7,9,,,,,,,,,,,,,,
08/01/2013,16,13,7,-99,4,9,-99,11,1,3,-99,6,8,11,,,,,,,,,,,,,,
08/01/2013,17,5,2,12,-99,8,-99,17,3,10,-99,10,1,10,,,,,,,,,,,,,,
08/01/2013,18,10,7,7,5,12,-99,11,8,12,-99,9,8,14,,,,,,,,,,,,,,
08/01/2013,19,8,7,9,7,16,-99,12,7,12,20,6,7,9,,,,,,,,,,,,,,
08/01/2013,20,7,17,7,5,12,-99,14,3,16,46,16,9,6,,,,,,,,,,,,,,
