FECHA,HORA,CAM,COY,CCA,HGM,MER,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL,,,,,,,,,,,,,,
02/11/2014,4,3,-99,7,-99,-99,3,7,-99,3,8,-99,1,9,-99,,,,,,,,,,,,,,
02/11/2014,5,5,-99,10,-99,-99,3,4,-99,8,2,-99,4,9,-99,,,,,,,,,,,,,,
02/11/2014,6,4,-99,5,-99,-99,5,5,13,4,7,-99,3,7,-99,,,,,,,,,,,,,,
02/11/2014,7,3,-99,5,-99,-99,10,3,7,9,4,4,7,-99,-99,,,,,,,,,,,,,,
02/11/2014,8,7,-99,7,-99,-99,4,9,4,15,9,14,1,8,-99,,,,,,,,,,,,,,
02/11/2014,9,14,-99,6,-99,-99,9,17,9,10,4,5,5,8,-99,,,,,,,,,,,,,,
02/11/2014,10,6,-99,11,-99,-99,10,17,21,6,2,10,11,20,-99,,,,,,,,,,,,,,
02/11/2014,11,12,-99,7,-99,-99,10,29,32,-99,12,5,9,13,-99,,,,,,,,,,,,,,
02/11/2014,12,26,-99,11,-99,-99,17,20,42,32,10,21,18,47,-99,,,,,,,,,,,,,,
02/11/2014,13,21,-99,12,-99,-99,25,18,18,52,18,27,18,51,-99,,,,,,,,,,,,,,
02/11/2014,14,28,-99,6,-99,-99,20,23,17,49,12,18,6,50,-99,,,,,,,,,,,,,,
02/11/2014,15,17,-99,12,-99,-99,13,30,9,58,8,6,-99,-99,-99,,,,,,,,,,,,,,
02/11/2014,16,21,-99,13,-99,-99,8,21,11,23,10,13,15,-99,-99,,,,,,,,,,,,,,
02/11/2014,17,22,-99,19,-99,-99,10,12,6,7,19,18,17,-99,-99,,,,,,,,,,,,,,
02/11/2014,18,18,-99,20,-99,-99,10,23,-99,12,18,6,18,28,-99,,,,,,,,,,,,,,
02/11/2014,19,33,-99,21,-99,-99,16,28,10,29,23,16,21,17,-99,,,,,,,,,,,,,,
02/11/2014,20,19,-99,26,-99,-99,12,18,9,21,15,15,18,8,-99,,,,,,,,,,,,,,
02/11/2014,21,10,-99,13,-99,-99,7,12,6,7,11,15,18,13,-99,,,,,,,,,,,,,,
02/11/2014,22,12,-99,11,-99,-99,9,13,4,13,12,16,17,12,-99,,,,,,,,,,,,,,
02/11/2014,23,11,-99,10,-99,-99,8,13,7,8,10,-99,15,9,-99,,,,,,,,,,,,,,
02/11/2014,24,15,-99,12,-99,-99,10,17,3,15,13,18,13,16,-99,,,,,,,,,,,,,,
03/11/2014,1,22,-99,23,-99,-99,8,21,8,18,-99,17,17,23,-99,,,,,,,,,,,,,,
03/11/2014,2,21,-99,20,-99,-99,9,23,29,16,16,27,17,13,-99,,,,,,,,,,,,,,
03/11/2014,3,21,-99,19,-99,-99,21,23,21,16,19,28,13,18,-99,,,,,,,,,,,,,,
03/11/2014,4,26,-99,18,-99,-99,16,20,24,21,13,22,15,18,-99,,,,,,,,,,,,,,
03/11/2014,5,26,-99,18,-99,-99,15,22,20,20,16,20,21,18,-99,,,,,,,,,,,,,,
03/11/2014,6,27,-99,21,-99,-99,12,23,18,17,15,31,18,23,-99,,,,,,,,,,,,,,
03/11/2014,7,36,-99,15,-99,-99,18,25,26,19,17,32,27,26,-99,,,,,,,,,,,,,,
03/11/2014,8,30,-99,22,-99,-99,15,11,34,20,18,41,26,22,-99,,,,,,,,,,,,,,
03/11/2014,9,35,-99,16,-99,-99,14,22,24,28,12,48,17,26,-99,,,,,,,,,,,,,,
03/11/2014,10,41,-99,21,-99,-99,23,49,44,28,24,65,25,32,-99,,,,,,,,,,,,,,
03/11/2014,11,45,-99,23,-99,-99,25,46,51,-99,30,58,29,35,-99,,,,,,,,,,,,,,
03/11/2014,12,46,-99,25,-99,-99,26,58,38,-99,22,34,21,21,-99,,,,,,,,,,,,,,
03/11/2014,13,27,-99,28,-99,-99,29,59,32,-99,27,34,14,53,-99,,,,,,,,,,,,,,
03/11/2014,14,38,-99,25,-99,-99,25,46,29,-99,28,22,13,38,-99,,,,,,,,,,,,,,
03/11/2014,15,29,-99,23,-99,-99,28,22,24,-99,24,26,16,42,-99,,,,,,,,,,,,,,
03/11/2014,16,34,-99,22,-99,-99,18,33,-99,19,15,31,21,43,-99,,,,,,,,,,,,,,
03/11/2014,17,36,-99,28,-99,-99,18,28,10,15,21,25,17,39,-99,,,,,,,,,,,,,,
