FECHA,HORA,MER,TLA,COY,UIZ,SJA,SAG,PER,CAM,ACO
12/08/2008,9,15,42,9,12,-99,7,12,6,4
12/08/2008,10,11,42,15,8,6,6,-99,48,3
12/08/2008,11,14,49,17,11,11,3,-99,15,9
12/08/2008,12,10,34,-99,6,9,9,-99,-99,1
12/08/2008,13,4,13,-99,6,8,8,4,-99,1
12/08/2008,14,5,6,-99,-99,9,3,5,5,4
12/08/2008,15,-99,10,-99,-99,9,11,3,-99,-99
12/08/2008,16,-99,11,-99,-99,-99,6,-99,6,6
12/08/2008,17,-99,7,-99,3,-99,3,6,5,10
12/08/2008,18,3,10,-99,1,11,5,7,7,13
12/08/2008,19,5,12,1,3,14,16,15,11,12
12/08/2008,20,3,9,2,8,16,12,18,12,16
12/08/2008,21,7,12,4,7,9,10,15,2,10
12/08/2008,22,9,14,2,3,-99,10,12,4,11
12/08/2008,23,6,19,3,4,12,7,20,5,11
12/08/2008,24,7,13,4,1,4,11,9,-99,9
13/08/2008,1,6,10,3,6,17,13,12,-99,13
13/08/2008,2,5,10,2,5,3,9,11,-99,11
13/08/2008,3,4,11,2,7,-99,5,9,26,9
13/08/2008,4,7,7,3,9,16,8,13,19,12
13/08/2008,5,13,14,-99,9,16,8,20,25,12
13/08/2008,6,17,25,-99,14,24,18,17,12,15
13/08/2008,7,19,21,-99,15,17,20,16,18,14
13/08/2008,8,27,17,11,22,25,13,27,27,16
13/08/2008,9,31,19,19,30,21,13,36,24,8
13/08/2008,10,29,27,-99,41,26,19,5,20,6
13/08/2008,11,37,35,-99,55,23,21,21,3,15
13/08/2008,12,33,34,31,32,7,23,26,26,14
13/08/2008,13,16,32,33,16,21,17,3,13,7
13/08/2008,14,12,24,18,10,-99,-99,3,29,6
13/08/2008,15,14,18,12,19,20,9,21,28,2
13/08/2008,16,13,12,17,18,-99,-99,8,9,15
13/08/2008,17,24,20,19,15,24,25,11,23,17
13/08/2008,18,14,16,13,15,26,18,27,34,3
13/08/2008,19,12,15,7,11,20,10,22,6,14
13/08/2008,20,14,12,6,10,8,13,17,7,13
13/08/2008,21,10,15,7,13,10,15,15,29,15
13/08/2008,22,10,19,-99,12,-99,12,17,8,14
13/08/2008,23,13,16,-99,20,13,13,16,20,17
13/08/2008,24,14,19,-99,17,17,20,11,32,11
14/08/2008,1,17,10,11,19,31,22,24,16,15
14/08/2008,2,18,9,10,16,19,18,21,26,14
14/08/2008,3,12,8,10,15,13,18,20,23,15
14/08/2008,4,15,10,9,16,26,19,22,16,16
14/08/2008,5,16,11,10,18,19,18,30,19,13
14/08/2008,6,15,17,10,19,26,21,23,1,22
14/08/2008,7,18,26,12,23,14,20,36,27,17
14/08/2008,8,31,25,16,28,22,26,28,34,14
14/08/2008,9,37,38,18,30,18,26,33,31,10
14/08/2008,10,-99,59,27,58,16,45,53,-99,21
14/08/2008,11,-99,60,55,48,47,48,23,-99,27
14/08/2008,12,-99,46,62,59,33,31,20,-99,19
14/08/2008,13,45,52,59,42,29,18,12,-99,1
14/08/2008,14,31,55,39,36,15,7,7,-99,3
14/08/2008,15,14,43,25,25,2,6,8,-99,9
14/08/2008,16,12,-99,27,23,5,10,-99,51,6
14/08/2008,17,18,12,23,26,21,18,25,38,-99
14/08/2008,18,20,22,20,28,20,27,30,20,28
14/08/2008,19,23,28,16,28,23,31,29,48,27
14/08/2008,20,22,34,13,23,21,21,26,25,33
14/08/2008,21,25,29,-99,15,19,30,31,29,36
14/08/2008,22,23,25,-99,31,29,13,24,32,36
14/08/2008,23,21,13,18,22,10,16,32,34,26
14/08/2008,24,19,17,24,26,9,18,28,9,50
15/08/2008,1,22,20,21,28,5,22,24,37,36
15/08/2008,2,22,13,18,24,27,20,29,22,26
15/08/2008,3,16,8,18,29,27,23,32,12,29
15/08/2008,4,13,9,19,18,15,26,31,16,20
15/08/2008,5,16,15,20,22,15,25,27,3,29
15/08/2008,6,20,20,15,31,25,19,39,19,33
15/08/2008,7,23,25,18,37,27,24,41,30,44
15/08/2008,8,28,30,25,43,21,29,45,40,31
15/08/2008,9,32,42,31,-99,40,20,42,31,21
15/08/2008,10,39,43,30,-99,27,27,40,25,23
15/08/2008,11,46,43,30,-99,33,30,13,34,19
15/08/2008,12,-99,57,-99,38,42,31,24,47,14
15/08/2008,13,-99,58,-99,52,20,26,26,50,13
15/08/2008,14,-99,36,-99,44,20,16,17,25,14
15/08/2008,15,46,24,34,30,16,9,-99,20,10
15/08/2008,16,24,13,31,23,21,11,4,8,18
15/08/2008,17,15,13,19,27,15,20,13,9,31
15/08/2008,18,22,37,22,30,24,36,46,38,40
15/08/2008,19,33,30,-99,17,44,26,20,27,11
15/08/2008,20,18,20,9,20,14,6,14,13,11
15/08/2008,21,20,19,24,30,6,24,26,25,16
