FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,GAM,HGM,INN,MER,MGH,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL,,,,,,,
03/01/2015,16,-99,-99,-99,18,7,12,-99,9,-99,5,4,12,1,-99,-99,7,-99,8,11,-99,,,,,,,
03/01/2015,17,-99,-99,-99,2,2,7,-99,12,-99,10,2,16,12,-99,-99,10,-99,12,6,-99,,,,,,,
03/01/2015,18,-99,-99,-99,15,10,10,-99,19,-99,18,3,15,13,-99,6,14,-99,14,13,-99,,,,,,,
03/01/2015,19,-99,-99,-99,15,12,8,-99,6,-99,9,8,15,11,12,7,13,-99,20,15,-99,,,,,,,
03/01/2015,20,-99,-99,-99,15,12,11,-99,5,-99,15,9,14,2,17,7,18,-99,16,21,-99,,,,,,,
03/01/2015,21,-99,-99,-99,13,12,9,-99,12,-99,25,13,15,-99,17,7,17,-99,15,10,-99,,,,,,,
03/01/2015,22,-99,-99,-99,17,16,11,-99,11,-99,30,16,19,-99,19,16,20,-99,13,20,-99,,,,,,,
03/01/2015,23,-99,-99,-99,17,17,19,-99,16,-99,24,17,20,-99,22,14,24,-99,20,17,-99,,,,,,,
03/01/2015,24,-99,-99,-99,17,9,23,-99,12,-99,21,20,16,-99,23,12,23,-99,24,19,-99,,,,,,,
04/01/2015,1,-99,-99,-99,19,9,23,-99,15,-99,37,20,18,-99,20,15,28,-99,17,21,-99,,,,,,,
04/01/2015,2,-99,-99,-99,19,10,12,-99,17,-99,31,17,16,-99,27,18,26,-99,22,10,-99,,,,,,,
04/01/2015,3,-99,-99,-99,5,12,17,-99,20,-99,13,13,20,-99,28,5,21,-99,17,7,-99,,,,,,,
04/01/2015,4,-99,-99,-99,13,7,7,-99,20,-99,26,17,18,3,27,-99,25,-99,17,23,-99,,,,,,,
04/01/2015,5,-99,-99,-99,17,10,8,-99,18,-99,16,14,26,6,29,2,24,-99,8,18,-99,,,,,,,
04/01/2015,6,-99,-99,-99,14,9,17,-99,23,-99,24,16,24,10,19,3,23,-99,8,22,-99,,,,,,,
04/01/2015,7,-99,-99,-99,7,13,13,-99,9,-99,25,16,23,8,18,12,24,-99,24,22,-99,,,,,,,
04/01/2015,8,-99,-99,-99,8,10,13,-99,7,-99,19,17,25,10,20,13,25,-99,22,21,-99,,,,,,,
04/01/2015,9,-99,-99,-99,11,10,16,-99,16,-99,36,13,25,4,23,20,23,-99,24,26,-99,,,,,,,
04/01/2015,10,-99,-99,-99,19,12,24,-99,45,-99,37,20,29,18,34,11,21,-99,21,28,-99,,,,,,,
04/01/2015,11,-99,-99,-99,30,16,35,-99,38,-99,32,21,31,21,35,16,24,-99,12,37,-99,,,,,,,
04/01/2015,12,-99,-99,-99,36,23,42,-99,21,-99,40,22,29,33,37,40,23,-99,18,46,-99,,,,,,,
04/01/2015,13,-99,-99,-99,31,16,31,-99,44,-99,26,22,30,22,21,-99,26,-99,27,18,-99,,,,,,,
