FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CHO,CUA,CUT,FAC,HGM,INN,IZT,MER,MGH,PED,SAG,SFE,SUR,TAH,TLA,TLI,UIZ,VIF,XAL,,,
02/06/2015,21,33,21,29,-99,34,11,29,40,37,35,-99,29,34,26,16,36,21,20,34,33,19,35,19,58,,,
02/06/2015,22,20,20,25,-99,31,21,12,48,42,27,-99,27,32,29,28,35,26,26,41,31,33,29,35,45,,,
02/06/2015,23,24,21,32,-99,26,22,13,43,25,37,-99,26,33,18,19,26,23,1,15,37,25,30,37,43,,,
02/06/2015,24,28,22,27,-99,29,32,15,35,26,40,-99,26,31,22,34,30,28,18,9,50,38,42,39,57,,,
03/06/2015,1,28,24,24,-99,41,34,13,40,26,45,-99,46,34,33,32,46,34,44,-99,49,38,24,33,54,,,
03/06/2015,2,21,31,42,-99,37,11,26,55,30,42,-99,30,40,31,34,33,34,24,-99,38,31,32,40,33,,,
03/06/2015,3,21,24,37,-99,40,1,22,52,43,43,-99,36,43,33,32,32,30,31,-99,48,40,40,55,40,,,
03/06/2015,4,33,20,41,-99,52,1,40,45,41,47,-99,33,50,36,20,38,35,3,16,57,46,20,59,65,,,
03/06/2015,5,39,24,48,-99,68,1,35,75,45,42,-99,22,34,49,10,49,44,-99,1,60,52,14,67,85,,,
03/06/2015,6,30,28,49,-99,76,16,41,99,62,26,-99,18,33,41,20,45,44,9,5,70,50,21,80,54,,,
03/06/2015,7,54,33,67,-99,79,28,44,88,88,33,-99,21,38,31,19,43,67,14,18,66,75,32,78,106,,,
03/06/2015,8,70,37,69,-99,57,42,43,162,105,31,-99,20,49,39,30,49,69,20,21,74,96,30,86,123,,,
03/06/2015,9,53,35,47,-99,54,28,50,114,61,36,-99,25,52,55,50,55,49,28,27,130,94,35,78,127,,,
03/06/2015,10,30,45,51,-99,-99,44,72,105,82,65,-99,29,59,83,-99,75,74,24,2,144,134,47,90,122,,,
03/06/2015,11,39,47,27,-99,118,53,56,57,61,94,-99,50,71,89,-99,90,69,50,35,93,104,85,102,130,,,
03/06/2015,12,48,54,1,-99,97,74,22,14,29,94,-99,63,105,70,-99,85,71,41,29,64,68,77,67,137,,,
03/06/2015,13,43,64,22,-99,70,18,45,16,18,91,-99,65,116,63,91,64,76,70,1,62,9,92,20,92,,,
03/06/2015,14,42,74,1,-99,64,18,37,42,17,103,-99,68,94,55,98,51,27,70,41,55,15,84,44,40,,,
03/06/2015,15,25,56,19,-99,48,48,20,45,21,78,-99,50,52,39,46,47,34,39,39,47,24,54,43,29,,,
03/06/2015,16,21,32,9,-99,48,147,32,43,44,50,-99,29,-99,37,43,61,48,1,97,44,45,17,37,76,,,
03/06/2015,17,33,37,29,-99,44,33,46,32,42,56,-99,26,33,50,53,46,64,24,59,39,19,32,19,41,,,
