FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
03/01/2019,21,39,22,68,51,64,44,32,-99,53,65,86,-99,47,48,-99,54,54,-99,64,63,21,5,40,39,-99,38,86,-99,45,67,-99,31,38,51,52
03/01/2019,22,36,18,56,53,73,47,30,-99,41,58,75,-99,54,58,-99,56,55,-99,62,70,22,4,39,39,-99,48,78,-99,44,73,-99,35,50,57,53
03/01/2019,23,39,18,44,55,78,55,32,-99,33,51,64,-99,52,59,-99,53,50,-99,61,69,31,5,33,53,-99,50,63,-99,35,71,-99,32,53,53,57
03/01/2019,24,39,16,42,52,74,53,18,-99,48,44,54,-99,52,58,-99,46,51,-99,52,73,40,3,45,40,-99,49,45,-99,23,68,-99,42,47,55,54
04/01/2019,1,39,12,40,50,69,50,34,-99,38,42,42,-99,49,46,-99,44,45,-99,49,70,38,2,42,21,-99,46,33,-99,24,64,-99,36,41,53,50
04/01/2019,2,36,11,43,45,60,48,34,-99,47,36,42,-99,43,48,-99,45,43,-99,48,66,35,2,44,31,-99,45,28,-99,28,55,-99,31,31,52,48
04/01/2019,3,33,15,44,45,61,46,29,-99,38,35,28,-99,39,47,-99,41,38,-99,47,60,32,4,30,33,-99,42,28,-99,24,50,-99,25,31,45,47
04/01/2019,4,30,10,40,37,57,39,31,-99,37,32,21,-99,38,40,-99,35,35,-99,44,54,29,3,43,31,-99,40,25,-99,17,49,-99,19,24,37,45
04/01/2019,5,29,11,37,30,71,37,33,-99,32,27,25,-99,37,30,-99,32,38,-99,37,50,25,2,39,24,-99,41,31,-99,16,45,-99,18,21,38,-99
04/01/2019,6,24,12,37,41,54,34,35,-99,39,26,31,-99,40,32,-99,37,39,-99,43,51,30,6,35,23,-99,37,46,-99,17,40,-99,24,40,31,51
