FECHA,HORA,ACO,ATI,CAM,CHO,COY,CCA,CUA,CUT,FAC,HGM,IZT,LLA,LPR,MER,MON,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
26/02/2014,10,22,24,54,-99,61,-99,20,37,42,95,55,47,-99,67,31,36,48,31,27,51,61,39,43,-99,29,57,43,45,64
26/02/2014,11,16,8,40,-99,-99,-99,-99,23,33,53,58,37,-99,60,14,32,43,39,19,53,48,15,23,-99,-99,34,34,19,60
26/02/2014,12,9,11,32,-99,-99,-99,-99,8,22,33,51,14,-99,47,8,17,53,24,24,41,46,16,26,-99,38,27,24,11,52
26/02/2014,13,-99,13,29,-99,-99,-99,-99,7,24,35,34,8,-99,35,6,12,31,13,19,-99,32,14,26,-99,35,15,18,9,26
26/02/2014,14,8,14,37,-99,-99,-99,-99,8,26,32,29,9,-99,35,6,16,29,14,23,19,28,14,27,13,33,16,19,-99,18
26/02/2014,15,7,14,32,-99,-99,-99,26,9,22,27,28,13,-99,23,7,15,28,13,30,18,26,15,32,14,33,18,19,-99,27
26/02/2014,16,8,12,32,-99,28,-99,27,9,36,28,25,11,-99,40,7,18,27,16,30,19,25,16,33,14,33,21,18,-99,29
26/02/2014,17,13,14,30,-99,24,-99,34,9,34,31,33,13,-99,27,8,24,25,16,33,19,24,13,38,17,24,21,25,-99,26
26/02/2014,18,11,21,34,-99,18,-99,34,8,48,32,33,20,-99,35,11,31,14,19,33,24,23,11,40,19,12,18,23,10,43
26/02/2014,19,25,34,43,-99,22,-99,29,14,47,30,35,25,-99,51,17,30,17,31,40,38,22,11,48,33,10,21,24,23,45
26/02/2014,20,15,18,37,-99,26,-99,19,22,18,34,30,34,-99,50,20,29,21,40,25,38,30,10,26,41,11,19,36,31,42
26/02/2014,21,13,27,41,-99,31,-99,24,21,36,32,41,45,-99,49,20,51,18,40,24,49,24,22,46,44,17,23,37,18,50
26/02/2014,22,13,37,36,-99,47,-99,22,18,31,42,43,40,-99,52,22,63,28,41,29,49,41,21,53,41,10,35,43,17,55
26/02/2014,23,18,30,53,-99,46,-99,12,14,42,42,48,38,-99,57,30,79,38,44,21,54,49,34,49,34,21,48,65,17,62
26/02/2014,24,-99,27,34,-99,36,-99,12,18,21,40,39,29,-99,36,37,65,45,36,19,54,31,28,30,19,26,39,48,15,-99
27/02/2014,1,-99,18,35,-99,38,-99,9,27,27,25,30,16,-99,32,23,44,39,24,25,39,48,26,27,17,11,45,38,15,-99
27/02/2014,2,-99,13,32,-99,26,-99,15,29,19,30,35,22,-99,36,16,38,27,15,19,38,25,29,26,21,8,37,33,34,-99
27/02/2014,3,-99,16,29,-99,36,-99,21,28,21,31,39,31,-99,36,13,17,15,31,20,35,28,25,25,36,7,37,38,37,-99
27/02/2014,4,-99,17,28,-99,39,-99,21,25,22,36,38,32,-99,40,19,17,18,28,23,32,41,24,27,37,8,34,27,35,-99
27/02/2014,5,-99,17,32,-99,37,-99,20,22,18,35,32,32,-99,32,24,19,14,28,27,26,41,26,29,37,11,39,26,35,-99
27/02/2014,6,-99,27,34,-99,35,-99,17,25,26,35,36,35,-99,34,22,25,16,34,34,27,37,31,30,36,13,38,31,33,30
27/02/2014,7,-99,29,39,-99,36,-99,27,24,33,35,38,35,-99,36,25,33,31,29,27,30,39,33,32,34,14,37,32,34,30
27/02/2014,8,-99,32,42,-99,43,-99,34,25,40,37,37,28,-99,37,30,37,38,28,35,33,42,25,41,36,19,35,36,32,31
27/02/2014,9,-99,42,49,-99,42,-99,22,42,48,47,44,30,-99,44,37,43,40,29,25,39,38,22,52,48,33,39,44,32,43
27/02/2014,10,-99,61,56,-99,36,-99,12,34,70,62,40,36,-99,53,23,48,37,26,32,37,36,19,70,60,40,38,46,30,42
27/02/2014,11,-99,40,60,-99,33,-99,33,23,57,49,44,48,-99,40,6,33,-99,19,51,29,22,6,81,44,-99,29,31,30,-99
27/02/2014,12,-99,31,39,-99,32,-99,23,18,30,35,36,46,-99,32,7,29,-99,21,40,24,23,6,63,35,-99,21,29,22,37
27/02/2014,13,-99,11,34,-99,21,-99,10,12,16,26,27,24,-99,34,5,18,23,21,12,-99,18,5,29,35,-99,11,24,26,34
27/02/2014,14,-99,9,-99,-99,19,-99,9,8,10,23,19,27,-99,26,6,11,12,21,7,-99,15,4,15,16,7,8,19,23,32
27/02/2014,15,-99,10,-99,-99,20,-99,9,8,11,13,22,26,-99,24,9,16,8,21,8,-99,17,5,19,14,7,8,16,12,22
27/02/2014,16,-99,8,-99,-99,13,-99,10,9,13,12,18,21,-99,23,10,18,7,11,8,12,12,5,15,13,6,8,14,13,18
27/02/2014,17,-99,10,-99,-99,8,-99,11,7,12,11,16,22,-99,25,9,18,5,11,7,16,10,4,18,13,5,8,10,13,16
27/02/2014,18,-99,8,-99,-99,9,-99,13,7,12,15,15,23,-99,25,6,19,7,14,11,21,12,4,17,20,6,8,11,9,18
27/02/2014,19,-99,9,-99,-99,14,-99,15,14,7,21,21,30,-99,30,8,24,12,25,22,29,21,5,22,29,7,13,17,14,29
27/02/2014,20,-99,13,-99,-99,25,-99,17,24,19,28,35,36,-99,36,23,28,19,32,26,34,26,5,25,34,8,21,26,19,32
27/02/2014,21,-99,32,-99,-99,33,-99,19,28,32,30,36,31,-99,32,24,37,17,31,25,29,31,5,32,28,5,27,33,23,30
27/02/2014,22,-99,34,-99,-99,31,-99,16,25,36,32,30,35,-99,35,18,42,22,30,24,34,32,15,34,35,17,36,37,29,30
27/02/2014,23,-99,35,-99,-99,33,-99,14,31,34,41,41,42,-99,45,23,39,24,39,18,38,29,12,42,39,19,34,35,28,28
27/02/2014,24,-99,34,-99,-99,46,-99,17,28,34,43,48,40,-99,44,29,34,26,39,26,45,33,10,44,38,13,-99,40,30,40
28/02/2014,1,19,27,-99,-99,39,-99,11,31,33,39,44,37,-99,43,27,-99,21,39,23,46,32,26,37,39,7,-99,35,30,42
28/02/2014,2,17,25,-99,-99,32,-99,12,27,29,35,39,31,-99,38,24,-99,14,31,21,39,31,23,34,36,16,-99,33,22,42
28/02/2014,3,15,16,-99,-99,31,-99,18,26,26,32,35,31,-99,38,22,-99,11,30,18,32,29,17,31,35,18,-99,32,25,34
28/02/2014,4,16,20,-99,-99,29,-99,7,22,22,33,33,29,-99,32,20,-99,12,26,22,28,27,23,29,32,12,-99,30,21,29
28/02/2014,5,16,24,-99,-99,29,-99,8,21,22,31,31,27,-99,32,20,-99,12,24,17,28,31,24,30,35,7,-99,30,28,28
28/02/2014,6,19,25,-99,-99,28,-99,11,19,28,30,30,26,-99,30,23,-99,17,24,21,28,30,24,29,35,7,27,31,26,24
28/02/2014,7,17,27,-99,-99,31,-99,16,20,28,31,31,27,-99,35,26,-99,24,24,32,27,29,23,29,34,8,24,31,24,29
28/02/2014,8,18,32,-99,-99,32,-99,25,26,30,32,33,31,-99,37,26,25,29,26,32,28,29,23,36,36,10,24,31,26,30
28/02/2014,9,20,42,-99,-99,36,-99,15,40,37,38,49,36,-99,59,30,41,36,29,22,-99,41,19,55,51,25,28,38,34,49
28/02/2014,10,19,59,-99,-99,39,-99,19,41,94,74,71,36,-99,64,19,40,43,28,37,46,45,20,86,68,46,33,58,37,41
28/02/2014,11,-99,-99,-99,-99,30,-99,33,32,93,75,77,22,-99,60,17,21,34,25,37,42,32,14,66,58,36,30,47,50,30
28/02/2014,12,-99,-99,-99,-99,32,-99,32,17,46,40,38,11,-99,40,8,16,20,13,26,15,19,5,31,38,-99,12,23,27,20
28/02/2014,13,7,-99,-99,-99,30,-99,30,9,39,32,29,10,-99,28,7,14,19,12,24,20,18,4,30,32,-99,13,15,14,19
28/02/2014,14,6,30,-99,-99,24,-99,30,9,46,30,26,15,-99,34,5,13,19,16,24,25,16,3,38,22,-99,12,15,14,26
28/02/2014,15,6,27,-99,-99,25,-99,31,9,45,31,24,16,-99,40,6,15,17,14,27,26,17,4,42,18,-99,9,13,14,27
28/02/2014,16,8,25,-99,-99,21,-99,34,9,47,32,27,16,-99,40,7,15,20,15,30,23,15,4,36,22,-99,7,17,14,33
28/02/2014,17,9,19,-99,-99,18,-99,33,9,42,30,30,15,-99,30,9,15,14,14,27,-99,22,5,34,22,-99,15,16,13,25
28/02/2014,18,10,24,-99,-99,18,-99,26,13,42,25,25,16,-99,31,8,-99,14,25,17,34,21,6,35,25,-99,13,21,11,33
28/02/2014,19,11,34,-99,-99,24,-99,25,22,34,41,29,19,-99,34,11,-99,14,25,24,44,29,7,38,28,5,14,23,31,43
28/02/2014,20,12,28,-99,-99,36,-99,20,32,29,47,34,30,-99,38,14,-99,17,37,28,48,34,7,42,38,6,17,27,35,47
28/02/2014,21,13,30,-99,-99,40,-99,14,28,38,55,33,34,-99,36,22,-99,18,45,22,48,25,7,46,37,10,18,27,49,46
28/02/2014,22,15,39,-99,-99,47,-99,12,43,40,42,43,35,-99,44,20,-99,27,39,21,54,29,21,40,50,9,20,35,53,49
28/02/2014,23,23,53,-99,-99,47,-99,18,42,43,40,44,44,-99,52,23,-99,30,40,30,56,43,29,53,47,9,27,30,48,45
28/02/2014,24,37,36,-99,-99,46,-99,17,33,39,42,42,47,-99,45,22,-99,39,38,35,49,47,28,42,45,8,37,41,50,48
01/03/2014,1,24,37,39,-99,47,-99,26,30,36,41,42,38,-99,45,22,-99,19,37,34,48,43,30,40,46,8,36,40,39,-99
01/03/2014,2,22,37,37,-99,41,-99,-99,28,35,41,40,35,-99,41,30,-99,26,37,30,48,37,23,40,48,7,30,36,34,-99
01/03/2014,3,21,36,38,-99,39,-99,-99,26,34,38,40,35,-99,40,28,-99,36,34,24,42,35,18,38,42,8,25,27,33,-99
01/03/2014,4,18,33,40,-99,37,-99,41,25,30,36,36,35,-99,39,30,-99,15,33,25,38,34,19,36,40,8,30,29,32,-99
01/03/2014,5,18,32,37,-99,36,-99,38,25,28,36,34,35,-99,37,26,-99,16,37,27,36,34,14,33,41,8,29,32,30,-99
01/03/2014,6,21,35,34,-99,36,-99,40,24,26,36,36,34,-99,38,26,-99,14,32,30,38,35,15,34,38,7,27,31,30,-99
01/03/2014,7,23,33,37,-99,35,-99,47,25,33,36,34,32,-99,42,29,-99,25,30,41,34,36,17,36,38,9,25,32,30,-99
01/03/2014,8,21,36,39,-99,34,-99,46,29,34,33,36,34,-99,47,27,-99,35,30,45,35,30,22,37,37,13,28,34,32,-99
01/03/2014,9,23,36,48,-99,38,-99,47,37,36,50,56,48,-99,53,33,-99,43,42,34,42,37,32,51,60,31,28,57,38,-99
01/03/2014,10,21,43,72,-99,62,-99,45,35,65,77,88,51,-99,68,22,-99,43,36,46,38,41,21,63,60,55,23,91,43,-99
01/03/2014,11,11,41,77,-99,85,-99,45,27,66,67,91,46,-99,66,16,-99,43,34,50,37,45,23,64,54,49,29,78,42,-99
01/03/2014,12,12,30,73,-99,70,-99,42,15,45,52,61,45,-99,51,9,-99,38,31,34,25,48,23,70,37,32,50,55,24,-99
01/03/2014,13,8,29,40,-99,37,-99,33,9,35,31,33,28,-99,26,4,-99,32,20,34,20,35,6,43,33,25,29,41,17,-99
01/03/2014,14,7,28,31,-99,29,-99,27,14,33,23,31,14,-99,26,5,-99,25,17,26,17,23,6,33,29,18,22,31,16,-99
01/03/2014,15,5,18,26,-99,31,-99,20,15,32,19,26,10,-99,22,6,-99,19,13,18,15,25,5,25,21,16,16,17,15,-99
01/03/2014,16,6,-99,24,-99,17,-99,19,12,23,18,24,10,-99,18,8,-99,11,15,21,9,13,6,17,18,14,5,17,12,-99
01/03/2014,17,9,25,27,-99,13,-99,29,10,23,22,26,11,-99,23,8,-99,12,21,20,17,17,7,23,22,13,13,14,-99,-99
01/03/2014,18,9,17,27,-99,21,-99,32,15,11,25,26,15,-99,39,10,-99,15,24,20,28,21,6,23,38,9,15,19,-99,-99
01/03/2014,19,6,21,25,-99,26,-99,19,20,10,20,29,36,-99,-99,11,-99,24,37,25,23,23,6,24,19,7,17,29,27,-99
01/03/2014,20,8,19,51,-99,44,-99,30,20,35,39,48,27,-99,-99,17,-99,32,31,30,42,26,15,40,33,15,26,45,19,-99
01/03/2014,21,11,39,61,-99,63,-99,25,18,57,47,50,19,-99,-99,17,-99,34,28,45,31,44,31,54,51,18,38,56,21,-99
01/03/2014,22,22,37,62,-99,56,-99,47,19,50,56,51,47,-99,-99,14,-99,36,43,44,41,54,40,58,45,12,43,43,37,-99
01/03/2014,23,30,27,59,-99,52,-99,46,37,47,55,61,51,-99,-99,28,-99,27,43,46,55,48,40,50,57,15,49,49,52,-99
01/03/2014,24,27,38,49,-99,43,-99,50,40,44,52,52,53,-99,-99,26,-99,28,49,-99,59,48,45,48,52,17,45,52,52,-99
02/03/2014,1,25,39,47,-99,49,-99,44,38,41,49,48,52,-99,-99,32,-99,20,43,-99,58,47,38,47,42,14,41,49,45,-99
02/03/2014,2,30,32,46,-99,48,-99,32,39,38,48,47,48,-99,-99,26,-99,34,35,-99,51,42,22,44,42,7,40,44,42,-99
02/03/2014,3,21,33,46,-99,45,-99,27,31,37,47,45,41,-99,-99,23,-99,39,38,-99,46,44,20,43,40,9,34,43,40,-99
02/03/2014,4,22,36,44,-99,43,-99,21,23,33,45,42,39,-99,-99,16,-99,36,37,-99,42,36,14,40,47,7,29,42,38,-99
02/03/2014,5,23,35,43,-99,41,-99,26,22,24,42,40,37,-99,-99,13,-99,30,35,-99,41,37,13,40,46,5,22,33,33,-99
02/03/2014,6,21,34,42,-99,37,-99,8,28,25,35,34,35,-99,-99,21,-99,30,34,-99,40,40,11,38,41,5,24,29,31,-99
