FECHA,HORA,LAG,TAC,FAC,TLA,XAL,MER,PED,UIZ,IMP,TAX,TLI,VIF,SAG,VAL,SUR,IZT,CHO
04/01/2010,20,0.9,0.5,0.8,0.6,1.2,1.1,0.5,0.9,0.6,1.7,0.9,0.6,1.3,0.5,0.9,0.9,1.3
04/01/2010,21,0.7,0.4,0.7,0.5,1.0,1.4,0.5,0.9,0.6,1.5,0.9,0.6,1.3,0.6,0.7,0.7,1.3
04/01/2010,22,0.5,0.4,0.7,0.3,0.8,1.1,0.3,0.9,0.6,1.1,0.8,0.5,1.1,0.4,0.7,0.6,1.2
04/01/2010,23,0.5,0.3,0.6,0.2,0.7,1.0,0.3,0.9,0.5,1.2,0.9,0.5,1.0,0.4,0.5,0.6,1.3
04/01/2010,24,0.3,0.3,0.5,0.2,0.6,0.8,0.2,0.6,0.3,0.8,0.8,0.5,0.9,0.2,0.4,0.4,1.2
05/01/2010,1,0.2,0.2,0.5,0.1,0.5,0.8,0.2,0.5,0.3,0.6,0.7,0.5,0.7,0.2,0.2,0.3,1.1
05/01/2010,2,0.2,0.1,0.4,0.1,0.4,0.6,0.2,0.4,0.3,0.3,0.7,0.4,0.6,0.2,0.1,0.2,1.0
05/01/2010,3,0.1,0.1,0.4,0.1,0.5,0.6,0.2,0.3,0.3,0.2,0.6,0.4,0.6,0.1,0.1,0.2,1.3
05/01/2010,4,0.1,0.1,0.4,0.1,0.5,0.6,0.1,0.3,0.2,0.2,0.6,0.4,0.5,0.1,0.0,0.2,1.2
05/01/2010,5,0.1,0.2,0.4,0.1,0.7,0.6,0.1,0.3,0.3,0.2,0.7,0.5,0.6,0.2,0.0,0.2,1.3
05/01/2010,6,0.2,0.3,0.4,0.3,1.1,0.9,0.1,0.4,0.5,0.6,1.0,0.5,1.0,0.5,0.2,0.3,1.3
05/01/2010,7,0.6,0.5,0.6,0.5,1.4,1.3,0.3,0.8,1.0,1.4,1.1,0.7,1.6,0.8,0.5,0.8,2.3
05/01/2010,8,1.2,0.9,1.0,0.7,2.0,1.7,0.5,1.2,1.5,1.2,1.3,1.0,2.0,1.7,0.8,0.8,3.0
05/01/2010,9,1.4,1.0,0.9,1.0,1.9,1.7,0.7,1.5,1.5,2.2,1.6,1.0,2.2,1.3,1.0,1.0,2.1
05/01/2010,10,1.6,1.0,-99,1.0,2.2,2.1,0.7,1.7,1.2,1.7,1.6,0.9,1.8,1.5,0.9,1.6,1.8
05/01/2010,11,1.2,1.1,-99,0.9,2.0,2.1,0.8,2.1,1.1,2.0,1.5,0.9,1.4,1.4,1.1,1.3,-99
05/01/2010,12,1.2,1.1,1.1,0.9,1.6,2.1,0.7,2.2,1.2,2.2,1.6,0.8,1.2,1.4,1.5,1.7,-99
05/01/2010,13,2.2,1.3,1.5,1.3,1.2,2.3,1.0,2.0,1.7,2.7,1.7,0.8,-99,1.6,1.7,2.0,-99
05/01/2010,14,2.5,1.6,1.7,1.1,0.9,1.9,1.1,1.9,2.0,2.4,1.8,0.8,-99,2.0,1.5,1.8,0.7
05/01/2010,15,1.9,1.5,1.5,1.2,0.9,1.7,1.2,1.8,1.4,2.6,1.7,0.9,0.8,1.8,-99,1.7,0.9
05/01/2010,16,-99,1.0,1.2,1.2,0.8,1.4,1.2,1.5,-99,2.6,1.3,0.7,0.7,1.2,1.4,1.3,0.8
05/01/2010,17,-99,1.1,1.6,1.3,0.9,1.7,1.4,1.6,0.8,1.6,1.3,0.6,0.6,1.1,1.0,1.3,0.9
05/01/2010,18,-99,1.7,1.7,1.2,0.8,1.8,1.3,1.0,1.2,1.3,1.5,0.6,0.8,1.1,0.7,1.6,1.0
05/01/2010,19,-99,1.6,1.8,1.4,1.6,2.7,1.3,0.9,1.8,0.8,1.6,0.8,1.2,1.4,0.6,1.8,0.9
05/01/2010,20,-99,1.5,1.2,1.1,1.0,1.5,0.7,0.9,1.7,0.5,1.3,0.7,1.2,1.3,0.3,1.0,0.8
05/01/2010,21,-99,1.0,0.9,0.9,1.2,1.1,0.6,1.0,1.8,0.6,1.2,0.7,1.2,1.0,0.2,0.7,0.8
05/01/2010,22,-99,0.8,0.9,0.7,1.1,1.9,0.8,0.9,1.4,1.5,1.2,0.6,1.4,0.9,0.9,1.0,0.9
05/01/2010,23,1.4,0.9,0.8,0.7,1.8,1.8,0.7,1.3,1.0,1.7,1.2,0.6,1.2,0.7,0.7,1.0,1.2
05/01/2010,24,1.1,1.0,1.0,0.5,1.3,1.5,0.7,1.4,0.9,1.5,1.0,0.6,-99,0.7,0.7,1.0,1.1
06/01/2010,1,1.0,1.1,1.4,0.6,1.0,1.3,1.0,1.1,0.8,1.9,1.0,0.5,-99,0.9,1.0,1.0,0.9
06/01/2010,2,1.0,1.1,1.4,0.5,1.1,1.2,0.9,0.8,1.0,1.4,1.0,0.6,1.2,0.8,0.7,1.3,0.8
06/01/2010,3,1.0,1.0,1.5,0.5,1.1,1.3,1.0,0.8,1.0,1.4,1.0,0.7,1.1,0.9,0.6,1.1,0.9
06/01/2010,4,1.0,1.0,1.3,0.6,1.0,1.0,0.8,0.9,0.9,1.0,0.9,0.6,1.1,0.8,0.8,1.1,0.6
06/01/2010,5,1.1,0.8,1.3,0.6,1.0,0.8,0.7,0.9,1.0,1.3,0.9,0.7,1.1,1.0,0.8,1.0,1.0
06/01/2010,6,1.1,0.9,1.4,0.8,1.3,0.9,0.9,0.9,1.2,1.2,1.1,0.7,1.2,1.1,0.8,1.1,1.5
