FECHA,HORA,MER,TLA,COY,UIZ,SJA,SAG,PER,CAM,ACO
16/06/2009,18,13,27,-99,26,8,15,32,26,16
16/06/2009,19,14,16,-99,38,-99,8,29,2,14
16/06/2009,20,13,12,-99,26,14,17,28,21,13
16/06/2009,21,14,13,-99,20,31,14,23,16,15
16/06/2009,22,12,14,-99,-99,20,19,20,13,16
16/06/2009,23,5,14,10,-99,26,15,12,8,18
16/06/2009,24,10,9,10,-99,8,16,14,14,14
17/06/2009,1,8,12,8,-99,28,14,10,21,10
17/06/2009,2,8,13,7,-99,8,17,15,17,21
17/06/2009,3,10,16,8,-99,-99,22,14,6,20
17/06/2009,4,10,19,-99,-99,28,18,14,5,20
17/06/2009,5,15,15,-99,-99,22,17,14,20,22
17/06/2009,6,21,20,14,-99,24,27,26,19,24
17/06/2009,7,29,29,17,-99,15,39,19,27,27
17/06/2009,8,30,21,17,-99,40,32,21,5,20
17/06/2009,9,26,26,22,-99,13,15,20,45,16
17/06/2009,10,24,38,30,9,14,9,15,38,3
17/06/2009,11,29,44,39,18,9,13,30,37,2
17/06/2009,12,32,47,35,16,12,20,30,37,9
17/06/2009,13,29,37,31,24,20,17,21,26,10
17/06/2009,14,18,42,31,17,6,10,8,20,8
17/06/2009,15,12,29,31,11,17,12,18,4,28
17/06/2009,16,10,19,-99,14,12,6,20,-99,20
17/06/2009,17,18,20,-99,9,29,14,8,-99,18
17/06/2009,18,25,34,24,24,14,-99,21,-99,37
17/06/2009,19,26,30,25,29,41,-99,29,-99,-99
17/06/2009,20,16,24,19,29,27,-99,36,-99,-99
17/06/2009,21,18,24,17,20,9,21,26,32,-99
17/06/2009,22,19,21,18,13,7,17,13,16,-99
17/06/2009,23,22,19,-99,16,21,15,23,18,-99
17/06/2009,24,18,21,-99,19,-99,-99,27,40,-99
18/06/2009,1,23,24,-99,21,13,27,16,40,9
18/06/2009,2,29,21,-99,17,38,24,17,10,10
18/06/2009,3,19,15,20,16,40,21,18,-99,12
18/06/2009,4,23,20,22,21,44,21,19,-99,24
18/06/2009,5,22,23,21,25,31,14,29,19,12
18/06/2009,6,27,16,17,25,16,12,33,12,17
18/06/2009,7,28,21,20,30,32,17,36,30,31
18/06/2009,8,-99,28,21,25,21,33,31,46,28
18/06/2009,9,-99,29,25,6,16,41,18,14,23
18/06/2009,10,-99,20,27,32,34,46,25,21,25
18/06/2009,11,-99,23,29,25,22,43,47,19,26
18/06/2009,12,-99,28,30,28,12,42,47,51,25
18/06/2009,13,-99,41,34,36,46,38,41,45,10
18/06/2009,14,-99,31,44,25,16,23,21,52,13
18/06/2009,15,-99,19,30,7,16,22,18,11,11
18/06/2009,16,13,14,10,14,19,22,16,26,5
18/06/2009,17,10,16,10,19,-99,9,10,10,6
18/06/2009,18,16,17,14,16,3,15,19,28,6
18/06/2009,19,14,14,7,4,26,21,26,13,17
18/06/2009,20,10,12,6,8,8,21,23,-99,30
18/06/2009,21,12,11,7,15,20,30,33,23,23
18/06/2009,22,16,11,15,30,28,36,37,15,8
18/06/2009,23,21,15,18,33,34,26,51,46,6
18/06/2009,24,23,11,7,30,29,9,29,-99,7
19/06/2009,1,-99,10,4,24,2,7,18,-99,30
19/06/2009,2,-99,8,4,7,37,7,22,-99,-99
19/06/2009,3,6,9,4,8,32,5,10,8,10
19/06/2009,4,13,16,6,9,12,8,7,16,7
19/06/2009,5,11,22,8,14,-99,9,8,20,13
19/06/2009,6,23,21,14,11,7,21,10,25,11
19/06/2009,7,21,30,17,14,2,15,16,21,16
19/06/2009,8,34,32,22,16,16,18,23,47,18
19/06/2009,9,35,-99,26,21,27,10,8,24,6
19/06/2009,10,22,-99,25,15,12,9,7,11,12
19/06/2009,11,25,-99,24,13,27,10,23,13,7
19/06/2009,12,25,-99,26,22,12,6,16,-99,7
19/06/2009,13,12,19,22,8,-99,11,8,-99,4
19/06/2009,14,12,22,20,4,14,9,2,-99,4
19/06/2009,15,10,18,15,-99,4,3,3,-99,4
19/06/2009,16,9,14,13,12,16,20,12,23,9
19/06/2009,17,6,11,9,19,27,19,25,36,1
19/06/2009,18,7,12,13,26,9,8,30,14,11
19/06/2009,19,12,17,11,11,18,14,27,17,17
19/06/2009,20,11,22,8,10,1,17,18,53,11
19/06/2009,21,7,14,6,10,12,10,22,-99,-99
19/06/2009,22,12,11,8,18,11,13,31,29,-99
19/06/2009,23,7,13,14,13,27,30,30,24,19
19/06/2009,24,13,12,15,21,30,23,25,32,19
20/06/2009,1,13,11,22,23,34,20,21,14,20
20/06/2009,2,19,15,19,23,14,21,16,20,23
20/06/2009,3,15,16,8,18,23,22,15,16,23
20/06/2009,4,16,12,5,15,13,14,20,3,17
20/06/2009,5,21,13,9,10,15,7,13,24,27
20/06/2009,6,16,17,12,20,-99,6,16,23,19
20/06/2009,7,20,17,14,25,-99,20,28,27,13
20/06/2009,8,13,22,15,11,13,13,13,17,9
20/06/2009,9,17,22,16,2,35,12,15,4,14
20/06/2009,10,22,23,17,22,26,13,8,-99,10
20/06/2009,11,18,20,24,17,22,14,24,28,6
20/06/2009,12,31,19,30,18,17,7,21,4,4
20/06/2009,13,20,20,33,22,17,11,7,2,6
20/06/2009,14,5,17,31,5,19,13,10,18,8
20/06/2009,15,12,17,28,19,20,15,31,31,15
20/06/2009,16,-99,15,24,-99,26,20,27,41,12
20/06/2009,17,-99,14,12,18,6,1,12,11,6
20/06/2009,18,-99,16,13,25,11,15,24,25,5
20/06/2009,19,13,18,12,12,28,20,21,28,2
20/06/2009,20,21,14,11,24,19,19,32,31,11
20/06/2009,21,16,12,12,25,16,15,28,14,6
20/06/2009,22,14,15,11,19,25,18,23,17,4
20/06/2009,23,11,14,12,20,11,12,-99,19,12
20/06/2009,24,12,12,14,16,23,15,31,13,8
21/06/2009,1,7,11,13,11,20,9,23,6,10
21/06/2009,2,10,16,7,15,-99,5,10,17,10
21/06/2009,3,-99,13,7,4,-99,8,9,-99,10
21/06/2009,4,10,10,11,11,-99,6,10,-99,6
21/06/2009,5,9,14,9,12,-99,9,9,31,11
21/06/2009,6,17,17,8,12,-99,7,9,27,13
21/06/2009,7,14,17,11,14,-99,19,13,28,11
21/06/2009,8,8,15,11,11,-99,10,14,4,10
21/06/2009,9,9,12,11,8,-99,5,12,16,5
21/06/2009,10,8,12,9,7,-99,9,6,-99,6
21/06/2009,11,-99,13,8,11,-99,12,27,-99,8
21/06/2009,12,-99,14,12,10,32,-99,22,8,2
21/06/2009,13,-99,13,16,14,10,11,-99,37,8
21/06/2009,14,-99,10,12,-99,10,6,9,4,4
21/06/2009,15,-99,7,6,4,5,-99,18,19,3
21/06/2009,16,-99,8,15,24,-99,13,16,20,-99
21/06/2009,17,-99,10,16,22,14,15,18,-99,11
21/06/2009,18,-99,17,15,25,11,11,17,6,-99
21/06/2009,19,-99,17,14,18,19,20,61,60,14
21/06/2009,20,12,18,-99,8,17,17,44,18,8
21/06/2009,21,14,13,-99,12,17,9,22,30,18
21/06/2009,22,5,11,-99,15,5,10,16,21,4
21/06/2009,23,5,10,10,12,26,12,11,8,4
21/06/2009,24,13,9,8,8,-99,5,9,32,4
22/06/2009,1,5,8,7,15,37,4,-99,24,-99
22/06/2009,2,7,5,6,11,42,5,5,7,5
22/06/2009,3,9,5,5,9,16,3,7,-99,1
22/06/2009,4,8,6,3,9,5,1,2,-99,2
22/06/2009,5,5,5,4,12,11,6,7,41,5
22/06/2009,6,5,7,5,9,10,4,11,23,5
22/06/2009,7,12,9,6,10,30,19,13,9,6
22/06/2009,8,25,11,8,21,-99,9,11,-99,6
22/06/2009,9,24,15,8,15,19,8,4,-99,3
22/06/2009,10,19,15,11,10,19,8,4,-99,5
22/06/2009,11,20,20,15,30,30,11,21,-99,7
22/06/2009,12,21,24,19,37,41,16,23,-99,9
22/06/2009,13,24,26,21,32,31,19,35,42,10
22/06/2009,14,24,30,27,21,31,13,17,36,17
22/06/2009,15,21,34,36,5,-99,21,92,17,18
22/06/2009,16,20,35,19,-99,-99,30,-99,32,22
22/06/2009,17,-99,31,1,-99,-99,13,9,50,5
22/06/2009,18,-99,14,-99,-99,-99,6,1,-99,8
22/06/2009,19,-99,15,-99,-99,-99,12,14,12,4
22/06/2009,20,-99,12,-99,-99,25,8,14,21,5
22/06/2009,21,-99,16,-99,-99,20,4,13,-99,2
22/06/2009,22,-99,16,-99,-99,9,3,5,17,-99
22/06/2009,23,-99,11,-99,-99,24,3,5,30,1
22/06/2009,24,-99,9,-99,-99,-99,3,8,3,3
23/06/2009,1,-99,13,-99,9,13,1,3,4,1
23/06/2009,2,-99,11,-99,1,4,-99,-99,11,3
23/06/2009,3,-99,14,-99,2,-99,-99,-99,-99,1
23/06/2009,4,-99,11,-99,-99,-99,-99,3,12,-99
23/06/2009,5,-99,11,-99,4,-99,-99,4,3,4
23/06/2009,6,-99,15,3,1,-99,5,3,-99,-99
23/06/2009,7,-99,17,4,2,-99,5,9,-99,2
23/06/2009,8,-99,16,5,3,-99,1,8,-99,5
23/06/2009,9,-99,16,5,-99,-99,2,6,-99,1
23/06/2009,10,-99,14,4,-99,-99,3,-99,-99,-99
23/06/2009,11,-99,12,3,-99,-99,4,-99,-99,3
23/06/2009,12,-99,18,4,2,-99,9,9,19,3
23/06/2009,13,3,20,8,5,-99,11,10,9,6
23/06/2009,14,3,19,7,3,-99,10,9,11,6
23/06/2009,15,5,16,7,5,-99,3,7,43,5
23/06/2009,16,5,18,8,6,-99,9,6,-99,2
23/06/2009,17,6,17,-99,5,-99,9,4,29,5
23/06/2009,18,7,14,3,14,-99,9,14,24,6
23/06/2009,19,8,16,9,18,-99,12,19,31,6
23/06/2009,20,10,10,8,17,17,15,19,13,9
23/06/2009,21,10,16,9,15,18,10,16,4,13
23/06/2009,22,11,24,13,17,26,14,20,31,17
23/06/2009,23,12,19,14,14,12,16,15,27,16
23/06/2009,24,13,19,15,11,17,14,16,15,14
