FECHA,HORA,ACO,CAM,FAC,IZT,MER,PED,SAG,SUR,TAH,TLA,TLI,UIZ,VIF,XAL,,,,,,,,
22/04/2011,6,-99,-99,35,34,30,21,32,19,8,39,48,-99,69,98,,,,,,,,
22/04/2011,7,-99,-99,42,23,37,87,48,26,44,44,74,-99,76,77,,,,,,,,
22/04/2011,8,-99,-99,44,26,34,41,60,27,44,46,79,-99,89,73,,,,,,,,
22/04/2011,9,-99,-99,53,33,42,40,72,33,36,94,84,-99,84,66,,,,,,,,
22/04/2011,10,-99,-99,52,37,44,80,47,41,30,62,63,-99,87,80,,,,,,,,
22/04/2011,11,-99,-99,28,38,49,45,48,25,7,59,19,-99,43,68,,,,,,,,
22/04/2011,12,-99,-99,-99,41,50,60,56,14,4,47,10,-99,32,77,,,,,,,,
22/04/2011,13,-99,-99,11,33,38,27,38,18,-99,41,-99,-99,15,52,,,,,,,,
22/04/2011,14,-99,-99,11,47,52,46,37,26,15,35,3,-99,7,48,,,,,,,,
22/04/2011,15,-99,-99,21,34,46,27,41,26,13,26,16,-99,27,45,,,,,,,,
22/04/2011,16,-99,-99,33,28,39,14,49,18,34,48,8,-99,18,48,,,,,,,,
22/04/2011,17,-99,-99,22,36,46,40,40,24,32,41,7,-99,24,48,,,,,,,,
22/04/2011,18,-99,-99,32,38,38,37,50,27,119,42,22,-99,35,45,,,,,,,,
22/04/2011,19,-99,-99,43,45,41,9,38,99,87,37,82,-99,116,51,,,,,,,,
22/04/2011,20,-99,-99,119,57,62,32,122,52,54,98,101,-99,75,163,,,,,,,,
22/04/2011,21,-99,-99,77,76,78,55,59,113,93,39,43,-99,54,53,,,,,,,,
22/04/2011,22,-99,-99,35,63,31,23,40,33,-99,24,54,-99,45,32,,,,,,,,
22/04/2011,23,-99,-99,16,17,24,12,28,-99,32,38,37,-99,27,27,,,,,,,,
22/04/2011,24,-99,-99,26,27,32,20,42,27,12,21,12,-99,34,37,,,,,,,,
23/04/2011,1,-99,-99,25,25,26,32,37,10,-99,45,9,-99,33,40,,,,,,,,
23/04/2011,2,-99,-99,31,25,27,24,34,18,27,42,22,-99,39,36,,,,,,,,
23/04/2011,3,-99,-99,28,25,27,24,33,22,-99,38,19,-99,30,30,,,,,,,,
23/04/2011,4,-99,-99,28,24,25,55,32,14,14,38,32,-99,32,36,,,,,,,,
23/04/2011,5,-99,-99,32,26,28,27,35,21,12,43,36,-99,47,39,,,,,,,,
23/04/2011,6,-99,-99,34,35,36,20,48,25,11,40,46,-99,59,75,,,,,,,,
23/04/2011,7,-99,-99,47,31,41,28,76,30,29,50,67,-99,90,117,,,,,,,,
23/04/2011,8,-99,-99,57,27,36,34,58,30,53,62,74,-99,86,97,,,,,,,,
23/04/2011,9,-99,-99,47,35,42,40,57,32,54,56,70,-99,75,83,,,,,,,,
23/04/2011,10,-99,-99,42,47,47,41,52,30,9,61,49,-99,70,60,,,,,,,,
23/04/2011,11,-99,-99,25,52,48,36,45,35,13,70,25,-99,35,72,,,,,,,,
23/04/2011,12,-99,-99,27,32,58,67,50,23,15,59,32,-99,30,67,,,,,,,,
23/04/2011,13,-99,-99,11,39,59,39,45,22,7,47,15,-99,31,56,,,,,,,,
23/04/2011,14,-99,-99,30,41,46,96,51,26,-99,40,-99,-99,8,58,,,,,,,,
23/04/2011,15,-99,-99,20,36,42,55,53,31,-99,42,26,-99,40,58,,,,,,,,
23/04/2011,16,-99,-99,48,32,50,58,36,18,-99,51,23,-99,35,49,,,,,,,,
23/04/2011,17,-99,-99,31,41,49,76,42,38,-99,41,15,-99,32,46,,,,,,,,
23/04/2011,18,-99,-99,30,40,38,12,56,84,-99,40,17,-99,96,53,,,,,,,,
23/04/2011,19,-99,-99,115,57,74,47,208,91,-99,67,125,-99,82,137,,,,,,,,
23/04/2011,20,-99,-99,87,62,56,46,71,77,-99,63,71,-99,57,91,,,,,,,,
23/04/2011,21,-99,-99,80,42,55,45,61,20,-99,54,73,-99,96,67,,,,,,,,
23/04/2011,22,-99,-99,53,38,37,72,58,39,-99,63,80,-99,70,59,,,,,,,,
23/04/2011,23,-99,-99,45,35,41,63,68,40,-99,46,55,-99,47,50,,,,,,,,
23/04/2011,24,-99,-99,51,37,41,47,62,31,32,55,43,-99,85,62,,,,,,,,
24/04/2011,1,-99,-99,53,46,46,46,70,33,7,40,64,-99,39,76,,,,,,,,
24/04/2011,2,-99,-99,43,42,44,41,72,25,41,72,57,-99,73,55,,,,,,,,
24/04/2011,3,-99,-99,38,38,34,39,61,27,25,55,58,-99,79,46,,,,,,,,
24/04/2011,4,-99,-99,39,31,37,31,39,40,20,52,60,-99,70,39,,,,,,,,
24/04/2011,5,-99,-99,40,36,35,43,40,26,44,46,62,-99,68,45,,,,,,,,
24/04/2011,6,-99,-99,45,40,41,42,41,42,34,46,51,-99,71,69,,,,,,,,
24/04/2011,7,-99,-99,67,50,37,40,51,54,52,65,60,-99,85,94,,,,,,,,
24/04/2011,8,-99,-99,73,49,49,43,59,42,67,78,77,-99,111,84,,,,,,,,
24/04/2011,9,-99,-99,55,32,47,40,72,40,44,87,93,-99,109,58,,,,,,,,
24/04/2011,10,-99,-99,46,37,53,45,56,41,45,70,69,-99,92,52,,,,,,,,
24/04/2011,11,-99,-99,34,39,49,45,62,31,28,54,36,-99,70,59,,,,,,,,
24/04/2011,12,-99,-99,23,35,50,50,72,17,-99,41,20,-99,36,66,,,,,,,,
24/04/2011,13,-99,-99,9,31,45,54,68,6,66,47,12,-99,32,73,,,,,,,,
24/04/2011,14,-99,-99,30,35,51,46,50,28,47,48,3,-99,5,68,,,,,,,,
24/04/2011,15,-99,-99,29,40,56,75,48,52,55,37,1,-99,25,50,,,,,,,,
24/04/2011,16,-99,-99,17,60,65,63,44,100,10,34,33,-99,35,42,,,,,,,,
24/04/2011,17,-99,-99,89,66,56,53,75,47,55,50,27,-99,51,60,,,,,,,,
24/04/2011,18,-99,-99,58,41,46,47,85,38,54,57,79,-99,109,76,,,,,,,,
24/04/2011,19,-99,-99,55,41,42,37,77,53,33,62,55,-99,90,71,,,,,,,,
24/04/2011,20,-99,-99,48,53,40,34,86,44,-99,61,107,-99,102,74,,,,,,,,
24/04/2011,21,-99,-99,59,41,47,38,65,37,-99,27,81,-99,53,67,,,,,,,,
24/04/2011,22,-99,-99,89,37,51,47,76,34,-99,42,57,-99,90,70,,,,,,,,
24/04/2011,23,-99,-99,56,48,44,37,58,45,-99,74,78,-99,56,82,,,,,,,,
24/04/2011,24,-99,-99,-99,38,41,42,48,31,-99,45,2,-99,43,81,,,,,,,,
25/04/2011,1,-99,-99,21,40,41,40,60,31,-99,57,33,-99,58,62,,,,,,,,
25/04/2011,2,-99,-99,21,45,49,37,46,52,43,34,28,-99,44,48,,,,,,,,
25/04/2011,3,-99,-99,18,45,48,41,43,27,19,41,27,-99,58,48,,,,,,,,
25/04/2011,4,-99,-99,29,48,48,40,46,39,36,46,36,-99,63,76,,,,,,,,
25/04/2011,5,-99,-99,33,45,51,39,55,39,35,46,52,-99,57,76,,,,,,,,
25/04/2011,6,-99,-99,46,52,60,43,60,37,48,57,66,-99,64,121,,,,,,,,
25/04/2011,7,-99,-99,76,55,69,51,91,52,50,74,77,-99,58,190,,,,,,,,
25/04/2011,8,-99,-99,105,67,59,70,136,53,58,89,108,-99,111,144,,,,,,,,
25/04/2011,9,-99,-99,57,60,74,69,89,53,75,95,27,-99,120,-99,,,,,,,,
25/04/2011,10,-99,-99,-99,60,70,66,74,25,-99,60,32,-99,72,135,,,,,,,,
25/04/2011,11,-99,-99,22,47,52,49,70,5,48,51,-99,-99,41,103,,,,,,,,
25/04/2011,12,-99,-99,35,39,48,39,77,27,14,58,24,-99,52,81,,,,,,,,
25/04/2011,13,-99,-99,27,38,48,37,70,33,41,52,31,-99,47,71,,,,,,,,
25/04/2011,14,-99,-99,32,47,59,36,-99,36,27,56,25,-99,72,-99,,,,,,,,
25/04/2011,15,-99,-99,37,50,75,44,-99,43,24,46,20,-99,68,74,,,,,,,,
25/04/2011,16,-99,-99,41,53,58,40,67,44,36,47,32,-99,29,58,,,,,,,,
25/04/2011,17,-99,-99,36,49,59,53,62,104,131,44,35,-99,-99,53,,,,,,,,
25/04/2011,18,-99,-99,57,56,73,76,76,120,107,54,47,-99,-99,64,,,,,,,,
25/04/2011,19,-99,-99,66,76,70,56,99,60,60,73,-99,-99,-99,100,,,,,,,,
25/04/2011,20,-99,-99,86,50,63,67,87,63,50,73,-99,-99,-99,88,,,,,,,,
25/04/2011,21,-99,-99,66,49,51,54,93,90,50,80,115,-99,68,116,,,,,,,,
25/04/2011,22,-99,-99,61,52,55,47,95,34,44,46,52,-99,100,108,,,,,,,,
25/04/2011,23,-99,-99,51,55,63,53,81,-99,37,48,78,-99,98,83,,,,,,,,
25/04/2011,24,-99,-99,38,50,59,53,71,-99,47,45,61,-99,52,71,,,,,,,,
26/04/2011,1,-99,-99,36,53,46,42,83,35,18,42,48,-99,78,97,,,,,,,,
26/04/2011,2,-99,-99,38,51,60,40,73,32,51,60,49,-99,66,93,,,,,,,,
26/04/2011,3,-99,-99,27,52,58,38,52,35,40,33,62,-99,66,106,,,,,,,,
26/04/2011,4,-99,-99,34,53,54,39,58,39,30,38,90,-99,89,89,,,,,,,,
26/04/2011,5,-99,-99,35,52,58,40,61,30,37,56,94,-99,82,128,,,,,,,,
26/04/2011,6,-99,-99,62,53,69,49,98,13,49,62,90,-99,79,205,,,,,,,,
26/04/2011,7,-99,-99,104,71,79,56,156,-99,58,101,96,-99,106,224,,,,,,,,
26/04/2011,8,-99,-99,118,99,110,72,198,-99,68,132,118,-99,188,235,,,,,,,,
26/04/2011,9,-99,-99,-99,96,115,66,138,71,84,114,126,-99,125,172,,,,,,,,
26/04/2011,10,-99,-99,65,101,100,36,107,56,15,91,105,-99,107,115,,,,,,,,
26/04/2011,11,-99,-99,67,62,84,55,85,40,31,100,51,-99,117,101,,,,,,,,
26/04/2011,12,-99,-99,60,59,73,-99,72,45,44,86,41,-99,74,73,,,,,,,,
26/04/2011,13,-99,-99,47,58,62,38,74,50,84,59,53,-99,83,88,,,,,,,,
26/04/2011,14,-99,-99,44,50,69,43,75,71,86,57,31,-99,59,73,,,,,,,,
26/04/2011,15,-99,-99,67,56,128,65,100,88,40,53,30,-99,32,91,,,,,,,,
26/04/2011,16,-99,-99,79,-99,93,69,141,61,58,72,50,-99,54,102,,,,,,,,
26/04/2011,17,-99,-99,74,-99,95,58,145,83,77,66,53,-99,189,110,,,,,,,,
26/04/2011,18,-99,-99,86,-99,74,69,84,51,61,67,62,-99,162,123,,,,,,,,
26/04/2011,19,-99,-99,47,-99,65,59,82,44,35,62,50,-99,30,104,,,,,,,,
26/04/2011,20,-99,-99,60,54,74,39,87,30,22,58,54,-99,66,91,,,,,,,,
26/04/2011,21,-99,-99,62,53,120,51,84,59,59,66,51,-99,76,78,,,,,,,,
26/04/2011,22,-99,-99,59,53,61,46,80,80,39,64,65,-99,106,79,,,,,,,,
26/04/2011,23,-99,-99,56,59,68,50,77,-99,57,62,81,-99,70,78,,,,,,,,
26/04/2011,24,-99,-99,38,56,65,44,76,-99,55,62,68,-99,61,76,,,,,,,,
27/04/2011,1,-99,-99,31,53,64,45,69,54,42,63,46,-99,74,62,,,,,,,,
27/04/2011,2,-99,-99,39,49,73,40,70,48,33,68,36,-99,52,74,,,,,,,,
27/04/2011,3,-99,-99,33,52,51,33,54,-99,42,67,37,-99,66,80,,,,,,,,
27/04/2011,4,-99,-99,53,51,45,42,66,-99,48,58,49,-99,71,83,,,,,,,,
27/04/2011,5,-99,-99,69,54,49,61,74,37,42,59,40,-99,95,236,,,,,,,,
27/04/2011,6,-99,-99,98,60,59,84,85,59,49,84,69,-99,102,211,,,,,,,,
27/04/2011,7,-99,-99,194,60,80,58,122,83,83,118,126,-99,128,304,,,,,,,,
27/04/2011,8,-99,-99,164,79,99,66,141,84,86,140,165,-99,155,402,,,,,,,,
27/04/2011,9,-99,-99,88,103,107,76,160,70,59,146,119,-99,125,188,,,,,,,,
27/04/2011,10,-99,-99,-99,105,109,69,86,57,54,77,63,-99,77,118,,,,,,,,
27/04/2011,11,-99,-99,63,97,66,73,70,65,19,64,20,-99,44,87,,,,,,,,
27/04/2011,12,-99,-99,65,68,66,66,82,56,43,82,33,-99,53,94,,,,,,,,
27/04/2011,13,-99,-99,67,-99,63,66,100,54,47,78,27,-99,25,96,,,,,,,,
27/04/2011,14,-99,-99,69,54,70,67,76,32,24,70,20,-99,115,114,,,,,,,,
27/04/2011,15,-99,-99,56,56,119,56,53,30,50,52,31,-99,87,74,,,,,,,,
27/04/2011,16,-99,-99,36,-99,67,63,57,27,120,56,27,-99,49,61,,,,,,,,
27/04/2011,17,-99,-99,91,67,60,60,51,151,94,48,31,-99,127,66,,,,,,,,
27/04/2011,18,-99,-99,85,99,106,71,128,138,-99,60,52,-99,51,114,,,,,,,,
27/04/2011,19,-99,-99,141,88,78,58,93,61,78,140,94,-99,134,135,,,,,,,,
27/04/2011,20,-99,-99,70,69,60,57,112,86,67,97,111,-99,145,112,,,,,,,,
27/04/2011,21,-99,-99,79,66,62,55,85,82,55,107,108,-99,227,107,,,,,,,,
27/04/2011,22,-99,-99,60,62,54,73,71,73,37,87,75,-99,81,96,,,,,,,,
27/04/2011,23,-99,-99,78,58,52,39,51,54,44,54,65,-99,61,76,,,,,,,,
27/04/2011,24,-99,-99,63,67,50,24,51,49,47,47,76,-99,93,46,,,,,,,,
28/04/2011,1,-99,-99,98,44,59,43,69,59,56,92,104,-99,101,59,,,,,,,,
28/04/2011,2,-99,-99,81,69,86,45,102,93,58,103,83,-99,89,83,,,,,,,,
28/04/2011,3,-99,-99,98,77,87,51,90,84,88,82,74,-99,76,98,,,,,,,,
28/04/2011,4,-99,-99,77,90,91,58,82,78,73,106,117,-99,97,102,,,,,,,,
28/04/2011,5,-99,-99,62,93,102,49,103,65,76,99,103,-99,128,121,,,,,,,,
28/04/2011,6,-99,-99,71,87,105,68,114,38,87,142,139,-99,112,177,,,,,,,,
28/04/2011,7,-99,-99,116,91,119,75,149,118,89,147,144,-99,164,134,,,,,,,,
28/04/2011,8,-99,-99,123,129,134,100,154,121,106,162,153,-99,162,130,,,,,,,,
28/04/2011,9,-99,-99,137,139,122,100,173,137,155,170,112,-99,123,150,,,,,,,,
28/04/2011,10,-99,-99,-99,113,120,144,161,137,110,-99,99,-99,135,138,,,,,,,,
28/04/2011,11,-99,-99,152,99,122,142,153,107,97,-99,112,-99,138,146,,,,,,,,
28/04/2011,12,-99,-99,120,108,129,148,131,125,87,-99,111,-99,115,133,,,,,,,,
28/04/2011,13,-99,-99,-99,108,120,68,139,112,91,-99,115,-99,123,118,,,,,,,,
28/04/2011,14,-99,-99,-99,95,95,109,131,86,89,-99,94,-99,111,120,,,,,,,,
28/04/2011,15,-99,-99,102,78,96,97,123,63,55,-99,90,-99,98,117,,,,,,,,
