FECHA,HORA,ACO,ATI,CAM,CHO,CUA,CUT,FAC,HGM,IZT,MER,PED,SAG,SFE,SUR,TAH,TLA,TLI,UIZ,VIF,XAL,,,,,,,,
05/01/2014,23,-99,31,64,47,28,51,40,44,40,56,48,62,34,51,44,58,65,-99,63,75,,,,,,,,
05/01/2014,24,-99,26,64,36,27,32,27,59,44,54,49,46,36,53,48,47,63,-99,51,57,,,,,,,,
06/01/2014,1,-99,27,44,25,29,28,24,40,43,66,47,36,34,55,53,41,27,-99,22,57,,,,,,,,
06/01/2014,2,-99,33,42,41,37,34,17,34,46,45,33,30,25,17,45,33,20,-99,18,38,,,,,,,,
06/01/2014,3,-99,26,30,27,17,27,28,30,31,43,26,20,24,17,14,33,14,-99,23,28,,,,,,,,
06/01/2014,4,-99,24,31,53,23,35,20,28,23,38,17,29,25,19,15,39,10,34,16,55,,,,,,,,
06/01/2014,5,-99,25,37,38,16,35,18,29,28,42,32,29,26,23,31,33,14,30,41,56,,,,,,,,
06/01/2014,6,-99,30,46,32,33,49,19,34,30,52,36,31,26,22,18,39,19,45,35,82,,,,,,,,
06/01/2014,7,-99,50,46,51,27,67,31,42,34,47,27,33,29,31,54,49,44,46,64,58,,,,,,,,
06/01/2014,8,-99,51,59,77,35,108,51,52,43,62,36,48,46,46,57,61,102,48,72,93,,,,,,,,
06/01/2014,9,-99,60,71,103,39,223,70,63,40,77,46,74,41,49,62,69,73,49,81,103,,,,,,,,
06/01/2014,10,-99,41,66,97,40,20,36,54,53,76,38,68,46,56,57,72,53,60,-99,82,,,,,,,,
06/01/2014,11,-99,41,62,76,45,-99,29,74,54,89,74,69,57,52,67,78,57,80,5,85,,,,,,,,
06/01/2014,12,-99,65,77,64,-99,-99,44,80,64,101,62,51,54,67,50,82,34,75,64,77,,,,,,,,
06/01/2014,13,-99,74,78,51,51,50,51,83,46,59,95,34,65,48,26,71,58,68,56,61,,,,,,,,
06/01/2014,14,-99,68,54,77,56,58,56,50,34,61,32,50,72,20,16,67,58,47,55,62,,,,,,,,
06/01/2014,15,-99,45,35,94,43,65,30,33,37,49,48,43,51,71,30,65,63,-99,45,56,,,,,,,,
06/01/2014,16,-99,53,34,105,23,75,25,27,38,53,37,76,45,46,28,49,49,-99,60,56,,,,,,,,
06/01/2014,17,-99,47,34,113,-99,68,41,34,40,49,67,85,32,41,37,48,69,47,153,54,,,,,,,,
06/01/2014,18,-99,84,38,85,24,62,76,47,49,49,33,50,32,29,32,100,48,40,124,53,,,,,,,,
06/01/2014,19,-99,61,84,52,34,48,71,64,36,51,48,99,54,37,36,97,57,34,50,101,,,,,,,,
06/01/2014,20,-99,57,80,45,56,42,58,71,66,97,74,115,73,75,42,15,43,70,35,79,,,,,,,,
06/01/2014,21,-99,37,55,40,47,45,37,57,57,71,57,71,53,56,65,-99,42,68,28,56,,,,,,,,
06/01/2014,22,-99,32,55,63,39,51,21,44,50,60,45,49,38,40,93,-99,28,54,58,59,,,,,,,,
06/01/2014,23,-99,26,45,36,35,54,19,37,35,45,38,37,33,30,147,43,27,43,16,52,,,,,,,,
06/01/2014,24,30,28,42,25,27,43,20,35,31,45,-99,35,28,24,93,55,19,45,18,52,,,,,,,,
07/01/2014,1,24,29,30,20,23,30,21,40,27,34,-99,26,33,24,43,46,19,34,12,44,,,,,,,,
07/01/2014,2,20,25,35,24,28,45,25,35,28,37,-99,15,29,23,38,33,42,33,34,46,,,,,,,,
07/01/2014,3,19,27,31,20,31,34,22,33,27,35,34,24,31,20,20,35,27,40,20,58,,,,,,,,
07/01/2014,4,16,32,32,23,27,34,24,35,31,35,34,23,26,21,16,38,18,25,12,56,,,,,,,,
07/01/2014,5,16,24,35,34,21,24,29,46,28,35,33,24,26,25,26,34,12,36,6,53,,,,,,,,
07/01/2014,6,21,29,41,58,26,27,26,36,25,32,37,26,31,27,25,38,6,31,35,50,,,,,,,,
07/01/2014,7,29,31,43,67,18,53,33,42,27,33,46,32,43,34,28,38,27,28,37,64,,,,,,,,
07/01/2014,8,40,36,56,79,-99,54,45,33,34,60,46,46,49,39,53,48,29,42,25,70,,,,,,,,
07/01/2014,9,53,56,51,131,48,57,50,47,34,57,54,49,57,44,62,72,66,49,68,68,,,,,,,,
07/01/2014,10,41,69,75,115,63,56,60,72,49,66,60,67,71,56,61,96,60,63,-99,94,,,,,,,,
07/01/2014,11,26,70,94,109,67,63,74,96,60,78,68,67,60,62,77,97,78,79,-99,91,,,,,,,,
07/01/2014,12,36,85,115,52,67,72,76,78,61,85,81,67,81,74,89,109,91,84,90,79,,,,,,,,
07/01/2014,13,50,105,119,50,81,79,77,75,70,94,121,68,105,83,101,121,80,94,103,76,,,,,,,,
07/01/2014,14,61,86,128,48,115,76,74,93,64,89,92,71,115,73,89,134,71,98,102,79,,,,,,,,
07/01/2014,15,66,129,111,52,97,60,85,94,53,87,118,73,122,75,93,138,90,87,103,71,,,,,,,,
07/01/2014,16,64,77,121,62,105,79,86,79,60,77,90,88,137,61,59,132,82,61,94,85,,,,,,,,
07/01/2014,17,61,86,128,79,93,89,74,122,54,77,93,102,132,64,45,105,64,48,101,123,,,,,,,,
07/01/2014,18,64,71,110,63,113,91,70,134,75,133,106,96,117,69,47,106,79,68,101,122,,,,,,,,
07/01/2014,19,69,89,113,54,102,109,61,101,95,121,106,94,110,93,52,127,91,78,120,119,,,,,,,,
07/01/2014,20,71,83,104,48,46,108,79,98,87,99,100,91,65,90,58,133,116,57,121,135,,,,,,,,
07/01/2014,21,58,80,116,51,-99,90,75,75,64,86,99,95,62,54,52,141,107,56,110,128,,,,,,,,
07/01/2014,22,54,65,136,59,37,103,76,68,65,91,86,94,67,55,52,110,87,74,86,132,,,,,,,,
07/01/2014,23,58,61,102,46,70,115,68,104,67,122,61,89,82,58,44,73,71,86,89,152,,,,,,,,
07/01/2014,24,55,59,73,62,71,98,71,84,67,112,81,90,77,60,47,69,53,92,109,142,,,,,,,,
08/01/2014,1,65,53,59,39,51,78,57,74,73,106,48,71,68,63,51,59,56,94,117,142,,,,,,,,
08/01/2014,2,63,49,58,50,64,89,53,129,121,114,56,84,63,51,46,67,54,83,80,127,,,,,,,,
08/01/2014,3,61,51,68,27,45,69,48,174,108,89,59,85,46,57,50,73,36,72,85,131,,,,,,,,
08/01/2014,4,64,41,71,56,29,54,51,96,70,76,66,77,44,56,55,68,45,86,108,127,,,,,,,,
08/01/2014,5,54,42,64,52,21,77,43,85,69,86,38,76,32,61,53,57,65,82,108,120,,,,,,,,
08/01/2014,6,68,39,70,56,19,77,45,85,67,94,44,72,33,52,50,59,49,83,103,114,,,,,,,,
08/01/2014,7,66,59,91,48,16,108,61,93,73,112,52,79,27,60,49,65,85,77,118,140,,,,,,,,
08/01/2014,8,64,133,137,103,43,127,103,98,84,119,71,80,66,76,89,92,118,90,183,171,,,,,,,,
08/01/2014,9,74,153,152,158,55,217,127,102,87,116,79,89,48,66,86,103,127,97,197,161,,,,,,,,
08/01/2014,10,59,107,145,187,54,123,72,119,97,123,109,124,67,86,101,132,129,122,228,160,,,,,,,,
08/01/2014,11,54,98,145,151,61,130,103,116,110,138,84,132,82,90,-99,139,114,158,194,-99,,,,,,,,
08/01/2014,12,67,83,111,118,60,112,67,108,97,145,97,99,99,71,-99,101,125,141,122,-99,,,,,,,,
08/01/2014,13,57,73,86,98,64,62,48,77,72,81,79,62,91,64,80,86,88,88,62,-99,,,,,,,,
08/01/2014,14,31,83,76,45,76,55,48,67,43,64,73,26,74,49,51,82,55,78,62,58,,,,,,,,
08/01/2014,15,32,128,69,56,66,68,59,92,43,67,54,60,64,44,69,83,56,88,71,73,,,,,,,,
08/01/2014,16,37,67,70,79,53,63,54,79,60,78,87,67,74,72,47,81,47,78,71,-99,,,,,,,,
08/01/2014,17,50,66,59,95,46,61,44,56,41,59,56,86,44,13,39,78,70,59,81,110,,,,,,,,
08/01/2014,18,108,53,44,78,11,106,30,42,46,72,89,57,31,51,37,54,57,61,84,82,,,,,,,,
08/01/2014,19,59,49,46,60,37,97,37,55,39,62,38,45,46,30,33,48,53,68,66,84,,,,,,,,
08/01/2014,20,20,33,65,62,20,161,30,65,53,101,53,68,31,33,48,-99,72,57,63,114,,,,,,,,
08/01/2014,21,32,46,53,56,29,109,47,80,34,91,40,73,20,34,69,60,51,42,77,144,,,,,,,,
08/01/2014,22,22,43,47,35,25,75,41,49,46,71,31,97,16,50,66,60,89,58,107,170,,,,,,,,
08/01/2014,23,19,44,56,15,16,78,36,45,46,61,39,65,33,39,80,60,37,64,71,149,,,,,,,,
08/01/2014,24,22,26,49,24,25,73,27,49,44,58,20,66,21,35,40,48,27,63,19,135,,,,,,,,
09/01/2014,1,26,28,48,21,33,50,23,46,44,59,13,58,16,21,42,52,30,69,41,128,,,,,,,,
09/01/2014,2,27,24,34,22,19,25,13,39,41,55,17,54,19,23,43,36,29,58,44,109,,,,,,,,
09/01/2014,3,31,24,31,26,6,29,15,32,30,56,16,45,20,26,31,38,18,33,49,101,,,,,,,,
09/01/2014,4,27,23,31,31,4,28,16,31,26,47,14,89,11,43,20,40,48,59,36,111,,,,,,,,
09/01/2014,5,26,23,29,53,12,28,15,42,49,44,16,54,14,32,29,27,82,50,43,134,,,,,,,,
09/01/2014,6,29,25,28,87,12,35,16,44,38,49,6,59,20,30,27,35,48,48,76,150,,,,,,,,
09/01/2014,7,30,48,36,97,13,79,28,59,52,73,27,61,24,31,19,49,54,63,73,167,,,,,,,,
09/01/2014,8,31,105,51,129,63,170,72,69,78,81,28,66,42,31,52,66,90,70,148,182,,,,,,,,
09/01/2014,9,40,91,74,148,46,172,83,81,69,91,49,77,35,44,64,69,115,87,102,233,,,,,,,,
09/01/2014,10,50,64,104,127,24,73,73,96,77,89,66,68,47,55,70,76,138,81,120,183,,,,,,,,
09/01/2014,11,45,68,113,114,26,115,121,86,92,107,67,80,40,60,58,80,145,106,155,149,,,,,,,,
09/01/2014,12,40,71,70,58,28,65,50,74,69,82,64,72,43,50,38,72,112,-99,116,108,,,,,,,,
09/01/2014,13,11,93,50,53,45,27,37,48,29,52,64,26,60,37,25,69,38,37,60,43,,,,,,,,
09/01/2014,14,20,64,42,29,55,36,34,31,12,32,52,18,77,32,18,50,26,48,57,35,,,,,,,,
09/01/2014,15,13,66,41,68,58,45,29,37,14,34,34,22,60,38,17,48,19,49,47,38,,,,,,,,
09/01/2014,16,28,30,38,156,9,50,21,51,22,38,37,28,34,24,34,31,17,39,40,40,,,,,,,,
09/01/2014,17,27,17,25,56,18,79,19,21,24,44,49,36,-99,61,24,34,8,40,24,42,,,,,,,,
09/01/2014,18,32,45,26,74,8,95,28,38,36,35,65,40,31,40,24,30,27,39,92,39,,,,,,,,
09/01/2014,19,43,37,32,53,26,109,45,39,39,46,39,39,31,39,30,-99,40,43,152,49,,,,,,,,
09/01/2014,20,39,27,32,49,27,90,34,51,40,47,34,73,14,43,43,37,-99,46,152,52,,,,,,,,
09/01/2014,21,45,34,28,51,15,105,31,53,47,56,11,65,-99,54,57,42,-99,46,146,62,,,,,,,,
09/01/2014,22,41,53,55,68,29,131,32,50,42,47,31,76,11,39,56,48,-99,69,160,103,,,,,,,,
09/01/2014,23,50,63,67,52,22,122,39,44,41,59,33,72,18,39,46,62,-99,64,175,86,,,,,,,,
09/01/2014,24,50,52,70,39,19,111,38,37,46,71,33,76,13,63,66,57,26,46,158,76,,,,,,,,
10/01/2014,1,44,33,88,44,14,94,39,56,55,56,25,69,10,65,53,40,46,39,103,116,,,,,,,,
10/01/2014,2,39,32,113,64,15,64,23,58,43,49,20,79,17,38,42,36,79,37,109,78,,,,,,,,
10/01/2014,3,26,36,90,75,16,77,32,49,35,49,52,58,14,32,36,39,74,43,83,51,,,,,,,,
10/01/2014,4,24,40,78,57,13,76,41,44,35,76,33,44,32,37,29,42,83,61,96,57,,,,,,,,
10/01/2014,5,26,49,69,18,1,73,40,41,42,72,27,44,20,45,27,30,102,50,90,84,,,,,,,,
10/01/2014,6,24,45,65,31,14,66,32,53,60,90,30,61,25,37,27,54,60,61,118,153,,,,,,,,
10/01/2014,7,31,47,78,60,24,92,44,67,70,104,17,98,29,41,24,62,61,72,130,190,,,,,,,,
10/01/2014,8,35,76,94,134,51,162,85,93,86,135,30,116,43,60,53,96,99,140,136,223,,,,,,,,
10/01/2014,9,47,85,95,107,36,155,100,102,122,114,42,124,38,59,78,111,102,100,193,228,,,,,,,,
10/01/2014,10,42,94,108,113,46,121,100,116,100,111,67,115,43,55,60,119,120,83,182,151,,,,,,,,
10/01/2014,11,35,91,74,57,34,160,94,-99,68,78,75,62,44,57,51,109,66,63,158,94,,,,,,,,
10/01/2014,12,26,60,58,73,28,110,47,-99,18,32,28,43,42,28,34,71,50,24,116,49,,,,,,,,
10/01/2014,13,31,35,24,69,20,86,16,-99,20,24,-99,23,33,28,17,46,22,36,42,28,,,,,,,,
10/01/2014,14,29,23,23,64,18,69,7,39,22,38,42,30,19,13,17,34,8,39,26,35,,,,,,,,
10/01/2014,15,40,103,21,70,17,53,19,44,21,29,28,27,21,15,25,22,46,28,50,39,,,,,,,,
10/01/2014,16,30,14,23,107,10,36,24,20,29,35,44,23,36,10,26,-99,20,29,91,36,,,,,,,,
10/01/2014,17,29,42,26,84,19,52,21,-99,24,29,42,20,34,28,23,20,30,45,55,38,,,,,,,,
10/01/2014,18,47,46,26,62,21,59,25,-99,37,40,-99,33,30,39,27,26,49,34,65,42,,,,,,,,
10/01/2014,19,46,26,25,54,22,81,33,20,34,44,44,56,28,38,29,30,47,36,92,54,,,,,,,,
