"mes","mean.TLA","mean.MER","mean.UIZ","mean.PED","mean.SAG","mean.XAL","cont"
"02/2007",1.55196374622356,1.38741134751773,1.12687687687688,1.00286144578313,1.56398176291793,1.40983333333333,672
"02/2008",1.1441717791411,1.5556204379562,1.11588785046729,0.542562592047128,1.54099560761347,1.31069836552749,696
"02/2009",1.22106870229008,1.61639097744361,1.30496124031008,0.54030303030303,0.931587057010786,1.18296875,672
"02/2010",1.05030395136778,1.43978658536585,0.891993957703928,0.649770290964778,1.03303730017762,1.32934782608696,672
"02/2011",1.28312883435583,1.11182965299685,0.942319277108434,0.545412844036697,1.13835616438356,1.08453292496172,672
"02/2012",0.911574074074074,1.19939117199391,0.920839363241679,0.652352048558422,0.810904872389791,1.03233908948195,696
"02/2013",1.07619047619048,1.37727272727273,1.24969788519637,0.531211180124224,NA,1.26216216216216,672
"02/2014",1.02223950233282,1.13111455108359,1.05794251134644,0.5509375,NA,1.2637436762226,672
"02/2015",0.94900153609831,1.19268292682927,0.885303514376997,0.41482602118003,0.889728096676737,1.26631419939577,672
"02/2016",0.877025036818851,1.00622710622711,0.88962962962963,0.580882352941177,0.957581967213115,1.30310650887574,696
"02/2017",0.536254980079681,0.892391304347826,0.772873194221509,0.472258064516129,0.705144694533762,1.11508553654743,672
"02/2018",0.51937984496124,0.463543441226576,0.505050505050505,0.330864197530864,0.603140096618357,0.649760765550239,672
"02/2019",0.621001615508885,0.539024390243902,0.460094637223975,0.29875,0.571715610510046,0.71952,672
"02/2020",0.442218798151002,0.514230019493177,0.401361573373676,0.302870090634441,0.516516516516517,0.649147286821705,696
"03/2005",1.20101744186047,1.46550279329609,1.00583333333333,1.09556868537666,1.20923913043478,1.32391304347826,744
"03/2006",1.61885125184094,0.975966850828729,0.851809523809524,1.22739541160594,1.1442645074224,1.78538565629229,744
"03/2007",1.51363004172462,1.19188445667125,1.06530898876405,1.1443072702332,1.40758807588076,1.17789904502046,744
"03/2008",0.927094972067039,1.32085048010974,NA,0.27848275862069,1.32393767705382,0.862116991643454,744
"03/2009",1.08438356164384,0.869614835948645,1.00777626193724,0.445378151260504,0.701789264413519,0.885159500693481,744
"03/2010",1.09004207573633,1.37765205091938,1.02425106990014,0.571428571428571,0.791492329149233,1.14815825375171,744
"03/2011",0.878761061946903,1.08987161198288,0.892011412268188,0.486666666666667,0.826074498567335,1.1385989010989,744
"03/2012",0.788746438746439,1.00112359550562,1.05675675675676,0.583521126760563,0.725323475046211,0.862697274031564,744
"03/2013",0.971210013908206,1.15779685264664,0.927653631284916,0.467765042979943,NA,0.982076813655761,744
"03/2014",0.821988795518207,0.912462462462462,NA,0.425244072524407,NA,0.947316384180791,744
"03/2015",0.898491083676269,1.01609353507565,0.694337016574586,0.390846047156727,0.72962962962963,1.02062780269058,744
"03/2016",0.807868383404864,0.842406015037594,0.695070422535211,0.378052805280528,0.687959183673469,0.823152022315202,744
