"mes","mean.TLA","mean.MER","mean.UIZ","mean.PED","mean.SAG","mean.XAL","cont"
2007-01-01,22.2803867403315,19.6884779516358,26.050408719346,28.28125,20.1771269177127,17.8422575976845,744
2007-02-01,27.4362818590705,22.545045045045,29.2683658170915,34.387969924812,25.3404255319149,27.7249190938511,672
2007-03-01,32.4030261348005,28.1240768094535,36.2345505617978,46.6085164835165,30.8387533875339,27.849931787176,744
2007-04-01,32.9029535864979,27.9941520467836,35.2211267605634,39.0876288659794,29.708211143695,29.1578947368421,720
2007-05-01,33.4382183908046,32.122085048011,42.5257452574526,44.301749271137,37.1367989056088,28.4662068965517,744
2007-06-01,28.3942470389171,26.5692307692308,37.1564722617354,38.8122205663189,31.3728549141966,26.2398119122257,720
2007-07-01,27.1481481481481,24.9028727770178,32.7349726775956,37.0585714285714,26.9139633286319,23.2765363128492,744
2007-08-01,20.0315934065934,19.3849431818182,26.2117486338798,27.8251366120219,21.9848275862069,18.2279942279942,744
2007-09-01,17.8059259259259,16.6398852223816,17.1381766381766,23.1875945537065,19.6505847953216,15.9651669085631,720
2007-10-01,22.9819444444444,20.578231292517,24.1044776119403,27.1819425444596,23.8528951486698,19.4002789400279,744
2007-11-01,19.5747126436782,18.9049645390071,23.0760330578512,26.6487252124646,20.3191489361702,16.9007518796992,720
2007-12-01,23.7037552155772,24.4857916102842,28.7688098495212,33.6781292984869,24.1565934065934,21.2566371681416,744
2008-01-01,22.091922005571,20.8428571428571,26.3666666666667,28.1118784530387,22.9090909090909,19.6765536723164,744
2008-02-01,23.9892008639309,24.3842281879195,33.3611111111111,34.2474226804124,26.4412213740458,24.6029684601113,696
2008-03-01,30.8946587537092,28.3950617283951,NA,41.3641379310345,31.9971631205674,28.4281729428173,744
2008-04-01,36.9062957540264,32.4298375184638,42.606,46.0940170940171,36.4484304932735,31.437223042836,720
2008-05-01,37.7615606936416,33.108843537415,45.2205479452055,48.1514726507714,36.0938416422287,28.811320754717,744
2008-06-01,24.5334420880914,20.3982558139535,29.9957627118644,31.0877697841727,24.6331738437002,19.5445255474453,720
2008-07-01,21.340157480315,18.6746166950596,25.7194950911641,27.210235131397,21.332838038633,16.3565340909091,744
2008-08-01,24.7627365356623,22.8354978354978,28.4786206896552,30.0123796423659,24.2908587257618,20.0340425531915,744
2008-09-01,20.8161764705882,18.328611898017,22.2755681818182,22.5,21.1230551626591,17.8108108108108,720
2008-10-01,22.422351233672,19.3251028806584,23.3104395604396,27.0275362318841,19.5318818040435,16.8286516853933,744
