FECHA,HORA,MER,TLA,COY,UIZ,SJA,SAG,PER,CAM,ACO
06/01/2010,16,39,31,45,34,39,22,26,-99,19
06/01/2010,17,38,26,50,37,29,25,29,-99,15
06/01/2010,18,29,18,41,27,20,31,33,-99,19
06/01/2010,19,21,26,29,25,19,27,26,-99,25
06/01/2010,20,21,44,32,29,30,37,39,-99,34
06/01/2010,21,20,38,43,26,22,36,31,-99,34
06/01/2010,22,30,23,35,24,24,29,35,-99,21
06/01/2010,23,40,16,33,26,30,23,32,-99,19
06/01/2010,24,37,26,29,33,21,27,34,-99,22
07/01/2010,1,24,27,31,30,21,21,36,-99,13
07/01/2010,2,27,26,35,34,28,23,33,-99,19
07/01/2010,3,33,21,31,36,50,24,52,-99,19
07/01/2010,4,36,21,28,39,33,23,44,-99,18
07/01/2010,5,29,23,30,43,35,22,44,-99,22
07/01/2010,6,26,27,34,49,29,23,54,-99,25
07/01/2010,7,26,29,46,43,35,29,52,-99,23
07/01/2010,8,30,35,53,43,43,34,54,-99,29
07/01/2010,9,45,44,44,37,42,35,62,-99,28
07/01/2010,10,54,52,43,42,36,32,57,-99,22
07/01/2010,11,-99,61,46,27,58,49,56,-99,28
07/01/2010,12,-99,73,-99,17,40,47,41,-99,19
07/01/2010,13,-99,70,23,34,30,39,53,-99,24
07/01/2010,14,56,55,51,-99,44,43,31,-99,23
07/01/2010,15,53,54,52,60,48,42,32,-99,27
07/01/2010,16,53,55,52,47,46,39,32,-99,23
07/01/2010,17,56,52,61,44,54,41,24,-99,21
07/01/2010,18,35,39,-99,17,31,34,22,-99,18
07/01/2010,19,18,36,-99,31,30,29,22,-99,29
07/01/2010,20,34,35,-99,39,29,30,27,-99,27
07/01/2010,21,39,35,-99,41,35,30,37,-99,21
07/01/2010,22,33,24,30,32,24,21,35,-99,16
07/01/2010,23,32,22,28,28,23,21,34,-99,18
07/01/2010,24,26,20,23,20,17,21,30,-99,13
08/01/2010,1,30,20,19,26,25,20,22,-99,12
08/01/2010,2,30,19,20,32,31,18,31,-99,19
08/01/2010,3,24,17,18,23,20,16,32,-99,17
08/01/2010,4,23,20,19,25,24,14,37,-99,18
08/01/2010,5,28,18,21,25,29,17,29,-99,20
08/01/2010,6,25,17,19,23,27,18,28,-99,20
08/01/2010,7,23,18,20,26,27,20,27,-99,18
08/01/2010,8,39,24,21,27,27,29,15,-99,18
08/01/2010,9,38,27,24,10,21,24,18,-99,17
08/01/2010,10,22,33,14,2,9,14,6,-99,11
08/01/2010,11,11,27,6,-99,2,7,10,-99,-99
08/01/2010,12,9,21,-99,-99,1,7,4,-99,-99
08/01/2010,13,3,16,-99,-99,2,15,16,-99,4
08/01/2010,14,11,8,-99,-99,-99,3,9,-99,3
08/01/2010,15,10,16,-99,3,14,7,-99,-99,6
08/01/2010,16,14,18,9,9,13,14,6,-99,13
08/01/2010,17,23,8,12,16,16,12,21,-99,13
08/01/2010,18,9,8,9,21,7,15,17,-99,14
08/01/2010,19,14,23,9,12,7,10,25,-99,12
08/01/2010,20,13,25,11,13,5,28,24,-99,15
08/01/2010,21,17,22,18,16,12,20,21,-99,12
08/01/2010,22,18,27,17,19,22,21,15,-99,15
08/01/2010,23,23,25,15,21,20,16,16,-99,16
08/01/2010,24,22,14,21,20,14,10,17,-99,9
09/01/2010,1,12,9,20,10,5,10,6,-99,-99
09/01/2010,2,12,15,12,13,16,15,-99,-99,4
09/01/2010,3,13,18,10,4,13,9,11,-99,9
09/01/2010,4,14,21,8,13,23,11,6,-99,6
09/01/2010,5,18,26,9,14,19,15,7,-99,8
09/01/2010,6,16,37,12,19,16,13,5,-99,14
09/01/2010,7,17,40,14,17,18,11,3,-99,13
09/01/2010,8,28,35,19,17,13,23,16,-99,14
09/01/2010,9,33,34,26,23,24,23,25,-99,19
09/01/2010,10,33,35,37,24,28,18,20,-99,16
09/01/2010,11,29,28,29,20,16,22,-99,-99,11
09/01/2010,12,28,23,18,16,10,18,-99,-99,-99
09/01/2010,13,23,28,15,11,8,8,12,-99,-99
09/01/2010,14,16,34,12,10,8,12,4,-99,-99
09/01/2010,15,15,28,17,7,9,13,11,-99,-99
09/01/2010,16,14,33,16,10,18,11,10,-99,-99
09/01/2010,17,16,35,16,11,11,10,15,-99,-99
09/01/2010,18,20,31,17,15,13,13,13,-99,-99
09/01/2010,19,19,29,19,13,14,19,20,-99,-99
09/01/2010,20,20,24,21,16,14,25,17,-99,-99
09/01/2010,21,19,30,22,16,15,26,15,-99,-99
09/01/2010,22,19,27,25,16,14,19,21,-99,-99
09/01/2010,23,21,18,24,12,10,13,14,-99,-99
09/01/2010,24,20,18,16,6,10,16,11,-99,-99
10/01/2010,1,26,26,17,19,15,15,21,-99,-99
10/01/2010,2,24,23,15,22,22,13,12,-99,-99
10/01/2010,3,32,15,14,26,26,19,21,-99,-99
10/01/2010,4,28,13,16,25,26,45,20,-99,-99
10/01/2010,5,28,24,17,24,31,39,33,-99,-99
10/01/2010,6,32,37,14,24,34,43,37,-99,-99
10/01/2010,7,35,46,17,39,37,41,33,-99,-99
10/01/2010,8,44,54,20,38,34,55,37,-99,-99
10/01/2010,9,42,58,37,32,41,61,36,-99,-99
10/01/2010,10,35,70,41,27,37,72,34,-99,-99
10/01/2010,11,36,66,37,34,38,57,35,-99,-99
10/01/2010,12,52,56,45,29,33,40,31,-99,-99
10/01/2010,13,50,43,54,25,46,45,33,-99,-99
10/01/2010,14,50,49,46,13,29,41,24,-99,-99
10/01/2010,15,50,66,39,26,23,30,29,-99,-99
10/01/2010,16,42,68,42,35,31,27,32,-99,-99
10/01/2010,17,48,53,39,24,39,31,32,-99,-99
10/01/2010,18,40,40,50,43,33,30,43,-99,-99
10/01/2010,19,46,43,53,42,37,23,31,-99,-99
10/01/2010,20,52,39,50,40,27,-99,16,-99,-99
10/01/2010,21,38,32,44,33,22,25,16,-99,-99
10/01/2010,22,39,33,33,23,17,23,24,-99,-99
10/01/2010,23,35,37,26,14,18,25,12,-99,-99
10/01/2010,24,34,34,24,16,14,20,18,-99,-99
11/01/2010,1,31,25,25,19,21,17,22,-99,-99
11/01/2010,2,28,23,26,21,30,15,18,-99,-99
11/01/2010,3,32,19,26,19,32,14,21,-99,-99
11/01/2010,4,31,30,27,18,27,15,17,-99,-99
11/01/2010,5,33,32,30,22,24,18,1,-99,-99
11/01/2010,6,31,39,27,19,23,27,5,-99,-99
11/01/2010,7,28,48,23,-99,24,20,19,-99,-99
11/01/2010,8,26,61,23,33,17,21,40,-99,-99
11/01/2010,9,36,67,31,41,28,26,43,-99,-99
11/01/2010,10,46,62,45,47,32,-99,43,-99,-99
11/01/2010,11,56,-99,60,53,48,-99,54,-99,19
11/01/2010,12,-99,-99,69,52,45,-99,51,-99,14
11/01/2010,13,-99,-99,72,60,59,-99,55,-99,19
11/01/2010,14,-99,79,53,43,44,-99,50,-99,18
11/01/2010,15,-99,69,36,13,12,-99,33,-99,13
11/01/2010,16,36,35,42,22,20,30,15,-99,14
11/01/2010,17,37,23,45,23,19,17,11,-99,14
11/01/2010,18,45,22,49,35,17,23,21,-99,16
11/01/2010,19,40,25,55,41,22,19,22,-99,18
11/01/2010,20,34,28,44,36,21,31,32,-99,31
11/01/2010,21,34,34,55,39,28,45,42,-99,35
11/01/2010,22,40,38,73,51,25,36,58,-99,40
11/01/2010,23,55,44,72,36,43,42,81,-99,43
11/01/2010,24,59,44,51,38,43,50,48,-99,25
12/01/2010,1,56,41,45,37,55,48,44,-99,22
12/01/2010,2,55,38,42,51,62,36,31,-99,27
