FECHA,HORA,MER,TLA,COY,UIZ,SJA,SAG,PER,CAM
28/02/2006,14,13,20,9,45,33,24,26,32
28/02/2006,15,14,18,8,20,3,18,3,17
28/02/2006,16,17,18,-99,10,-99,18,11,19
28/02/2006,17,18,20,-99,11,-99,17,14,13
28/02/2006,18,19,19,-99,14,1,11,15,20
28/02/2006,19,18,20,17,14,7,2,22,20
28/02/2006,20,22,23,17,17,-99,-99,10,21
28/02/2006,21,28,27,21,17,21,-99,21,18
28/02/2006,22,16,19,13,19,21,1,27,22
28/02/2006,23,13,21,6,13,16,10,25,15
28/02/2006,24,10,22,12,11,10,20,22,14
01/03/2006,1,19,17,10,12,8,21,28,-99
01/03/2006,2,36,14,7,19,15,23,35,24
01/03/2006,3,50,17,10,23,23,27,44,21
01/03/2006,4,43,22,11,20,21,29,32,27
01/03/2006,5,33,37,14,37,18,27,52,22
01/03/2006,6,31,33,16,52,14,26,36,23
01/03/2006,7,47,31,17,29,15,28,24,37
01/03/2006,8,81,38,20,27,18,30,29,29
01/03/2006,9,59,40,27,38,26,31,31,39
01/03/2006,10,59,59,37,22,43,28,29,42
01/03/2006,11,56,-99,58,44,57,28,41,45
01/03/2006,12,-99,-99,65,42,56,26,24,65
01/03/2006,13,-99,31,48,43,60,18,19,59
01/03/2006,14,36,23,36,26,46,14,21,28
01/03/2006,15,25,24,17,31,40,10,21,16
01/03/2006,16,26,-99,14,26,27,12,19,20
01/03/2006,17,24,-99,17,17,18,14,15,21
01/03/2006,18,22,-99,18,19,17,13,19,27
01/03/2006,19,17,21,11,24,19,11,21,25
01/03/2006,20,17,21,7,-99,-99,9,18,24
01/03/2006,21,21,25,12,-99,25,5,21,26
01/03/2006,22,19,25,17,19,24,3,22,27
01/03/2006,23,17,23,-99,15,17,12,21,19
01/03/2006,24,16,25,-99,22,9,23,17,17
02/03/2006,1,25,21,-99,15,5,23,19,25
02/03/2006,2,24,20,11,15,5,20,26,22
02/03/2006,3,23,31,11,21,3,20,22,23
02/03/2006,4,24,28,9,19,1,19,22,37
02/03/2006,5,42,20,13,27,2,19,32,26
02/03/2006,6,39,23,15,21,3,20,37,35
02/03/2006,7,31,20,14,25,4,21,35,38
02/03/2006,8,38,24,25,27,8,23,39,39
02/03/2006,9,94,35,29,42,17,23,55,51
02/03/2006,10,97,45,33,30,39,22,70,50
02/03/2006,11,78,54,30,32,69,27,72,52
02/03/2006,12,39,34,28,48,-99,24,66,43
02/03/2006,13,34,18,19,36,57,18,21,18
02/03/2006,14,12,12,2,24,23,16,5,-99
02/03/2006,15,34,-99,3,16,3,16,14,2
02/03/2006,16,51,10,7,8,-99,15,8,5
02/03/2006,17,65,11,1,5,-99,12,3,-99
02/03/2006,18,65,14,6,9,-99,9,7,-99
02/03/2006,19,56,17,11,7,2,6,9,16
02/03/2006,20,49,23,15,13,10,4,16,21
02/03/2006,21,54,37,21,19,20,3,21,36
02/03/2006,22,57,39,25,22,24,2,27,43
02/03/2006,23,34,32,17,20,17,10,35,28
02/03/2006,24,42,28,19,23,9,23,34,25
03/03/2006,1,50,24,23,26,12,26,26,34
03/03/2006,2,43,20,16,31,19,23,33,40
03/03/2006,3,37,19,9,29,20,30,26,48
03/03/2006,4,41,22,10,27,18,35,25,41
03/03/2006,5,45,18,13,26,14,37,48,20
03/03/2006,6,47,16,11,23,11,36,54,26
03/03/2006,7,53,18,14,31,14,32,67,26
03/03/2006,8,58,27,23,42,17,29,63,43
03/03/2006,9,52,78,33,56,25,30,65,51
03/03/2006,10,63,76,40,51,45,30,82,51
03/03/2006,11,77,59,46,49,75,34,51,56
03/03/2006,12,75,55,35,50,88,34,41,67
03/03/2006,13,45,59,21,74,54,33,40,48
03/03/2006,14,28,50,13,44,20,34,29,19
03/03/2006,15,26,20,6,16,-99,32,17,16
03/03/2006,16,-99,13,4,8,-99,-99,4,-99
03/03/2006,17,15,13,1,3,-99,-99,-99,-99
03/03/2006,18,29,21,6,2,-99,-99,-99,-99
03/03/2006,19,39,23,17,7,1,-99,18,-99
03/03/2006,20,33,31,19,24,16,-99,59,21
03/03/2006,21,25,37,16,38,-99,-99,97,31
03/03/2006,22,24,33,17,25,24,-99,77,26
03/03/2006,23,26,26,12,31,21,-99,49,24
03/03/2006,24,22,26,13,21,16,-99,36,20
04/03/2006,1,21,42,12,18,16,-99,22,18
04/03/2006,2,29,32,14,24,18,-99,26,28
04/03/2006,3,25,29,18,28,19,-99,25,31
04/03/2006,4,26,28,22,21,17,-99,21,28
04/03/2006,5,35,23,29,25,15,-99,26,26
04/03/2006,6,36,30,30,34,12,-99,29,30
04/03/2006,7,40,27,31,30,14,-99,25,29
04/03/2006,8,40,30,30,35,16,-99,33,37
04/03/2006,9,45,39,33,38,24,-99,37,36
04/03/2006,10,53,43,42,37,43,-99,47,30
04/03/2006,11,63,76,49,41,73,-99,51,41
04/03/2006,12,58,87,58,42,88,-99,61,65
04/03/2006,13,44,46,44,58,64,-99,67,50
04/03/2006,14,28,46,19,40,31,-99,38,27
04/03/2006,15,22,57,18,25,5,-99,21,25
04/03/2006,16,24,42,25,39,6,-99,20,-99
04/03/2006,17,34,32,38,36,13,-99,26,-99
04/03/2006,18,38,32,35,36,22,-99,30,-99
04/03/2006,19,31,35,28,38,25,-99,30,-99
04/03/2006,20,30,30,35,46,24,-99,45,34
04/03/2006,21,24,23,17,68,25,-99,39,33
04/03/2006,22,23,39,19,24,24,-99,37,27
04/03/2006,23,19,32,19,19,22,-99,39,24
04/03/2006,24,25,30,25,18,15,-99,26,32
05/03/2006,1,29,29,22,20,13,-99,23,28
05/03/2006,2,28,34,21,29,18,-99,17,34
05/03/2006,3,35,33,17,28,24,-99,27,33
05/03/2006,4,38,25,16,37,23,-99,27,37
05/03/2006,5,29,19,19,27,20,-99,29,41
05/03/2006,6,34,20,21,39,16,-99,54,25
05/03/2006,7,42,19,20,35,17,-99,43,25
05/03/2006,8,43,22,28,39,21,-99,56,26
05/03/2006,9,49,31,41,34,27,-99,70,37
05/03/2006,10,52,32,40,34,44,-99,55,49
05/03/2006,11,60,30,34,42,70,-99,42,46
05/03/2006,12,65,47,36,58,79,-99,47,35
05/03/2006,13,72,40,32,40,61,-99,48,35
05/03/2006,14,48,22,27,47,33,-99,50,30
05/03/2006,15,65,22,24,29,15,-99,22,16
05/03/2006,16,43,21,17,21,10,-99,19,-99
05/03/2006,17,27,30,22,36,2,-99,11,-99
05/03/2006,18,20,21,21,31,10,-99,23,-99
05/03/2006,19,16,20,10,21,13,-99,30,-99
05/03/2006,20,20,30,14,26,20,-99,25,25
05/03/2006,21,-99,24,16,19,20,-99,25,29
05/03/2006,22,15,20,8,17,22,-99,20,27
05/03/2006,23,17,21,6,16,16,-99,20,18
05/03/2006,24,50,19,15,13,13,-99,22,25
06/03/2006,1,36,19,17,17,11,-99,24,20
06/03/2006,2,27,24,15,27,15,-99,29,13
06/03/2006,3,22,35,14,23,16,-99,28,21
06/03/2006,4,28,21,4,23,13,-99,25,32
06/03/2006,5,24,11,5,32,9,-99,29,34
06/03/2006,6,26,7,10,28,5,-99,29,25
06/03/2006,7,23,13,17,29,5,-99,25,23
06/03/2006,8,28,21,28,35,2,-99,38,39
06/03/2006,9,32,34,34,32,8,-99,56,40
06/03/2006,10,47,51,33,33,33,-99,47,45
06/03/2006,11,59,61,38,37,72,-99,46,49
06/03/2006,12,68,57,36,37,85,27,58,44
06/03/2006,13,50,39,33,48,65,16,29,40
06/03/2006,14,28,22,31,51,37,17,37,28
06/03/2006,15,30,21,23,38,15,-99,27,17
06/03/2006,16,30,16,17,28,-99,-99,19,-99
06/03/2006,17,25,15,17,26,4,-99,22,-99
06/03/2006,18,22,29,15,19,9,19,15,-99
06/03/2006,19,26,27,21,23,15,17,44,-99
06/03/2006,20,23,25,18,43,19,19,44,31
06/03/2006,21,21,22,17,34,-99,-99,31,32
06/03/2006,22,16,20,8,19,22,-99,24,29
06/03/2006,23,21,18,21,14,15,-99,23,22
06/03/2006,24,23,28,17,12,9,-99,21,24
07/03/2006,1,26,25,14,21,8,-99,26,21
07/03/2006,2,28,23,6,25,13,-99,28,32
07/03/2006,3,28,19,4,26,17,-99,22,32
07/03/2006,4,26,-99,12,25,12,-99,27,24
07/03/2006,5,24,-99,18,32,10,-99,23,21
07/03/2006,6,27,-99,18,29,7,-99,33,24
07/03/2006,7,38,17,15,25,12,-99,43,21
07/03/2006,8,51,23,23,41,17,-99,57,31
07/03/2006,9,56,37,27,49,27,-99,43,46
07/03/2006,10,54,78,39,36,47,-99,63,39
07/03/2006,11,51,79,56,54,72,-99,99,60
07/03/2006,12,46,64,47,57,78,-99,46,59
07/03/2006,13,43,18,26,40,53,-99,26,52
07/03/2006,14,51,15,29,31,21,-99,23,22
07/03/2006,15,17,16,20,22,3,47,16,17
07/03/2006,16,10,5,5,15,3,46,10,-99
07/03/2006,17,29,10,3,13,-99,48,8,-99
07/03/2006,18,14,11,1,17,4,39,6,-99
07/03/2006,19,13,9,4,7,8,34,8,-99
07/03/2006,20,16,17,8,18,18,39,12,17
07/03/2006,21,22,30,10,21,19,37,20,17
07/03/2006,22,22,31,18,23,22,16,31,24
07/03/2006,23,20,25,14,26,17,1,36,25
07/03/2006,24,22,26,20,29,10,-99,39,24
08/03/2006,1,24,22,20,29,8,1,34,28
08/03/2006,2,28,19,13,27,38,9,41,65
08/03/2006,3,35,15,13,39,60,20,51,60
08/03/2006,4,47,17,32,28,45,30,38,38
08/03/2006,5,39,13,41,27,26,31,45,33
08/03/2006,6,38,11,44,28,6,29,69,29
08/03/2006,7,45,19,31,34,11,26,60,34
08/03/2006,8,58,32,36,32,17,27,66,50
08/03/2006,9,68,49,43,55,27,34,67,57
08/03/2006,10,62,77,26,51,50,33,81,-99
08/03/2006,11,63,92,44,66,80,39,64,-99
08/03/2006,12,49,74,41,65,83,38,44,-99
08/03/2006,13,36,34,33,52,56,20,21,-99
08/03/2006,14,25,18,15,27,19,40,176,-99
08/03/2006,15,28,18,15,18,4,41,35,-99
08/03/2006,16,31,20,22,20,8,40,11,-99
08/03/2006,17,33,26,29,23,11,33,20,-99
08/03/2006,18,38,27,27,30,17,27,28,-99
08/03/2006,19,45,40,49,46,20,31,55,-99
08/03/2006,20,33,40,47,42,29,47,49,48
08/03/2006,21,-99,33,30,32,28,55,39,36
08/03/2006,22,-99,39,36,22,25,41,27,32
08/03/2006,23,-99,33,34,22,18,34,28,28
08/03/2006,24,26,30,32,28,20,34,26,28
09/03/2006,1,28,29,34,27,25,31,52,31
09/03/2006,2,26,30,39,40,27,30,190,41
09/03/2006,3,27,28,19,44,23,27,313,39
09/03/2006,4,28,37,16,25,20,24,160,37
09/03/2006,5,28,98,24,27,22,24,181,42
09/03/2006,6,32,61,26,34,24,25,256,40
09/03/2006,7,34,41,29,27,27,27,39,34
09/03/2006,8,36,46,34,26,25,27,94,33
09/03/2006,9,41,74,41,36,29,31,109,54
09/03/2006,10,53,67,25,33,44,35,72,57
09/03/2006,11,57,53,47,37,55,43,345,77
09/03/2006,12,59,55,51,51,48,-99,324,67
09/03/2006,13,48,50,37,41,32,-99,83,67
09/03/2006,14,42,59,46,41,21,-99,29,49
09/03/2006,15,43,22,36,33,25,45,31,-99
09/03/2006,16,62,19,29,32,26,43,35,-99
09/03/2006,17,84,26,34,45,29,37,50,-99
09/03/2006,18,41,33,22,50,32,42,69,-99
09/03/2006,19,31,33,22,34,33,66,55,-99
09/03/2006,20,26,31,21,32,33,84,22,35
09/03/2006,21,19,37,18,25,-99,79,101,30
09/03/2006,22,17,50,13,18,26,46,215,23
09/03/2006,23,19,39,15,22,21,30,147,32
09/03/2006,24,27,26,15,27,25,32,79,33
10/03/2006,1,25,16,9,15,26,27,103,26
10/03/2006,2,21,24,17,25,29,27,96,47
10/03/2006,3,22,26,19,29,21,25,80,32
10/03/2006,4,23,24,21,30,14,24,66,29
10/03/2006,5,22,44,13,20,11,21,69,30
