FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,GAM,HGM,INN,MER,MGH,MPA,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL,,,,,,,
04/01/2016,4,18,16,16,28,-99,20,-99,20,-99,-99,24,-99,27,-99,44,-99,-99,25,22,-99,36,,,,,,,
04/01/2016,5,20,13,25,16,-99,21,-99,26,-99,-99,20,-99,41,-99,56,-99,-99,37,24,-99,35,,,,,,,
04/01/2016,6,18,11,31,37,-99,39,-99,46,-99,-99,22,-99,69,-99,65,-99,-99,51,22,-99,53,,,,,,,
04/01/2016,7,23,8,52,41,-99,66,-99,67,-99,-99,26,-99,60,-99,64,-99,-99,56,48,-99,59,,,,,,,
04/01/2016,8,23,11,72,57,-99,93,-99,77,-99,-99,20,-99,53,-99,60,-99,-99,75,69,-99,62,,,,,,,
04/01/2016,9,29,9,88,69,-99,104,-99,75,-99,-99,36,-99,61,-99,74,-99,-99,77,83,-99,68,,,,,,,
04/01/2016,10,64,9,94,88,-99,100,-99,90,-99,-99,63,-99,68,-99,60,-99,-99,68,98,-99,75,,,,,,,
04/01/2016,11,91,10,112,93,-99,-99,-99,108,-99,-99,79,-99,87,-99,98,-99,-99,86,101,-99,88,,,,,,,
04/01/2016,12,72,8,98,64,-99,-99,-99,92,-99,-99,68,-99,66,-99,64,-99,-99,86,92,-99,68,,,,,,,
04/01/2016,13,50,20,82,66,-99,80,-99,70,-99,-99,78,-99,39,-99,47,-99,-99,80,82,-99,45,,,,,,,
04/01/2016,14,40,19,35,55,-99,44,-99,46,-99,-99,60,-99,25,-99,59,-99,-99,90,32,-99,43,,,,,,,
04/01/2016,15,14,19,78,67,-99,69,-99,78,-99,-99,81,-99,29,-99,79,-99,-99,83,14,-99,50,,,,,,,
04/01/2016,16,47,19,64,52,-99,-99,-99,63,-99,-99,64,-99,14,-99,78,-99,-99,74,15,-99,55,,,,,,,
04/01/2016,17,64,14,60,35,-99,-99,-99,47,-99,-99,53,-99,24,-99,57,-99,-99,34,48,-99,48,,,,,,,
04/01/2016,18,54,17,30,32,-99,-99,-99,21,-99,-99,24,-99,22,-99,46,-99,-99,18,31,-99,25,,,,,,,
04/01/2016,19,28,18,13,9,-99,19,-99,14,-99,-99,16,-99,28,-99,35,-99,-99,5,37,-99,10,,,,,,,
04/01/2016,20,17,16,7,23,-99,13,-99,11,-99,-99,8,-99,17,-99,9,-99,-99,5,-99,-99,11,,,,,,,
04/01/2016,21,24,23,16,10,-99,25,-99,17,-99,-99,13,-99,11,-99,27,-99,-99,20,23,-99,21,,,,,,,
04/01/2016,22,39,1,23,32,-99,30,-99,27,-99,-99,18,-99,12,-99,26,-99,-99,27,13,-99,25,,,,,,,
04/01/2016,23,38,3,25,23,-99,26,-99,28,-99,-99,26,-99,14,-99,35,-99,-99,27,12,-99,15,,,,,,,
04/01/2016,24,22,6,23,43,-99,31,-99,31,-99,-99,32,-99,22,-99,32,-99,-99,26,12,16,29,,,,,,,
05/01/2016,1,19,12,23,23,-99,35,-99,32,-99,35,36,-99,24,-99,34,-99,-99,20,23,29,42,,,,,,,
05/01/2016,2,18,6,27,38,-99,33,-99,32,-99,40,32,-99,34,-99,42,-99,-99,21,29,19,38,,,,,,,
05/01/2016,3,4,7,28,44,-99,41,-99,31,-99,30,34,-99,30,-99,33,-99,-99,20,30,25,54,,,,,,,
05/01/2016,4,15,-99,27,34,-99,23,-99,26,3,18,24,-99,30,-99,40,-99,-99,22,28,45,39,,,,,,,
05/01/2016,5,12,1,23,31,-99,23,-99,30,4,20,26,-99,20,-99,37,-99,-99,19,24,52,29,,,,,,,
05/01/2016,6,9,5,25,25,-99,30,-99,21,2,39,22,-99,16,-99,35,-99,-99,22,30,15,35,,,,,,,
05/01/2016,7,9,2,31,31,-99,25,-99,23,1,43,33,-99,19,-99,39,-99,-99,15,24,23,54,,,,,,,
05/01/2016,8,8,1,27,29,-99,23,-99,28,1,34,20,-99,20,-99,36,-99,-99,24,29,11,63,,,,,,,
05/01/2016,9,14,4,43,35,-99,37,-99,29,1,50,31,-99,20,-99,42,-99,-99,19,21,27,53,,,,,,,
05/01/2016,10,15,1,44,55,-99,47,-99,50,3,50,37,-99,22,-99,77,-99,-99,52,27,31,59,,,,,,,
05/01/2016,11,15,8,48,56,-99,45,-99,61,4,48,45,-99,26,-99,60,-99,-99,39,37,29,53,,,,,,,
05/01/2016,12,14,20,30,33,-99,43,-99,29,8,28,40,-99,25,-99,36,-99,-99,31,34,50,34,,,,,,,
05/01/2016,13,21,23,40,16,-99,48,-99,42,12,23,30,-99,21,-99,33,-99,-99,14,13,43,28,,,,,,,
05/01/2016,14,15,10,35,13,-99,39,-99,18,18,26,22,-99,23,-99,28,-99,-99,3,1,42,25,,,,,,,
05/01/2016,15,10,22,32,9,-99,27,-99,36,1,33,6,-99,14,-99,33,-99,-99,1,1,36,9,,,,,,,
05/01/2016,16,2,12,22,7,-99,20,-99,15,7,11,12,-99,13,-99,33,-99,-99,14,1,10,8,,,,,,,
05/01/2016,17,5,13,4,10,-99,4,-99,11,6,1,5,-99,6,-99,-99,-99,-99,5,1,17,3,,,,,,,
05/01/2016,18,3,14,6,10,-99,7,-99,1,7,1,8,-99,12,-99,33,-99,-99,8,9,1,5,,,,,,,
05/01/2016,19,12,10,13,16,-99,9,-99,8,7,7,5,-99,9,-99,37,-99,-99,3,16,1,15,,,,,,,
05/01/2016,20,12,1,13,1,-99,9,-99,7,8,18,6,-99,6,-99,18,-99,-99,12,11,13,10,,,,,,,
05/01/2016,21,8,6,7,7,-99,11,-99,16,6,14,11,-99,9,-99,31,-99,-99,7,14,9,18,,,,,,,
05/01/2016,22,5,5,11,1,-99,11,-99,17,7,19,13,-99,12,-99,22,-99,-99,19,20,9,21,,,,,,,
05/01/2016,23,6,1,13,1,-99,11,-99,20,5,22,20,-99,15,-99,30,-99,-99,28,12,17,29,,,,,,,
05/01/2016,24,6,5,4,20,-99,9,-99,11,4,23,12,-99,15,-99,35,-99,-99,15,9,11,21,,,,,,,
06/01/2016,1,4,4,7,44,4,7,-99,10,4,17,9,-99,15,-99,33,-99,-99,7,15,22,22,,,,,,,
06/01/2016,2,6,2,8,52,4,9,-99,10,5,25,10,-99,13,-99,37,-99,-99,22,15,20,20,,,,,,,
06/01/2016,3,4,5,7,39,6,8,-99,14,5,21,9,-99,11,-99,34,-99,-99,16,6,20,24,,,,,,,
06/01/2016,4,6,1,2,3,3,7,-99,7,5,21,11,-99,9,-99,29,-99,-99,10,17,16,21,,,,,,,
06/01/2016,5,1,4,11,20,6,12,-99,8,2,16,9,-99,12,-99,45,-99,-99,14,10,7,24,,,,,,,
06/01/2016,6,3,2,9,14,7,13,-99,9,2,13,17,-99,9,-99,39,-99,-99,10,19,17,27,,,,,,,
06/01/2016,7,4,4,6,37,7,13,-99,13,2,12,6,-99,16,-99,40,-99,-99,15,15,21,35,,,,,,,
06/01/2016,8,5,5,10,32,8,15,-99,11,3,14,19,-99,17,-99,35,-99,-99,27,15,24,-99,,,,,,,
06/01/2016,9,8,10,18,7,5,16,-99,22,4,22,19,-99,10,-99,49,-99,-99,27,6,26,45,,,,,,,
06/01/2016,10,5,-99,17,20,4,11,-99,20,4,13,12,-99,16,-99,41,-99,-99,21,6,13,28,,,,,,,
06/01/2016,11,4,8,6,6,6,12,-99,10,5,3,8,-99,12,-99,31,-99,-99,6,1,1,23,,,,,,,
