FECHA,HORA,ACO,ATI,CAM,CHO,COY,CUA,CUT,FAC,HGM,IZT,LLA,LPR,MER,MON,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
25/01/2013,5,12,14,29,-99,26,24,22,21,30,25,29,29,29,19,22,28,-99,23,28,24,13,29,27,10,-99,27,14,28
25/01/2013,6,-99,21,34,-99,27,26,21,19,31,26,29,31,31,20,29,26,-99,26,29,28,19,30,32,8,-99,29,15,28
25/01/2013,7,20,22,33,-99,27,27,22,21,30,26,30,27,32,18,28,24,-99,28,28,27,23,22,29,8,-99,29,18,31
25/01/2013,8,19,24,31,-99,29,32,24,22,33,26,22,31,36,23,28,25,-99,32,27,30,23,25,30,8,-99,28,22,27
25/01/2013,9,19,33,35,-99,33,42,28,30,41,33,23,42,44,23,32,28,-99,31,31,35,31,28,38,15,-99,35,26,34
25/01/2013,10,-99,40,56,-99,45,14,45,48,66,54,30,71,52,22,30,42,-99,23,40,47,31,50,48,30,-99,53,25,51
25/01/2013,11,-99,-99,58,-99,70,11,25,65,89,71,32,97,72,26,37,56,-99,37,67,63,29,71,54,42,-99,56,23,66
25/01/2013,12,13,-99,56,-99,71,10,23,40,86,68,32,83,79,22,53,61,-99,17,62,60,33,58,42,32,-99,58,19,59
25/01/2013,13,-99,-99,32,-99,52,17,8,28,55,44,19,54,59,16,33,48,-99,25,45,37,23,31,19,29,-99,43,9,41
25/01/2013,14,8,-99,26,-99,37,21,6,-99,39,46,17,27,52,9,21,40,-99,27,32,30,23,27,12,39,-99,36,7,27
25/01/2013,15,6,-99,31,-99,37,28,5,-99,34,41,13,20,44,7,17,41,-99,29,28,40,27,32,14,34,34,38,7,24
25/01/2013,16,7,17,28,-99,36,30,6,-99,38,35,16,22,42,6,14,38,-99,34,15,39,21,28,13,26,35,38,9,24
25/01/2013,17,8,15,30,-99,29,31,6,-99,39,-99,22,25,48,7,17,38,-99,35,21,37,20,32,15,40,33,34,9,22
25/01/2013,18,10,14,41,-99,38,27,9,-99,51,38,31,36,56,10,21,36,-99,31,34,39,19,37,21,42,37,42,11,25
25/01/2013,19,16,24,66,-99,84,51,15,-99,77,65,52,32,82,12,64,69,-99,67,51,70,26,63,43,26,62,95,22,33
25/01/2013,20,21,41,69,-99,93,78,34,-99,79,76,55,25,77,24,69,71,-99,95,66,106,53,64,57,28,102,93,24,31
25/01/2013,21,20,34,50,-99,85,57,37,-99,63,53,41,24,48,24,41,76,-99,73,44,102,42,56,41,32,77,47,24,34
25/01/2013,22,12,39,47,-99,64,38,24,-99,56,46,40,36,49,46,40,71,-99,60,44,81,42,44,36,24,83,45,30,38
25/01/2013,23,9,27,44,-99,42,39,23,-99,43,43,39,27,48,35,41,57,-99,57,45,64,50,39,34,19,68,51,32,38
25/01/2013,24,19,33,40,-99,35,41,37,-99,38,39,37,35,44,31,39,40,-99,44,42,52,59,37,38,12,44,47,28,42
26/01/2013,1,20,28,40,-99,33,36,35,-99,39,39,29,32,43,35,37,29,-99,39,42,44,47,39,38,8,55,44,28,44
26/01/2013,2,24,25,41,-99,37,31,32,-99,42,40,33,41,43,34,36,18,-99,32,38,40,50,37,39,7,46,39,30,42
26/01/2013,3,21,22,39,-99,30,27,31,-99,43,38,35,37,41,32,34,16,-99,22,36,39,39,36,35,6,41,36,30,37
26/01/2013,4,20,28,33,-99,23,33,27,-99,38,34,35,36,36,30,31,13,-99,19,33,35,36,32,35,6,41,36,30,35
26/01/2013,5,21,27,33,-99,34,24,29,-99,36,33,34,34,36,29,31,16,-99,24,32,33,33,31,33,4,40,35,29,36
26/01/2013,6,23,26,42,-99,35,23,25,-99,37,32,33,34,39,27,33,20,-99,29,35,33,29,31,33,4,36,34,28,39
